ダウンロードした時刻：2019/10/10 16:23:09

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,12.7,15.8,9.6
1997/12/2,6.8,9.6,5.1
1997/12/3,5.3,7.0,3.8
1997/12/4,6.0,12.4,1.4
1997/12/5,9.4,15.2,2.3
1997/12/6,18.1,19.8,10.9
1997/12/7,16.7,19.8,13.6
1997/12/8,11.2,13.8,7.8
1997/12/9,7.9,9.5,6.5
1997/12/10,4.8,6.7,2.9
1997/12/11,6.9,11.1,2.4
1997/12/12,7.0,8.1,6.1
1997/12/13,8.4,11.5,6.1
1997/12/14,9.4,15.0,4.3
1997/12/15,10.1,15.8,5.2
1997/12/16,11.2,14.8,7.1
1997/12/17,13.3,17.1,10.6
1997/12/18,10.9,14.8,5.6
1997/12/19,12.0,16.5,5.1
1997/12/20,15.6,16.9,14.6
1997/12/21,14.6,16.9,12.7
1997/12/22,11.3,13.0,10.6
1997/12/23,11.5,13.4,10.5
1997/12/24,11.0,13.8,9.7
1997/12/25,10.5,14.4,5.8
1997/12/26,10.5,16.4,4.5
1997/12/27,11.9,16.1,6.6
1997/12/28,10.1,13.9,5.1
1997/12/29,8.3,12.1,4.4
1997/12/30,11.1,13.5,8.8
1997/12/31,9.2,12.4,4.1
1998/1/1,9.5,12.1,6.0
1998/1/2,8.6,13.1,3.7
1998/1/3,10.0,15.9,2.8
1998/1/4,8.2,13.7,5.3
1998/1/5,7.2,10.1,3.2
1998/1/6,8.6,10.7,3.4
1998/1/7,8.5,12.3,2.8
1998/1/8,14.1,18.2,10.1
1998/1/9,10.3,13.3,6.7
1998/1/10,10.0,11.6,7.4
1998/1/11,9.3,11.6,8.2
1998/1/12,9.9,12.1,7.5
1998/1/13,8.5,12.3,3.8
1998/1/14,10.0,10.8,8.9
1998/1/15,9.8,10.4,8.4
1998/1/16,10.1,12.6,8.5
1998/1/17,10.5,11.9,6.9
1998/1/18,7.8,11.1,3.7
1998/1/19,2.4,3.8,1.0
1998/1/20,5.2,9.2,1.1
1998/1/21,6.7,7.8,3.2
1998/1/22,5.1,7.0,2.0
1998/1/23,5.0,7.1,1.6
1998/1/24,1.4,4.0,-0.1
1998/1/25,3.0,5.5,0.9
1998/1/26,6.3,7.8,4.6
1998/1/27,7.2,9.6,5.7
1998/1/28,6.2,8.1,4.7
1998/1/29,3.7,7.8,-1.3
1998/1/30,5.5,11.0,-1.5
1998/1/31,7.0,10.5,2.4
1998/2/1,8.0,13.2,2.2
1998/2/2,7.1,13.0,2.2
1998/2/3,8.6,11.1,3.9
1998/2/4,8.0,9.8,6.3
1998/2/5,6.7,8.4,4.9
1998/2/6,7.3,10.5,4.0
1998/2/7,7.8,11.0,3.5
1998/2/8,6.4,8.9,4.9
1998/2/9,9.0,14.8,2.0
1998/2/10,7.2,14.5,0.4
1998/2/11,8.8,15.8,-1.2
1998/2/12,16.4,20.9,11.0
1998/2/13,14.7,18.6,8.4
1998/2/14,13.4,18.4,9.7
1998/2/15,10.2,13.3,6.3
1998/2/16,9.5,14.3,3.9
1998/2/17,10.8,13.9,7.9
1998/2/18,9.9,12.7,7.0
1998/2/19,14.7,16.9,12.6
1998/2/20,15.6,17.2,14.0
1998/2/21,11.9,14.2,10.0
1998/2/22,11.1,14.2,8.4
1998/2/23,11.6,12.9,10.6
1998/2/24,12.5,14.2,11.6
1998/2/25,11.2,12.2,10.6
1998/2/26,10.5,14.3,5.5
1998/2/27,10.4,16.2,4.4
1998/2/28,9.4,10.8,8.6
1998/3/1,9.6,12.3,5.4
1998/3/2,8.2,13.5,3.0
1998/3/3,9.2,14.6,2.7
1998/3/4,11.2,14.4,6.9
1998/3/5,10.8,14.6,6.1
1998/3/6,10.0,16.9,3.7
1998/3/7,10.8,13.8,7.3
1998/3/8,10.5,12.9,7.3
1998/3/9,12.1,15.7,10.4
1998/3/10,9.5,11.0,8.5
1998/3/11,12.1,14.4,10.7
1998/3/12,10.6,12.5,9.3
1998/3/13,12.3,15.8,8.1
1998/3/14,13.8,17.8,8.5
1998/3/15,7.1,9.7,4.9
1998/3/16,8.8,13.3,4.4
1998/3/17,10.2,15.9,2.8
1998/3/18,13.9,18.3,9.2
1998/3/19,16.9,18.2,15.3
1998/3/20,6.8,15.9,3.9
1998/3/21,7.5,9.4,5.9
1998/3/22,6.6,9.3,2.0
1998/3/23,8.4,13.2,1.9
1998/3/24,9.0,12.1,7.3
1998/3/25,9.6,14.8,6.1
1998/3/26,12.5,17.4,6.3
1998/3/27,14.2,19.6,11.3
1998/3/28,13.0,17.6,9.4
1998/3/29,12.5,19.0,7.3
1998/3/30,13.5,20.9,6.2
1998/3/31,16.4,21.4,10.2
