ダウンロードした時刻：2017/07/24 15:36:54

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/1/1,-2.3,-0.9,-4.1
2010/1/2,-0.4,1.1,-1.9
2010/1/3,-0.2,1.2,-1.4
2010/1/4,0.1,1.5,-3.4
2010/1/5,2.4,5.3,-2.1
2010/1/6,1.0,2.6,0.2
2010/1/7,-0.5,0.4,-2.1
2010/1/8,0.6,2.5,-0.4
2010/1/9,0.8,3.2,-1.6
2010/1/10,0.3,1.9,-1.4
2010/1/11,0.0,2.4,-3.7
2010/1/12,0.5,2.1,-0.4
2010/1/13,-0.7,1.7,-3.4
2010/1/14,-3.7,-2.7,-4.4
2010/1/15,-2.8,-1.7,-3.4
2010/1/16,-3.1,-0.6,-6.0
2010/1/17,-3.2,0.0,-8.7
2010/1/18,-2.2,0.9,-6.2
2010/1/19,1.0,4.8,-3.5
2010/1/20,1.0,8.7,-3.1
2010/1/21,0.8,7.4,-3.1
2010/1/22,-2.5,-1.4,-3.8
2010/1/23,-1.1,1.3,-2.3
2010/1/24,0.7,4.3,-2.0
2010/1/25,2.3,6.4,-1.1
2010/1/26,-1.3,0.5,-2.5
2010/1/27,1.3,6.0,-3.5
2010/1/28,-0.1,4.4,-3.7
2010/1/29,1.2,3.7,-1.7
2010/1/30,0.7,2.9,0.1
2010/1/31,1.5,5.7,0.1
2010/2/1,0.9,4.5,-2.3
2010/2/2,-1.9,1.6,-4.4
2010/2/3,-5.0,-3.1,-5.6
2010/2/4,-4.8,-1.9,-6.7
2010/2/5,-6.2,-2.9,-13.5
2010/2/6,-5.3,-3.3,-7.3
2010/2/7,-0.8,1.8,-5.5
2010/2/8,1.0,5.4,-5.4
2010/2/9,2.5,6.3,0.2
2010/2/10,0.5,1.7,-0.7
2010/2/11,-0.2,2.2,-1.7
2010/2/12,-2.2,0.4,-4.4
2010/2/13,-3.0,-0.3,-5.2
2010/2/14,-1.5,2.2,-4.4
2010/2/15,-0.7,2.6,-4.9
2010/2/16,-2.8,1.8,-7.8
2010/2/17,-3.4,-0.1,-7.8
2010/2/18,-1.7,5.4,-9.3
2010/2/19,0.2,2.4,-1.7
2010/2/20,-1.0,0.9,-3.7
2010/2/21,-1.3,2.2,-6.7
2010/2/22,-0.9,7.3,-10.0
2010/2/23,4.5,9.4,-2.4
2010/2/24,1.0,9.9,-5.7
2010/2/25,2.6,12.1,-4.4
2010/2/26,2.2,4.4,-0.5
2010/2/27,3.5,9.4,-1.8
2010/2/28,0.5,3.0,-2.9
2010/3/1,1.5,4.6,-0.1
2010/3/2,0.6,2.1,-0.6
2010/3/3,1.7,6.2,-0.3
2010/3/4,2.3,5.8,-1.9
2010/3/5,4.1,9.0,1.4
2010/3/6,3.6,5.5,2.3
2010/3/7,2.0,4.6,-0.1
2010/3/8,0.2,3.6,-2.4
2010/3/9,-1.2,1.9,-4.3
2010/3/10,0.5,2.1,-1.9
2010/3/11,2.1,4.5,-0.9
2010/3/12,2.8,10.7,-4.3
2010/3/13,3.2,10.9,-1.2
2010/3/14,2.0,5.7,-2.1
2010/3/15,2.3,10.3,-5.1
2010/3/16,4.0,8.2,0.6
2010/3/17,0.4,3.9,-1.4
2010/3/18,0.6,4.7,-3.1
2010/3/19,1.3,7.6,-6.2
2010/3/20,2.9,5.3,1.5
2010/3/21,3.9,10.8,-0.2
2010/3/22,2.6,6.2,-0.4
2010/3/23,4.1,6.8,0.8
2010/3/24,4.5,7.4,1.1
2010/3/25,1.3,3.5,0.3
2010/3/26,1.7,5.1,-1.5
2010/3/27,-1.1,3.9,-6.8
2010/3/28,-0.3,4.3,-6.3
2010/3/29,-0.4,4.4,-3.1
2010/3/30,0.3,5.2,-6.5
2010/3/31,2.8,9.8,-4.3
2010/4/1,4.2,5.7,2.6
2010/4/2,4.8,6.9,3.0
2010/4/3,3.9,9.0,0.6
2010/4/4,4.9,14.2,-1.9
2010/4/5,4.3,8.3,0.0
2010/4/6,7.5,13.6,3.0
2010/4/7,5.6,8.8,2.8
2010/4/8,4.3,9.4,0.2
2010/4/9,6.4,15.8,-1.7
2010/4/10,9.4,19.9,0.8
2010/4/11,8.5,12.6,4.9
2010/4/12,4.3,5.9,2.9
2010/4/13,9.5,16.6,5.1
2010/4/14,3.9,5.8,1.0
2010/4/15,3.7,8.1,-0.9
2010/4/16,3.5,8.0,-1.2
2010/4/17,2.4,4.8,0.0
2010/4/18,4.7,9.1,1.1
2010/4/19,7.5,16.9,-0.6
2010/4/20,10.8,18.4,2.7
2010/4/21,8.0,12.1,5.2
2010/4/22,4.9,6.6,3.8
2010/4/23,5.7,8.8,3.6
2010/4/24,6.0,11.3,2.7
2010/4/25,8.7,15.6,0.8
2010/4/26,9.4,16.3,3.1
2010/4/27,8.6,12.1,5.6
2010/4/28,11.4,15.4,9.3
2010/4/29,10.5,15.0,6.4
2010/4/30,9.4,15.0,4.3
2010/5/1,10.6,15.4,4.6
