ダウンロードした時刻：2019/10/10 15:49:43

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,0.7,6.1,-4.3
1995/12/2,1.9,9.9,-3.9
1995/12/3,1.4,9.8,-4.9
1995/12/4,3.0,10.9,-3.6
1995/12/5,3.2,7.6,-0.2
1995/12/6,2.5,8.8,-2.7
1995/12/7,-0.5,7.8,-5.8
1995/12/8,-1.0,6.2,-6.9
1995/12/9,0.3,6.2,-3.7
1995/12/10,-1.3,6.7,-7.0
1995/12/11,2.2,12.1,-7.1
1995/12/12,3.2,7.3,-2.0
1995/12/13,0.2,7.6,-5.6
1995/12/14,2.2,9.4,-5.2
1995/12/15,6.0,10.8,-0.5
1995/12/16,-0.9,4.0,-5.1
1995/12/17,0.1,6.7,-4.4
1995/12/18,-2.0,4.7,-7.9
1995/12/19,0.0,6.5,-3.7
1995/12/20,0.9,8.1,-5.2
1995/12/21,2.3,8.0,-4.2
1995/12/22,-1.7,6.0,-6.9
1995/12/23,3.5,10.5,-4.6
1995/12/24,1.5,5.4,-2.8
1995/12/25,-4.8,-2.3,-6.6
1995/12/26,-5.5,-1.3,-7.9
1995/12/27,-4.4,1.6,-9.5
1995/12/28,-1.8,4.7,-9.8
1995/12/29,3.7,7.7,0.5
1995/12/30,0.1,4.5,-4.6
1995/12/31,-0.4,6.7,-7.6
1996/1/1,1.5,5.9,-2.5
1996/1/2,-1.3,5.9,-5.9
1996/1/3,5.3,9.9,-4.0
1996/1/4,-0.8,5.3,-6.1
1996/1/5,-2.4,5.4,-8.8
1996/1/6,0.5,6.6,-3.4
1996/1/7,-0.9,6.9,-7.1
1996/1/8,4.6,9.4,-4.1
1996/1/9,-3.7,-1.6,-5.5
1996/1/10,-0.8,1.8,-3.3
1996/1/11,0.2,7.3,-3.9
1996/1/12,-1.1,6.5,-6.6
1996/1/13,-1.1,7.1,-6.8
1996/1/14,3.3,10.5,-7.5
1996/1/15,12.8,17.7,8.1
1996/1/16,5.2,12.4,0.6
1996/1/17,-0.1,3.2,-3.1
1996/1/18,0.1,3.6,-2.8
1996/1/19,-0.3,3.7,-2.4
1996/1/20,1.2,8.7,-2.3
1996/1/21,0.4,7.8,-3.3
1996/1/22,-0.7,6.4,-5.2
1996/1/23,-1.0,5.0,-4.6
1996/1/24,-2.6,2.7,-7.1
1996/1/25,-3.5,2.8,-10.4
1996/1/26,-3.6,1.4,-8.0
1996/1/27,-4.6,3.8,-11.0
1996/1/28,-1.4,7.7,-10.3
1996/1/29,1.6,5.7,-1.8
1996/1/30,-1.9,1.7,-4.4
1996/1/31,-2.8,0.3,-5.2
1996/2/1,-1.9,2.4,-4.0
1996/2/2,-6.1,-2.6,-9.7
1996/2/3,-4.1,2.2,-9.2
1996/2/4,-3.5,5.4,-11.0
1996/2/5,0.3,7.5,-7.2
1996/2/6,-3.3,-0.8,-4.7
1996/2/7,-3.1,2.9,-9.0
1996/2/8,-0.9,4.1,-7.4
1996/2/9,1.3,4.7,-4.1
1996/2/10,-5.1,0.7,-9.8
1996/2/11,-3.9,4.3,-11.9
1996/2/12,3.0,11.8,-8.8
1996/2/13,9.8,14.4,5.5
1996/2/14,10.1,21.1,0.1
1996/2/15,3.7,9.9,-0.6
1996/2/16,-1.3,2.9,-4.3
1996/2/17,-3.8,-1.9,-4.8
1996/2/18,-2.3,1.1,-4.1
1996/2/19,-4.8,1.0,-9.4
1996/2/20,-6.6,-0.6,-11.3
1996/2/21,-6.1,1.7,-12.0
1996/2/22,-4.7,2.9,-11.5
1996/2/23,-3.2,4.8,-9.8
1996/2/24,-2.4,4.3,-7.7
1996/2/25,0.7,8.5,-6.3
1996/2/26,1.9,5.7,0.1
1996/2/27,3.2,8.1,-0.5
1996/2/28,1.1,8.8,-3.6
1996/2/29,2.9,11.5,-5.7
1996/3/1,4.3,9.4,0.8
1996/3/2,-0.5,4.6,-3.9
1996/3/3,-1.4,4.5,-5.2
1996/3/4,-0.2,7.5,-6.5
1996/3/5,-2.7,3.4,-6.9
1996/3/6,-2.3,6.2,-9.1
1996/3/7,-1.3,4.0,-6.6
1996/3/8,4.5,12.4,-0.6
1996/3/9,2.1,8.7,-2.6
1996/3/10,0.1,7.9,-5.4
1996/3/11,1.3,10.3,-4.6
1996/3/12,-1.3,3.0,-4.2
1996/3/13,1.9,10.8,-6.9
1996/3/14,5.3,15.3,-3.0
1996/3/15,2.0,4.7,0.2
1996/3/16,3.6,8.1,-1.1
1996/3/17,10.1,18.7,3.8
1996/3/18,4.3,9.7,-2.3
1996/3/19,0.9,8.4,-5.2
1996/3/20,3.6,10.1,-2.2
1996/3/21,7.9,16.9,-1.5
1996/3/22,8.0,15.9,2.9
1996/3/23,1.1,3.5,-1.7
1996/3/24,4.8,14.3,-4.0
1996/3/25,5.3,8.4,3.5
1996/3/26,5.5,11.9,0.3
1996/3/27,6.0,16.3,-2.2
1996/3/28,4.6,12.8,-0.7
1996/3/29,7.5,15.9,-0.8
1996/3/30,13.3,17.0,9.7
1996/3/31,12.1,19.7,7.1
