ダウンロードした時刻：2019/10/10 15:44:04

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,7.5,10.2,6.0
2013/12/2,7.6,10.9,5.1
2013/12/3,7.9,10.9,5.7
2013/12/4,8.4,12.7,5.8
2013/12/5,9.0,12.3,5.9
2013/12/6,8.5,11.2,7.5
2013/12/7,5.0,7.7,2.5
2013/12/8,6.1,8.8,4.1
2013/12/9,6.7,11.4,2.1
2013/12/10,9.0,12.5,6.7
2013/12/11,7.0,9.3,3.9
2013/12/12,2.9,6.3,0.4
2013/12/13,3.3,7.1,0.4
2013/12/14,3.0,4.9,0.6
2013/12/15,2.7,4.4,0.9
2013/12/16,5.3,6.6,1.6
2013/12/17,4.3,6.8,2.3
2013/12/18,4.4,6.8,2.1
2013/12/19,7.0,9.9,3.8
2013/12/20,5.2,7.2,2.9
2013/12/21,4.0,7.7,1.2
2013/12/22,5.0,6.9,3.1
2013/12/23,3.8,6.3,2.0
2013/12/24,3.3,6.2,1.0
2013/12/25,4.6,7.1,1.4
2013/12/26,4.4,9.8,0.2
2013/12/27,4.1,6.1,1.2
2013/12/28,2.1,3.9,-0.1
2013/12/29,2.1,5.6,0.3
2013/12/30,5.1,7.0,2.5
2013/12/31,3.0,7.0,0.9
2014/1/1,6.5,9.1,3.2
2014/1/2,3.8,6.9,2.3
2014/1/3,4.5,8.2,0.2
2014/1/4,4.3,7.4,2.0
2014/1/5,2.4,4.8,0.7
2014/1/6,3.1,5.2,0.6
2014/1/7,3.3,8.0,0.4
2014/1/8,3.8,6.7,0.4
2014/1/9,1.9,5.6,-1.5
2014/1/10,-0.1,1.9,-2.4
2014/1/11,1.3,3.1,0.0
2014/1/12,2.1,4.9,-0.2
2014/1/13,0.2,2.3,-1.4
2014/1/14,0.4,2.9,-2.1
2014/1/15,0.1,4.2,-4.3
2014/1/16,1.4,4.2,-2.1
2014/1/17,1.3,3.2,-0.2
2014/1/18,1.0,2.6,0.0
2014/1/19,0.7,2.5,-0.9
2014/1/20,1.4,4.7,-0.8
2014/1/21,1.9,4.0,0.5
2014/1/22,2.5,4.6,0.9
2014/1/23,2.6,5.4,-0.9
2014/1/24,2.3,8.3,-3.0
2014/1/25,6.1,11.4,3.2
2014/1/26,3.8,10.1,-1.8
2014/1/27,0.6,2.7,-1.5
2014/1/28,2.5,9.8,-3.0
2014/1/29,2.5,5.5,-0.2
2014/1/30,4.7,11.2,-0.2
2014/1/31,3.7,7.8,2.1
2014/2/1,3.6,7.3,-1.9
2014/2/2,8.5,14.2,3.8
2014/2/3,7.4,11.2,2.8
2014/2/4,0.3,3.0,-2.8
2014/2/5,-2.8,-1.1,-4.4
2014/2/6,-0.7,0.8,-2.3
2014/2/7,-0.1,2.1,-1.5
2014/2/8,-0.9,-0.1,-2.1
2014/2/9,1.1,4.1,-1.1
2014/2/10,1.9,3.9,0.4
2014/2/11,0.3,2.4,-1.8
2014/2/12,0.5,4.8,-4.4
2014/2/13,1.8,3.2,-0.2
2014/2/14,0.4,2.7,-0.7
2014/2/15,2.6,4.4,0.0
2014/2/16,4.8,6.7,3.1
2014/2/17,3.6,5.6,0.8
2014/2/18,0.9,3.3,-1.0
2014/2/19,1.5,3.8,0.0
2014/2/20,1.8,4.1,-0.3
2014/2/21,1.4,3.3,-0.2
2014/2/22,2.0,4.4,0.2
2014/2/23,2.0,4.5,0.4
2014/2/24,2.3,5.8,0.1
2014/2/25,3.8,8.8,-0.9
2014/2/26,6.0,10.6,1.4
2014/2/27,7.9,13.4,1.9
2014/2/28,7.4,9.7,4.5
2014/3/1,5.4,8.7,2.1
2014/3/2,4.4,5.8,2.7
2014/3/3,2.6,5.7,-0.6
2014/3/4,4.1,9.9,-2.8
2014/3/5,5.2,6.6,1.8
2014/3/6,0.4,3.0,-1.6
2014/3/7,0.6,2.9,-1.5
2014/3/8,1.8,3.9,-0.7
2014/3/9,2.4,7.5,-0.7
2014/3/10,0.4,2.3,-1.2
2014/3/11,3.2,6.1,0.0
2014/3/12,7.3,12.4,1.4
2014/3/13,6.3,7.2,5.0
2014/3/14,4.2,5.9,2.0
2014/3/15,3.1,5.8,0.6
2014/3/16,5.4,11.1,1.1
2014/3/17,5.8,10.1,0.2
2014/3/18,7.2,10.7,4.1
2014/3/19,6.8,9.2,5.6
2014/3/20,6.1,7.5,4.3
2014/3/21,4.7,5.6,2.3
2014/3/22,5.9,8.6,2.2
2014/3/23,7.9,10.7,4.5
2014/3/24,10.6,15.8,5.5
2014/3/25,12.0,16.6,6.4
2014/3/26,11.5,16.5,8.6
2014/3/27,9.8,13.4,7.3
2014/3/28,10.7,15.5,7.5
2014/3/29,14.7,20.9,8.2
2014/3/30,11.1,13.8,7.9
2014/3/31,8.5,10.6,6.8
