ダウンロードした時刻：2019/10/10 16:22:27

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,14.2,17.5,12.5
2003/12/2,13.7,16.8,9.0
2003/12/3,12.0,17.5,7.4
2003/12/4,10.3,15.7,5.8
2003/12/5,11.1,15.4,6.5
2003/12/6,15.3,22.5,11.3
2003/12/7,9.1,13.0,4.7
2003/12/8,7.5,12.0,2.2
2003/12/9,8.2,12.0,4.5
2003/12/10,8.5,14.5,3.1
2003/12/11,8.2,11.0,5.3
2003/12/12,9.1,11.5,6.0
2003/12/13,8.1,12.3,3.3
2003/12/14,6.8,13.0,1.1
2003/12/15,9.1,12.7,4.3
2003/12/16,9.1,13.3,5.9
2003/12/17,9.5,13.6,5.0
2003/12/18,9.0,11.7,7.5
2003/12/19,4.9,8.8,1.8
2003/12/20,3.8,6.8,2.3
2003/12/21,5.6,11.2,1.4
2003/12/22,7.6,14.8,0.3
2003/12/23,9.3,16.4,2.7
2003/12/24,11.9,19.2,5.7
2003/12/25,10.9,18.1,2.3
2003/12/26,7.9,11.7,2.9
2003/12/27,5.2,8.3,2.6
2003/12/28,5.5,12.4,0.3
2003/12/29,9.0,16.0,-0.3
2003/12/30,10.2,15.4,4.9
2003/12/31,9.0,12.1,6.9
2004/1/1,8.9,14.2,4.2
2004/1/2,7.0,12.4,1.8
2004/1/3,8.0,12.4,3.1
2004/1/4,6.6,13.1,1.2
2004/1/5,6.9,13.3,2.4
2004/1/6,7.1,12.4,2.1
2004/1/7,8.8,14.9,2.4
2004/1/8,7.9,10.0,4.1
2004/1/9,6.0,10.5,0.8
2004/1/10,9.3,14.7,4.8
2004/1/11,8.5,9.6,7.2
2004/1/12,7.0,11.0,0.9
2004/1/13,6.0,9.3,3.6
2004/1/14,5.2,9.3,2.1
2004/1/15,5.7,10.9,1.1
2004/1/16,5.2,7.4,3.1
2004/1/17,4.5,7.9,1.8
2004/1/18,6.2,13.0,0.3
2004/1/19,6.6,9.6,4.6
2004/1/20,6.3,10.3,3.4
2004/1/21,3.8,8.1,0.8
2004/1/22,-0.2,3.9,-2.7
2004/1/23,2.9,7.5,-1.6
2004/1/24,3.3,6.9,0.9
2004/1/25,2.5,5.8,-0.2
2004/1/26,3.6,7.2,0.1
2004/1/27,3.9,8.5,0.8
2004/1/28,4.4,10.9,-1.2
2004/1/29,5.4,13.3,-0.8
2004/1/30,6.3,13.0,-0.8
2004/1/31,6.8,12.8,1.3
2004/2/1,6.9,11.5,1.5
2004/2/2,9.5,14.1,7.3
2004/2/3,6.9,9.8,3.3
2004/2/4,4.9,9.3,2.0
2004/2/5,3.5,8.0,0.3
2004/2/6,3.8,7.9,1.0
2004/2/7,3.5,7.3,1.1
2004/2/8,5.8,10.8,0.6
2004/2/9,6.8,10.7,1.9
2004/2/10,4.4,10.8,-1.7
2004/2/11,7.4,14.1,-0.5
2004/2/12,8.9,15.1,3.1
2004/2/13,6.8,12.6,0.8
2004/2/14,10.8,19.4,2.5
2004/2/15,8.7,13.3,4.5
2004/2/16,7.8,11.4,3.3
2004/2/17,9.5,19.0,0.5
2004/2/18,9.1,17.2,2.5
2004/2/19,10.1,16.2,3.4
2004/2/20,12.0,17.2,7.6
2004/2/21,14.1,22.8,6.9
2004/2/22,15.7,25.5,9.9
2004/2/23,9.4,13.0,5.0
2004/2/24,8.1,13.5,1.2
2004/2/25,11.6,17.3,7.5
2004/2/26,11.3,15.8,6.7
2004/2/27,9.0,13.6,4.3
2004/2/28,8.6,13.2,2.3
2004/2/29,13.3,18.0,10.2
2004/3/1,10.0,12.3,6.8
2004/3/2,7.1,11.4,3.6
2004/3/3,5.7,9.1,1.1
2004/3/4,4.7,7.7,1.1
2004/3/5,6.6,14.6,-1.8
2004/3/6,5.7,9.6,2.3
2004/3/7,4.1,8.0,1.4
2004/3/8,6.7,11.7,1.0
2004/3/9,9.0,16.1,2.2
2004/3/10,13.1,23.8,3.7
2004/3/11,14.9,17.0,13.0
2004/3/12,9.1,13.0,4.4
2004/3/13,8.9,16.8,1.9
2004/3/14,9.4,15.7,3.4
2004/3/15,10.8,17.7,4.3
2004/3/16,12.5,20.1,4.2
2004/3/17,16.5,21.6,10.3
2004/3/18,12.2,15.4,9.0
2004/3/19,9.7,13.8,5.3
2004/3/20,9.7,12.5,6.5
2004/3/21,8.2,11.2,5.2
2004/3/22,8.9,10.3,7.8
2004/3/23,9.6,13.5,4.1
2004/3/24,12.4,17.5,9.0
2004/3/25,10.5,13.0,8.0
2004/3/26,12.2,16.3,8.2
2004/3/27,9.7,14.6,4.7
2004/3/28,11.9,17.6,5.6
2004/3/29,14.0,19.2,8.5
2004/3/30,14.3,17.0,11.3
2004/3/31,13.3,17.5,7.1
