ダウンロードした時刻：2019/10/10 16:07:09

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,9.9,13.5,6.7
2001/12/2,10.1,16.3,5.5
2001/12/3,12.9,16.2,8.2
2001/12/4,9.7,13.3,5.6
2001/12/5,9.5,14.4,3.7
2001/12/6,9.9,12.7,8.5
2001/12/7,8.7,10.6,4.4
2001/12/8,9.3,14.0,3.9
2001/12/9,10.8,13.9,8.5
2001/12/10,8.9,13.8,6.2
2001/12/11,7.3,11.6,4.8
2001/12/12,8.4,14.7,1.6
2001/12/13,10.6,14.1,6.7
2001/12/14,5.3,7.6,3.2
2001/12/15,5.4,6.7,4.4
2001/12/16,7.1,10.2,4.6
2001/12/17,7.8,11.0,3.9
2001/12/18,7.4,9.6,3.9
2001/12/19,6.8,12.1,2.6
2001/12/20,7.2,11.2,3.8
2001/12/21,6.6,9.4,4.3
2001/12/22,3.9,7.4,1.6
2001/12/23,5.3,9.5,2.3
2001/12/24,5.6,10.2,2.8
2001/12/25,5.6,10.9,1.5
2001/12/26,8.0,9.9,3.8
2001/12/27,8.2,9.4,6.7
2001/12/28,7.5,9.8,4.2
2001/12/29,6.3,10.6,2.9
2001/12/30,6.4,10.2,3.9
2001/12/31,7.2,10.1,5.7
2002/1/1,8.0,10.2,5.1
2002/1/2,1.3,5.3,-1.9
2002/1/3,3.9,7.5,0.7
2002/1/4,10.9,12.7,7.2
2002/1/5,7.8,12.2,3.6
2002/1/6,6.0,10.3,1.5
2002/1/7,8.2,14.9,1.6
2002/1/8,4.3,6.2,1.6
2002/1/9,6.1,8.5,4.2
2002/1/10,10.0,12.9,6.2
2002/1/11,12.2,13.7,10.1
2002/1/12,12.1,15.8,8.7
2002/1/13,12.5,15.8,7.7
2002/1/14,11.2,16.8,5.8
2002/1/15,16.1,20.7,11.9
2002/1/16,12.8,17.7,8.3
2002/1/17,6.4,8.5,4.3
2002/1/18,5.8,9.9,4.3
2002/1/19,6.2,11.5,2.9
2002/1/20,6.3,12.5,1.3
2002/1/21,7.6,9.5,3.2
2002/1/22,5.5,6.8,3.5
2002/1/23,4.2,5.8,2.3
2002/1/24,5.3,7.3,3.7
2002/1/25,4.9,9.7,1.0
2002/1/26,5.0,7.0,2.8
2002/1/27,7.2,9.1,4.6
2002/1/28,5.9,7.6,4.0
2002/1/29,3.4,4.9,1.6
2002/1/30,5.4,6.7,4.5
2002/1/31,3.2,5.7,0.5
2002/2/1,4.6,9.3,1.0
2002/2/2,5.5,12.0,1.2
2002/2/3,5.0,9.3,1.7
2002/2/4,5.1,10.7,0.4
2002/2/5,7.5,11.9,3.3
2002/2/6,9.0,13.6,3.6
2002/2/7,8.9,11.8,2.6
2002/2/8,9.4,13.4,1.7
2002/2/9,6.5,11.0,3.7
2002/2/10,5.1,7.1,2.7
2002/2/11,4.4,5.9,2.5
2002/2/12,4.8,7.5,1.4
2002/2/13,7.2,9.3,4.6
2002/2/14,4.3,6.6,0.9
2002/2/15,4.8,10.4,0.9
2002/2/16,7.8,13.0,2.0
2002/2/17,10.5,12.4,8.5
2002/2/18,6.6,12.2,4.2
2002/2/19,4.5,6.0,0.7
2002/2/20,8.5,11.9,3.5
2002/2/21,11.4,14.8,8.4
2002/2/22,10.7,13.1,9.1
2002/2/23,8.4,12.7,4.4
2002/2/24,7.5,13.5,2.4
2002/2/25,5.6,11.7,-0.2
2002/2/26,10.4,12.4,6.4
2002/2/27,11.3,13.4,9.4
2002/2/28,9.3,11.0,6.4
2002/3/1,8.8,14.8,4.3
2002/3/2,8.2,13.4,3.6
2002/3/3,6.3,11.2,2.6
2002/3/4,7.8,14.0,2.4
2002/3/5,8.6,10.8,6.8
2002/3/6,9.4,11.3,6.5
2002/3/7,6.3,9.3,4.7
2002/3/8,7.4,11.0,2.8
2002/3/9,11.3,14.9,6.2
2002/3/10,13.2,16.1,10.9
2002/3/11,11.0,14.5,5.9
2002/3/12,12.1,16.4,7.4
2002/3/13,10.3,17.0,4.3
2002/3/14,14.1,21.9,6.6
2002/3/15,14.8,18.3,10.8
2002/3/16,11.7,17.4,7.9
2002/3/17,13.1,17.1,8.2
2002/3/18,11.5,14.5,8.1
2002/3/19,13.3,16.4,9.3
2002/3/20,14.9,18.5,9.7
2002/3/21,16.2,20.3,12.2
2002/3/22,11.4,13.7,9.5
2002/3/23,9.2,11.7,7.0
2002/3/24,8.6,11.6,4.5
2002/3/25,8.6,14.5,3.2
2002/3/26,10.8,15.8,4.4
2002/3/27,10.8,14.3,4.7
2002/3/28,9.5,17.2,1.0
2002/3/29,13.5,16.6,12.0
2002/3/30,12.3,16.2,9.1
2002/3/31,13.2,17.3,8.5
