ダウンロードした時刻：2017/07/24 15:47:24

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,7.3,12.6,1.6
2007/1/2,10.9,14.5,8.8
2007/1/3,10.3,14.4,5.9
2007/1/4,9.9,12.2,7.2
2007/1/5,9.5,13.8,6.2
2007/1/6,6.3,9.0,3.1
2007/1/7,6.4,9.4,3.1
2007/1/8,6.5,8.4,2.0
2007/1/9,4.0,10.0,0.0
2007/1/10,5.2,10.6,1.4
2007/1/11,4.4,11.1,-1.5
2007/1/12,5.7,11.7,-1.1
2007/1/13,4.8,8.3,0.9
2007/1/14,3.9,10.0,-2.1
2007/1/15,5.4,12.8,-1.6
2007/1/16,9.1,11.2,6.7
2007/1/17,9.5,11.7,4.9
2007/1/18,5.9,11.4,2.0
2007/1/19,6.4,12.6,-0.1
2007/1/20,10.0,15.5,6.0
2007/1/21,8.6,11.3,5.3
2007/1/22,7.4,14.0,1.9
2007/1/23,7.8,11.5,3.0
2007/1/24,8.1,13.2,4.9
2007/1/25,7.5,14.0,2.8
2007/1/26,8.2,14.2,3.4
2007/1/27,7.1,11.2,4.2
2007/1/28,5.2,10.2,1.2
2007/1/29,4.1,9.2,0.0
2007/1/30,6.2,13.4,-1.5
2007/1/31,5.9,10.3,1.8
2007/2/1,2.4,5.8,0.0
2007/2/2,0.8,6.2,-2.5
2007/2/3,3.1,10.0,-4.8
2007/2/4,7.9,15.1,2.7
2007/2/5,8.9,17.0,1.9
2007/2/6,12.1,19.8,5.5
2007/2/7,12.0,19.2,6.5
2007/2/8,13.2,20.6,6.9
2007/2/9,13.9,15.5,9.8
2007/2/10,10.3,14.0,7.7
2007/2/11,8.2,12.6,3.5
2007/2/12,7.8,14.5,1.1
2007/2/13,11.4,18.5,2.8
2007/2/14,13.0,18.7,5.8
2007/2/15,7.2,11.9,3.1
2007/2/16,5.9,10.1,0.6
2007/2/17,9.9,12.5,6.4
2007/2/18,12.0,14.4,9.7
2007/2/19,10.2,15.7,4.3
2007/2/20,9.9,17.6,3.0
2007/2/21,10.8,18.9,2.6
2007/2/22,11.5,21.1,4.4
2007/2/23,12.0,17.6,7.6
2007/2/24,8.8,14.0,3.8
2007/2/25,9.1,12.7,7.1
2007/2/26,12.3,20.4,3.9
2007/2/27,14.4,21.5,9.8
2007/2/28,11.2,16.7,6.7
2007/3/1,10.8,18.8,3.2
2007/3/2,14.7,22.2,8.2
2007/3/3,17.3,23.7,11.9
2007/3/4,18.5,26.1,10.9
2007/3/5,11.5,19.7,6.9
2007/3/6,5.8,10.1,1.5
2007/3/7,4.4,8.7,0.1
2007/3/8,6.0,10.8,1.6
2007/3/9,7.7,14.2,1.8
2007/3/10,7.6,14.6,2.1
2007/3/11,7.4,9.6,4.6
2007/3/12,7.3,13.3,1.2
2007/3/13,8.1,14.6,2.2
2007/3/14,8.2,13.3,1.2
2007/3/15,8.2,10.3,5.5
2007/3/16,9.6,11.4,8.2
2007/3/17,10.4,16.4,6.0
2007/3/18,9.1,15.3,4.2
2007/3/19,8.6,11.9,4.7
2007/3/20,9.9,16.4,5.5
2007/3/21,9.9,18.0,2.0
2007/3/22,12.0,19.3,5.2
2007/3/23,14.0,23.2,4.5
2007/3/24,15.8,17.9,12.5
2007/3/25,16.0,20.3,11.0
2007/3/26,14.3,21.9,6.6
2007/3/27,12.8,14.4,10.1
2007/3/28,14.6,22.6,7.2
2007/3/29,18.8,24.1,12.2
2007/3/30,18.9,22.7,12.9
2007/3/31,18.6,26.8,10.0
2007/4/1,16.5,21.1,13.4
2007/4/2,14.9,19.4,12.4
2007/4/3,10.2,14.7,5.9
2007/4/4,9.0,16.2,2.1
2007/4/5,10.7,18.3,1.8
2007/4/6,11.3,13.9,9.8
2007/4/7,14.5,20.7,9.9
2007/4/8,13.3,20.2,5.3
2007/4/9,14.5,21.1,7.6
2007/4/10,14.5,20.9,7.7
2007/4/11,16.1,23.4,9.9
2007/4/12,16.7,24.8,8.9
2007/4/13,17.8,24.4,11.2
2007/4/14,16.1,22.5,9.9
2007/4/15,16.1,20.4,12.6
2007/4/16,14.6,19.4,11.2
2007/4/17,13.4,17.4,10.3
2007/4/18,7.9,12.4,5.7
2007/4/19,12.3,20.1,3.2
2007/4/20,16.6,23.9,7.5
2007/4/21,20.0,25.6,14.7
2007/4/22,18.1,19.4,17.0
2007/4/23,17.7,23.7,13.9
2007/4/24,14.9,19.6,12.3
2007/4/25,15.9,20.9,12.3
2007/4/26,17.0,24.8,8.7
2007/4/27,17.0,22.0,12.6
2007/4/28,17.8,24.6,11.6
2007/4/29,17.8,26.5,9.1
2007/4/30,18.5,25.6,12.9
2007/5/1,18.5,22.2,15.8
