ダウンロードした時刻：2019/10/10 16:10:09

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,11.3,16.1,6.1
1994/12/2,13.1,17.7,8.4
1994/12/3,10.0,13.2,7.0
1994/12/4,7.8,11.2,4.5
1994/12/5,8.3,13.1,5.2
1994/12/6,8.3,13.1,4.2
1994/12/7,9.7,18.1,2.7
1994/12/8,10.8,15.4,5.8
1994/12/9,11.9,15.6,9.2
1994/12/10,9.4,12.4,6.8
1994/12/11,7.0,8.6,5.4
1994/12/12,10.4,13.7,6.6
1994/12/13,10.2,11.5,7.0
1994/12/14,6.5,9.1,4.4
1994/12/15,6.2,10.6,3.4
1994/12/16,3.7,6.8,1.1
1994/12/17,4.6,9.0,0.3
1994/12/18,5.3,10.5,0.8
1994/12/19,5.0,9.7,-0.1
1994/12/20,5.6,9.5,2.2
1994/12/21,7.6,11.5,4.6
1994/12/22,6.5,11.9,1.7
1994/12/23,6.6,12.9,1.1
1994/12/24,8.8,13.6,3.3
1994/12/25,9.2,13.3,5.8
1994/12/26,7.1,10.7,2.9
1994/12/27,9.5,12.7,5.3
1994/12/28,9.8,13.9,6.7
1994/12/29,7.2,10.4,3.7
1994/12/30,6.0,9.7,2.2
1994/12/31,6.8,10.9,4.3
1995/1/1,5.9,9.9,1.8
1995/1/2,5.6,8.0,1.6
1995/1/3,3.5,5.6,0.4
1995/1/4,7.5,9.9,5.4
1995/1/5,5.5,8.3,1.8
1995/1/6,3.5,6.6,1.1
1995/1/7,5.7,9.6,0.4
1995/1/8,7.3,12.4,2.9
1995/1/9,9.3,15.3,4.0
1995/1/10,5.5,9.6,2.2
1995/1/11,3.6,7.4,0.0
1995/1/12,4.2,8.1,0.4
1995/1/13,3.0,8.0,-0.1
1995/1/14,2.0,5.8,-0.4
1995/1/15,3.0,7.1,-1.1
1995/1/16,4.2,8.9,0.0
1995/1/17,3.2,6.2,0.8
1995/1/18,3.6,9.2,-2.3
1995/1/19,5.3,7.9,1.2
1995/1/20,4.7,9.8,0.7
1995/1/21,6.2,11.3,0.6
1995/1/22,7.5,9.1,5.3
1995/1/23,8.7,10.2,5.8
1995/1/24,5.7,9.3,2.8
1995/1/25,5.1,8.1,2.8
1995/1/26,4.6,9.2,1.1
1995/1/27,4.2,8.6,0.3
1995/1/28,3.9,8.3,-0.3
1995/1/29,2.9,7.6,-0.6
1995/1/30,1.7,6.3,-1.2
1995/1/31,1.6,7.3,-2.8
1995/2/1,2.2,6.2,-2.3
1995/2/2,3.3,6.7,0.2
1995/2/3,3.4,8.8,-1.9
1995/2/4,4.4,8.5,0.8
1995/2/5,3.6,8.1,0.5
1995/2/6,2.6,6.8,-1.6
1995/2/7,5.8,11.3,1.1
1995/2/8,6.9,12.8,1.2
1995/2/9,7.7,12.6,4.9
1995/2/10,4.5,6.9,1.9
1995/2/11,5.1,10.3,-0.3
1995/2/12,5.5,8.5,2.7
1995/2/13,9.5,13.9,5.4
1995/2/14,8.4,11.5,4.6
1995/2/15,6.6,11.1,2.4
1995/2/16,4.5,10.2,1.5
1995/2/17,4.4,9.5,-0.2
1995/2/18,5.3,10.8,-1.1
1995/2/19,6.8,11.3,3.0
1995/2/20,5.4,9.5,1.6
1995/2/21,3.9,7.6,0.9
1995/2/22,4.2,8.1,0.2
1995/2/23,5.4,12.0,-1.0
1995/2/24,6.2,10.7,2.3
1995/2/25,5.7,10.3,1.1
1995/2/26,7.0,11.8,2.9
1995/2/27,5.7,9.1,2.4
1995/2/28,4.6,9.6,-0.4
1995/3/1,6.3,10.9,3.6
1995/3/2,6.5,10.7,3.5
1995/3/3,4.4,6.9,1.7
1995/3/4,4.8,7.8,1.2
1995/3/5,4.4,8.8,-1.1
1995/3/6,8.2,12.8,3.2
1995/3/7,8.2,13.6,3.6
1995/3/8,8.9,15.7,2.2
1995/3/9,8.5,13.2,2.7
1995/3/10,10.2,13.3,7.7
1995/3/11,8.0,11.5,5.0
1995/3/12,6.8,10.6,3.5
1995/3/13,7.2,11.7,2.6
1995/3/14,7.4,12.4,1.9
1995/3/15,8.0,13.2,1.6
1995/3/16,12.9,15.7,8.1
1995/3/17,12.9,16.9,7.6
1995/3/18,8.5,12.3,5.2
1995/3/19,6.9,11.9,1.7
1995/3/20,7.9,14.8,0.0
1995/3/21,10.6,16.9,4.2
1995/3/22,12.5,18.8,7.0
1995/3/23,12.7,18.7,7.4
1995/3/24,14.7,18.1,11.5
1995/3/25,10.2,14.3,7.3
1995/3/26,8.7,12.3,6.1
1995/3/27,9.9,16.0,2.5
1995/3/28,9.1,12.2,6.1
1995/3/29,9.7,13.4,5.0
1995/3/30,11.4,12.7,9.7
1995/3/31,13.7,18.2,9.5
