ダウンロードした時刻：2019/10/10 15:42:02

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,8.5,13.2,4.7
2001/12/2,9.0,14.6,4.2
2001/12/3,10.5,16.4,6.4
2001/12/4,6.8,10.4,3.9
2001/12/5,7.2,10.4,1.9
2001/12/6,7.1,8.7,5.0
2001/12/7,5.9,9.7,3.2
2001/12/8,5.7,10.3,0.4
2001/12/9,5.6,9.3,2.2
2001/12/10,5.3,9.3,1.9
2001/12/11,4.3,7.5,1.1
2001/12/12,6.2,11.4,1.7
2001/12/13,8.8,13.0,1.7
2001/12/14,7.5,11.9,2.7
2001/12/15,2.9,8.3,-0.6
2001/12/16,3.6,7.6,-0.3
2001/12/17,5.7,13.0,-1.4
2001/12/18,4.2,7.8,0.2
2001/12/19,3.7,9.1,-1.8
2001/12/20,4.3,8.8,0.2
2001/12/21,3.0,5.0,0.2
2001/12/22,5.4,10.8,1.4
2001/12/23,3.8,9.2,-0.6
2001/12/24,4.2,12.0,-1.3
2001/12/25,5.3,7.2,1.7
2001/12/26,5.8,9.6,3.1
2001/12/27,5.0,9.5,0.8
2001/12/28,5.0,10.6,0.9
2001/12/29,3.6,7.9,-2.6
2001/12/30,4.6,11.0,-1.1
2001/12/31,2.7,7.3,-0.7
2002/1/1,4.3,11.0,-2.7
2002/1/2,2.2,5.4,-0.9
2002/1/3,1.5,5.5,-1.7
2002/1/4,4.5,10.4,-0.7
2002/1/5,3.6,7.8,0.1
2002/1/6,3.7,8.4,0.8
2002/1/7,4.4,9.8,-2.0
2002/1/8,6.8,11.3,2.9
2002/1/9,4.9,8.6,0.7
2002/1/10,6.1,13.0,-0.3
2002/1/11,6.1,13.0,-0.3
2002/1/12,8.1,13.9,1.5
2002/1/13,8.0,11.5,5.5
2002/1/14,5.7,9.4,0.9
2002/1/15,10.2,16.7,2.8
2002/1/16,8.8,13.4,4.8
2002/1/17,5.1,8.2,2.6
2002/1/18,4.5,8.7,1.5
2002/1/19,3.3,8.8,-1.7
2002/1/20,3.3,7.3,-1.7
2002/1/21,11.6,14.7,4.3
2002/1/22,8.1,10.9,4.0
2002/1/23,5.7,11.6,0.2
2002/1/24,4.8,9.1,0.3
2002/1/25,4.1,8.1,1.2
2002/1/26,4.2,7.2,-0.8
2002/1/27,8.8,10.8,5.5
2002/1/28,6.1,10.1,2.1
2002/1/29,3.3,7.9,0.7
2002/1/30,3.1,8.0,-3.0
2002/1/31,3.2,7.4,-0.1
2002/2/1,2.8,8.7,-2.7
2002/2/2,5.3,11.5,-2.3
2002/2/3,5.3,7.0,4.1
2002/2/4,4.9,8.2,1.2
2002/2/5,4.9,9.0,-0.8
2002/2/6,6.6,11.3,2.5
2002/2/7,6.5,13.0,0.9
2002/2/8,7.9,11.4,4.5
2002/2/9,4.3,9.8,0.1
2002/2/10,1.6,5.3,-1.0
2002/2/11,1.3,7.1,-2.7
2002/2/12,2.4,7.5,-2.2
2002/2/13,2.4,6.3,-0.6
2002/2/14,2.4,7.7,-2.4
2002/2/15,2.8,7.2,-0.7
2002/2/16,3.9,10.3,-2.2
2002/2/17,6.3,10.0,0.7
2002/2/18,4.5,11.3,0.9
2002/2/19,4.3,9.3,-0.3
2002/2/20,7.4,12.5,2.9
2002/2/21,7.8,13.4,1.1
2002/2/22,9.8,16.5,5.7
2002/2/23,7.8,12.1,5.0
2002/2/24,5.6,10.6,-0.2
2002/2/25,2.7,7.1,-2.5
2002/2/26,5.8,10.2,0.1
2002/2/27,6.8,11.5,2.5
2002/2/28,7.4,9.2,4.5
2002/3/1,9.1,12.8,6.4
2002/3/2,8.5,14.2,4.1
2002/3/3,2.9,6.4,1.1
2002/3/4,5.0,9.3,0.2
2002/3/5,6.7,11.3,0.9
2002/3/6,7.1,9.5,6.0
2002/3/7,7.2,14.1,1.4
2002/3/8,5.8,10.5,2.4
2002/3/9,6.4,11.3,-0.8
2002/3/10,8.4,13.6,0.9
2002/3/11,8.9,14.4,4.8
2002/3/12,8.3,14.2,1.7
2002/3/13,8.2,13.7,2.4
2002/3/14,9.5,14.2,2.6
2002/3/15,13.1,18.3,10.5
2002/3/16,10.8,16.5,5.3
2002/3/17,11.9,16.9,4.8
2002/3/18,11.1,17.9,7.5
2002/3/19,9.8,13.3,5.8
2002/3/20,10.5,16.1,5.6
2002/3/21,11.6,17.2,3.5
2002/3/22,11.6,15.3,7.1
2002/3/23,6.9,11.0,4.5
2002/3/24,7.0,12.8,3.1
2002/3/25,6.5,10.9,2.4
2002/3/26,8.2,12.3,1.3
2002/3/27,9.5,11.6,5.2
2002/3/28,7.7,13.0,3.2
2002/3/29,11.4,13.8,6.0
2002/3/30,14.1,19.1,9.7
2002/3/31,10.7,13.2,9.0
