ダウンロードした時刻：2019/10/10 16:07:10

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,9.6,14.1,5.6
2002/12/2,8.7,14.3,5.2
2002/12/3,8.6,14.0,2.2
2002/12/4,12.9,16.5,10.4
2002/12/5,13.7,17.0,11.5
2002/12/6,10.8,15.2,8.2
2002/12/7,8.8,10.1,6.9
2002/12/8,7.4,9.5,5.3
2002/12/9,7.1,9.2,3.9
2002/12/10,3.9,5.6,2.4
2002/12/11,5.5,7.6,2.4
2002/12/12,5.8,7.3,2.4
2002/12/13,6.2,7.7,4.0
2002/12/14,7.9,11.6,3.5
2002/12/15,11.7,15.4,9.2
2002/12/16,14.6,17.8,9.4
2002/12/17,8.5,12.7,3.7
2002/12/18,9.1,12.8,3.7
2002/12/19,9.4,13.1,5.5
2002/12/20,9.0,12.7,6.9
2002/12/21,8.3,10.6,5.7
2002/12/22,9.2,15.4,5.1
2002/12/23,8.0,13.6,4.2
2002/12/24,9.5,11.6,5.6
2002/12/25,7.3,10.5,2.8
2002/12/26,4.8,6.6,1.7
2002/12/27,4.3,6.1,1.8
2002/12/28,5.3,8.4,2.7
2002/12/29,6.9,9.3,5.0
2002/12/30,8.0,11.5,4.0
2002/12/31,7.0,8.8,4.5
2003/1/1,6.5,8.5,4.0
2003/1/2,4.7,7.6,1.6
2003/1/3,6.0,9.4,0.4
2003/1/4,2.4,6.5,-0.9
2003/1/5,0.0,1.7,-2.2
2003/1/6,1.2,2.2,-0.3
2003/1/7,3.6,6.8,1.0
2003/1/8,4.3,7.6,2.2
2003/1/9,7.3,9.9,3.0
2003/1/10,7.4,10.0,4.5
2003/1/11,7.3,10.7,3.8
2003/1/12,8.8,11.4,6.6
2003/1/13,10.2,13.3,7.6
2003/1/14,8.7,12.2,2.7
2003/1/15,3.1,7.6,0.6
2003/1/16,5.1,10.5,-1.4
2003/1/17,10.2,13.2,8.0
2003/1/18,9.0,12.4,5.3
2003/1/19,6.3,9.0,4.0
2003/1/20,6.5,7.9,2.2
2003/1/21,5.4,8.0,2.5
2003/1/22,5.7,9.7,1.1
2003/1/23,6.2,8.9,4.1
2003/1/24,5.1,7.3,2.8
2003/1/25,5.2,9.1,2.3
2003/1/26,5.4,8.8,2.2
2003/1/27,8.6,12.0,5.1
2003/1/28,3.3,5.3,0.1
2003/1/29,-1.6,3.4,-4.5
2003/1/30,2.1,4.7,-0.9
2003/1/31,5.2,7.3,3.2
2003/2/1,4.5,8.7,1.4
2003/2/2,3.2,7.9,0.7
2003/2/3,3.5,8.6,0.7
2003/2/4,5.9,10.5,2.1
2003/2/5,2.1,6.3,0.3
2003/2/6,4.3,8.2,0.8
2003/2/7,9.2,13.0,5.4
2003/2/8,10.6,14.1,6.3
2003/2/9,9.0,12.3,3.9
2003/2/10,8.1,13.9,3.0
2003/2/11,8.9,11.0,6.7
2003/2/12,5.8,9.1,3.8
2003/2/13,5.0,6.5,3.7
2003/2/14,6.5,10.0,2.6
2003/2/15,6.1,11.5,0.7
2003/2/16,7.8,11.1,5.4
2003/2/17,6.6,12.2,1.6
2003/2/18,7.7,11.5,3.0
2003/2/19,6.6,9.7,4.1
2003/2/20,5.0,6.6,3.1
2003/2/21,5.6,10.1,0.7
2003/2/22,7.0,8.9,4.2
2003/2/23,7.0,9.3,4.7
2003/2/24,7.4,11.8,3.6
2003/2/25,7.2,13.0,3.2
2003/2/26,7.5,11.7,1.9
2003/2/27,6.3,8.9,2.4
2003/2/28,5.6,11.4,-0.4
2003/3/1,8.5,9.7,6.8
2003/3/2,10.5,14.3,7.0
2003/3/3,8.2,13.5,2.7
2003/3/4,3.4,6.2,0.9
2003/3/5,4.3,8.8,1.7
2003/3/6,4.5,5.7,3.6
2003/3/7,7.8,9.8,5.6
2003/3/8,6.0,8.7,2.5
2003/3/9,4.3,7.6,0.8
2003/3/10,4.4,9.8,0.9
2003/3/11,4.7,11.0,1.1
2003/3/12,5.1,10.5,1.7
2003/3/13,5.1,11.9,-0.6
2003/3/14,7.0,13.6,-0.1
2003/3/15,8.0,13.6,4.9
2003/3/16,7.2,9.8,3.5
2003/3/17,9.6,12.9,7.9
2003/3/18,7.1,12.0,2.2
2003/3/19,6.5,12.3,0.9
2003/3/20,6.3,12.6,0.8
2003/3/21,7.3,13.9,0.6
2003/3/22,8.9,14.3,3.3
2003/3/23,7.5,14.4,0.8
2003/3/24,10.1,17.1,4.0
2003/3/25,11.7,15.7,6.7
2003/3/26,10.8,16.0,5.7
2003/3/27,12.0,19.5,6.6
2003/3/28,9.5,14.9,6.0
2003/3/29,8.9,13.5,4.9
2003/3/30,11.0,17.3,3.7
2003/3/31,16.1,19.3,11.2
