ダウンロードした時刻：2019/10/10 15:58:00

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,10.9,15.4,7.2
2001/12/2,11.5,16.2,7.9
2001/12/3,11.7,16.5,6.7
2001/12/4,11.0,14.9,8.1
2001/12/5,11.5,16.5,5.0
2001/12/6,11.3,14.8,8.8
2001/12/7,9.8,14.9,5.9
2001/12/8,8.8,13.7,3.6
2001/12/9,9.9,14.7,7.2
2001/12/10,7.8,13.2,4.8
2001/12/11,6.7,11.7,3.4
2001/12/12,7.6,12.9,2.8
2001/12/13,10.2,13.1,7.3
2001/12/14,7.1,10.8,4.1
2001/12/15,5.4,7.8,3.8
2001/12/16,6.2,10.2,3.6
2001/12/17,7.2,11.1,3.3
2001/12/18,7.4,11.9,4.2
2001/12/19,6.5,11.6,2.2
2001/12/20,7.4,12.6,4.1
2001/12/21,5.3,6.4,3.9
2001/12/22,5.9,9.9,2.8
2001/12/23,5.2,9.8,1.7
2001/12/24,7.1,12.9,1.2
2001/12/25,7.9,12.5,4.6
2001/12/26,7.4,11.0,4.1
2001/12/27,6.5,11.3,2.7
2001/12/28,6.6,10.6,2.4
2001/12/29,6.0,11.4,1.2
2001/12/30,5.7,10.2,2.2
2001/12/31,5.2,9.5,2.4
2002/1/1,7.0,12.0,2.4
2002/1/2,4.2,7.7,-0.8
2002/1/3,1.4,4.7,-1.6
2002/1/4,5.5,9.4,1.5
2002/1/5,6.1,9.0,1.8
2002/1/6,3.8,8.3,0.6
2002/1/7,5.8,10.0,-0.2
2002/1/8,5.8,8.9,2.7
2002/1/9,4.5,7.9,1.9
2002/1/10,6.9,11.2,3.1
2002/1/11,8.2,13.0,3.5
2002/1/12,10.4,14.4,7.1
2002/1/13,10.9,15.6,7.3
2002/1/14,9.0,13.9,4.5
2002/1/15,10.4,15.4,6.4
2002/1/16,13.0,17.2,10.4
2002/1/17,9.5,14.3,5.9
2002/1/18,6.2,10.3,3.6
2002/1/19,6.5,11.0,2.6
2002/1/20,8.3,13.4,3.4
2002/1/21,10.9,15.6,8.4
2002/1/22,6.8,10.1,3.8
2002/1/23,4.7,8.2,2.1
2002/1/24,4.5,8.5,1.0
2002/1/25,5.7,11.2,2.2
2002/1/26,6.5,10.8,1.8
2002/1/27,8.9,12.9,5.1
2002/1/28,6.3,9.9,3.7
2002/1/29,3.7,6.2,1.7
2002/1/30,4.4,8.5,0.8
2002/1/31,4.4,9.0,1.7
2002/2/1,5.2,10.1,1.1
2002/2/2,6.7,12.1,1.1
2002/2/3,7.2,9.4,5.4
2002/2/4,7.9,12.9,3.8
2002/2/5,7.8,10.1,5.7
2002/2/6,9.7,14.9,6.1
2002/2/7,8.1,13.1,4.8
2002/2/8,8.8,13.7,4.9
2002/2/9,7.7,12.5,3.0
2002/2/10,4.1,8.2,1.9
2002/2/11,3.6,8.7,0.6
2002/2/12,3.4,7.5,0.5
2002/2/13,4.4,9.6,0.0
2002/2/14,4.9,11.3,-0.7
2002/2/15,4.8,10.8,1.1
2002/2/16,5.4,11.4,0.2
2002/2/17,6.1,10.8,1.9
2002/2/18,6.4,11.3,1.8
2002/2/19,3.9,8.3,0.4
2002/2/20,8.1,14.1,3.2
2002/2/21,9.9,15.7,6.2
2002/2/22,11.1,16.1,8.0
2002/2/23,10.5,15.6,7.1
2002/2/24,9.2,14.4,5.8
2002/2/25,8.1,13.5,2.8
2002/2/26,10.1,15.0,5.4
2002/2/27,10.3,15.9,5.2
2002/2/28,10.5,11.7,9.1
2002/3/1,12.3,17.0,8.4
2002/3/2,12.9,19.1,9.6
2002/3/3,8.4,12.6,4.6
2002/3/4,7.6,15.1,2.0
2002/3/5,8.9,12.5,4.2
2002/3/6,12.4,16.8,7.2
2002/3/7,7.5,11.8,4.5
2002/3/8,6.8,12.2,2.4
2002/3/9,8.3,13.9,2.2
2002/3/10,11.5,17.4,4.9
2002/3/11,12.2,17.0,8.7
2002/3/12,12.9,18.6,7.9
2002/3/13,10.8,15.8,6.2
2002/3/14,11.5,17.4,4.2
2002/3/15,14.7,19.4,10.5
2002/3/16,12.5,17.0,9.3
2002/3/17,13.4,18.5,7.3
2002/3/18,13.4,19.7,8.5
2002/3/19,11.1,16.0,6.4
2002/3/20,13.9,19.1,9.2
2002/3/21,14.3,19.4,8.2
2002/3/22,12.8,16.1,9.2
2002/3/23,9.5,14.0,5.3
2002/3/24,8.0,13.6,4.2
2002/3/25,9.7,14.8,4.4
2002/3/26,13.4,19.7,9.1
2002/3/27,12.8,17.8,9.3
2002/3/28,11.2,16.0,4.7
2002/3/29,14.1,16.5,10.6
2002/3/30,16.6,21.6,12.2
2002/3/31,15.7,21.2,10.3
