ダウンロードした時刻：2019/10/10 16:09:38

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/12/1,7.5,13.4,2.7
2008/12/2,8.9,16.0,2.9
2008/12/3,10.7,16.1,7.4
2008/12/4,12.3,17.4,7.4
2008/12/5,9.6,15.7,4.1
2008/12/6,2.4,5.5,0.9
2008/12/7,3.3,8.4,0.3
2008/12/8,5.0,10.2,0.1
2008/12/9,9.5,13.3,6.7
2008/12/10,11.1,16.8,7.9
2008/12/11,10.4,16.9,5.8
2008/12/12,10.3,16.2,5.8
2008/12/13,10.3,16.2,5.6
2008/12/14,10.1,14.9,7.7
2008/12/15,7.9,13.6,4.3
2008/12/16,7.6,14.2,3.0
2008/12/17,8.8,15.5,4.1
2008/12/18,8.0,13.8,4.4
2008/12/19,7.3,13.1,2.9
2008/12/20,9.0,15.7,3.6
2008/12/21,10.4,12.5,8.9
2008/12/22,7.5,10.4,3.5
2008/12/23,5.3,8.4,2.6
2008/12/24,6.4,9.8,1.7
2008/12/25,8.7,14.3,6.0
2008/12/26,5.2,10.0,2.5
2008/12/27,4.5,10.4,0.4
2008/12/28,6.1,13.1,0.4
2008/12/29,8.4,13.4,4.3
2008/12/30,7.0,12.7,4.0
2008/12/31,3.5,7.0,0.8
2009/1/1,2.8,7.6,0.0
2009/1/2,4.6,9.3,1.4
2009/1/3,5.1,10.8,1.5
2009/1/4,6.1,11.5,0.8
2009/1/5,7.3,10.9,4.3
2009/1/6,7.5,12.7,3.5
2009/1/7,6.7,9.3,4.9
2009/1/8,6.8,11.7,2.9
2009/1/9,5.5,8.7,3.1
2009/1/10,3.5,7.4,1.6
2009/1/11,3.7,6.4,0.5
2009/1/12,3.5,6.1,0.4
2009/1/13,2.9,8.3,-0.6
2009/1/14,3.3,9.1,-0.8
2009/1/15,2.5,7.2,0.0
2009/1/16,3.8,10.0,-1.5
2009/1/17,5.6,10.3,2.0
2009/1/18,5.7,8.8,2.4
2009/1/19,7.6,12.3,2.7
2009/1/20,5.9,11.8,1.8
2009/1/21,5.1,7.3,3.9
2009/1/22,6.8,10.1,3.5
2009/1/23,5.7,10.8,1.3
2009/1/24,0.4,3.5,-2.3
2009/1/25,2.9,8.1,-1.7
2009/1/26,4.1,8.1,0.9
2009/1/27,4.2,9.2,0.5
2009/1/28,5.9,13.3,0.3
2009/1/29,7.3,11.0,3.0
2009/1/30,10.7,13.4,8.4
2009/1/31,9.0,11.1,5.8
2009/2/1,6.5,10.2,3.5
2009/2/2,5.8,11.4,0.9
2009/2/3,5.2,6.9,3.2
2009/2/4,8.1,14.2,4.4
2009/2/5,6.5,11.4,1.5
2009/2/6,8.1,13.4,4.7
2009/2/7,6.3,12.7,1.0
2009/2/8,8.0,14.2,3.1
2009/2/9,6.4,10.5,1.9
2009/2/10,8.7,14.1,5.2
2009/2/11,7.9,14.2,2.5
2009/2/12,9.2,15.4,4.1
2009/2/13,12.2,18.3,7.9
2009/2/14,15.8,21.5,10.8
2009/2/15,11.4,17.2,6.4
2009/2/16,7.2,11.2,2.8
2009/2/17,3.1,7.3,1.0
2009/2/18,5.3,11.1,0.8
2009/2/19,4.9,10.3,2.8
2009/2/20,6.5,11.8,3.8
2009/2/21,5.9,11.2,2.2
2009/2/22,4.5,7.1,1.1
2009/2/23,9.7,15.1,6.5
2009/2/24,8.2,10.5,5.5
2009/2/25,11.3,15.4,8.7
2009/2/26,10.2,14.5,6.4
2009/2/27,7.5,10.0,6.2
2009/2/28,8.9,14.8,4.3
2009/3/1,9.7,16.0,5.2
2009/3/2,7.1,12.0,3.0
2009/3/3,3.2,6.2,1.2
2009/3/4,7.6,13.7,3.9
2009/3/5,7.7,13.9,3.4
2009/3/6,9.5,14.6,6.2
2009/3/7,8.2,14.1,3.7
2009/3/8,8.8,15.0,4.9
2009/3/9,8.0,10.9,5.1
2009/3/10,9.4,17.6,3.4
2009/3/11,8.5,14.5,4.2
2009/3/12,8.4,13.6,2.6
2009/3/13,9.1,12.3,6.4
2009/3/14,7.3,12.4,2.2
2009/3/15,7.1,13.3,0.6
2009/3/16,10.8,17.4,3.7
2009/3/17,13.1,19.1,7.1
2009/3/18,14.5,21.1,7.5
2009/3/19,18.3,21.7,15.4
2009/3/20,14.5,18.5,8.4
2009/3/21,11.9,18.7,4.3
2009/3/22,13.7,16.2,10.8
2009/3/23,12.2,16.5,9.6
2009/3/24,10.4,17.0,5.9
2009/3/25,8.0,12.9,4.1
2009/3/26,8.0,14.3,0.5
2009/3/27,10.3,15.4,6.2
2009/3/28,7.6,11.9,3.2
2009/3/29,8.5,14.2,4.1
2009/3/30,9.0,15.5,3.1
2009/3/31,10.5,16.0,6.0
