ダウンロードした時刻：2019/10/10 16:02:17

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,15.8,17.5,15.1
1982/12/2,15.4,16.0,14.5
1982/12/3,16.5,17.3,13.4
1982/12/4,14.1,16.8,8.3
1982/12/5,17.1,20.2,12.1
1982/12/6,12.1,16.0,9.8
1982/12/7,10.5,12.3,6.8
1982/12/8,11.4,13.1,6.2
1982/12/9,13.1,14.6,8.6
1982/12/10,14.7,16.0,13.0
1982/12/11,18.4,20.9,13.4
1982/12/12,14.6,20.1,11.3
1982/12/13,11.7,13.0,10.5
1982/12/14,11.6,13.3,7.0
1982/12/15,11.9,12.8,10.9
1982/12/16,12.8,14.2,11.2
1982/12/17,12.2,13.8,10.2
1982/12/18,10.7,12.3,9.4
1982/12/19,10.3,11.6,9.0
1982/12/20,10.1,13.0,4.9
1982/12/21,12.1,13.7,7.4
1982/12/22,12.6,14.9,9.9
1982/12/23,13.5,15.1,11.9
1982/12/24,12.9,13.6,11.9
1982/12/25,13.6,14.7,11.5
1982/12/26,13.1,16.7,10.3
1982/12/27,11.6,12.7,10.6
1982/12/28,10.6,13.0,6.8
1982/12/29,10.9,13.1,5.6
1982/12/30,13.0,13.8,11.7
1982/12/31,8.9,11.7,3.3
1983/1/1,9.7,11.2,7.6
1983/1/2,9.1,9.9,7.9
1983/1/3,9.4,10.2,7.0
1983/1/4,9.1,11.3,5.3
1983/1/5,15.6,17.9,11.0
1983/1/6,13.6,18.4,11.9
1983/1/7,13.4,15.8,12.1
1983/1/8,14.2,16.8,12.5
1983/1/9,10.3,12.9,9.0
1983/1/10,7.7,9.4,5.9
1983/1/11,8.2,10.1,5.5
1983/1/12,10.4,11.2,8.8
1983/1/13,10.3,11.1,9.5
1983/1/14,9.0,10.1,7.2
1983/1/15,9.0,11.6,7.0
1983/1/16,10.0,11.7,6.1
1983/1/17,12.0,13.1,10.8
1983/1/18,10.4,13.1,8.9
1983/1/19,10.9,13.0,7.7
1983/1/20,7.9,10.1,6.9
1983/1/21,7.8,8.8,6.1
1983/1/22,5.8,7.8,3.7
1983/1/23,5.4,7.6,1.1
1983/1/24,8.8,10.7,5.7
1983/1/25,9.0,12.6,2.7
1983/1/26,10.2,13.4,6.5
1983/1/27,11.4,12.6,6.7
1983/1/28,12.1,13.4,8.6
1983/1/29,13.8,15.1,6.8
1983/1/30,15.3,17.7,11.4
1983/1/31,10.3,12.1,9.0
1983/2/1,11.9,14.5,6.9
1983/2/2,11.8,13.9,10.0
1983/2/3,10.5,11.6,8.3
1983/2/4,8.3,10.2,6.6
1983/2/5,10.2,12.2,6.5
1983/2/6,12.5,13.9,10.8
1983/2/7,11.3,14.3,10.0
1983/2/8,9.3,10.3,7.9
1983/2/9,9.7,11.3,7.5
1983/2/10,8.5,11.6,6.3
1983/2/11,7.4,9.1,5.6
1983/2/12,8.0,9.2,6.2
1983/2/13,6.2,7.2,5.1
1983/2/14,6.0,8.8,3.0
1983/2/15,11.2,13.2,7.6
1983/2/16,11.4,13.8,4.4
1983/2/17,10.5,13.9,8.4
1983/2/18,9.6,12.2,6.8
1983/2/19,6.4,7.8,3.7
1983/2/20,7.4,8.8,5.9
1983/2/21,6.8,8.8,4.6
1983/2/22,8.5,11.0,3.1
1983/2/23,10.4,11.9,7.8
1983/2/24,9.2,11.9,7.6
1983/2/25,10.2,11.9,8.6
1983/2/26,9.1,10.6,6.7
1983/2/27,7.3,9.8,3.6
1983/2/28,9.7,11.6,4.1
1983/3/1,12.3,14.4,9.8
1983/3/2,16.0,18.3,9.6
1983/3/3,14.3,18.5,12.3
1983/3/4,11.0,12.5,8.8
1983/3/5,7.7,10.2,3.1
1983/3/6,9.1,10.7,3.4
1983/3/7,8.7,9.6,7.4
1983/3/8,6.4,8.7,3.2
1983/3/9,7.8,11.3,2.5
1983/3/10,10.9,15.9,7.1
1983/3/11,12.3,14.7,8.2
1983/3/12,13.1,15.1,9.1
1983/3/13,14.4,18.8,11.4
1983/3/14,9.8,11.7,5.7
1983/3/15,9.7,11.6,5.0
1983/3/16,11.9,14.2,8.2
1983/3/17,12.6,17.3,10.0
1983/3/18,8.6,10.1,7.5
1983/3/19,7.4,12.1,1.0
1983/3/20,12.4,15.7,5.7
1983/3/21,15.0,18.6,12.0
1983/3/22,12.9,16.1,7.9
1983/3/23,15.7,18.7,7.9
1983/3/24,14.1,18.0,11.1
1983/3/25,10.3,11.3,9.3
1983/3/26,11.8,15.0,6.2
1983/3/27,10.4,12.0,9.5
1983/3/28,11.5,13.0,9.7
1983/3/29,12.1,12.9,10.7
1983/3/30,11.9,13.0,10.3
1983/3/31,12.4,13.3,11.6
