ダウンロードした時刻：2019/10/10 16:05:50

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,8.4,14.5,4.6
1997/12/2,4.5,8.0,0.7
1997/12/3,1.2,3.9,0.3
1997/12/4,2.6,8.7,0.6
1997/12/5,3.8,13.2,-0.6
1997/12/6,7.5,14.9,1.1
1997/12/7,15.4,19.1,12.3
1997/12/8,13.1,16.5,11.3
1997/12/9,7.9,12.5,2.4
1997/12/10,3.1,7.1,-0.3
1997/12/11,2.9,8.9,-2.5
1997/12/12,4.1,8.7,0.7
1997/12/13,4.5,6.5,3.0
1997/12/14,6.2,13.2,2.5
1997/12/15,7.8,13.4,1.9
1997/12/16,6.8,12.9,3.2
1997/12/17,5.4,7.3,2.8
1997/12/18,9.3,14.1,6.0
1997/12/19,7.8,16.6,2.0
1997/12/20,9.1,13.9,4.2
1997/12/21,8.7,12.1,6.1
1997/12/22,6.1,7.8,4.8
1997/12/23,6.2,8.2,3.9
1997/12/24,6.2,9.2,3.9
1997/12/25,6.8,12.3,1.8
1997/12/26,5.4,12.2,0.0
1997/12/27,8.3,15.1,5.0
1997/12/28,5.9,8.8,3.6
1997/12/29,7.0,11.6,4.3
1997/12/30,7.2,10.7,5.2
1997/12/31,5.4,8.8,2.1
1998/1/1,4.5,7.3,1.6
1998/1/2,5.9,11.2,1.4
1998/1/3,5.1,14.0,0.7
1998/1/4,5.5,10.9,0.8
1998/1/5,3.3,8.3,0.6
1998/1/6,2.5,6.6,0.8
1998/1/7,3.6,8.5,1.1
1998/1/8,2.1,3.0,0.4
1998/1/9,5.1,7.5,1.6
1998/1/10,3.6,8.2,-0.2
1998/1/11,5.7,7.7,3.8
1998/1/12,5.1,7.1,3.9
1998/1/13,5.0,8.7,2.8
1998/1/14,5.0,8.6,1.8
1998/1/15,5.6,6.9,4.5
1998/1/16,6.9,9.7,4.4
1998/1/17,6.5,11.0,3.8
1998/1/18,7.4,9.5,6.1
1998/1/19,0.5,6.1,-2.2
1998/1/20,2.1,6.2,-1.8
1998/1/21,2.3,5.3,0.5
1998/1/22,2.5,6.4,-0.1
1998/1/23,2.3,4.7,0.7
1998/1/24,-1.2,1.3,-3.4
1998/1/25,-0.1,4.0,-3.0
1998/1/26,0.9,6.7,-3.8
1998/1/27,1.6,4.2,0.2
1998/1/28,2.0,5.4,0.5
1998/1/29,2.0,5.6,0.3
1998/1/30,3.2,9.6,-2.9
1998/1/31,3.4,5.4,0.9
1998/2/1,2.2,5.4,-1.3
1998/2/2,1.9,10.1,-3.8
1998/2/3,2.9,9.2,-2.6
1998/2/4,1.8,5.4,-0.5
1998/2/5,2.0,5.8,-0.6
1998/2/6,4.4,11.5,-0.1
1998/2/7,3.5,10.8,-1.6
1998/2/8,2.6,8.8,-0.4
1998/2/9,2.0,5.8,-0.6
1998/2/10,2.3,7.1,-0.5
1998/2/11,4.3,10.8,-1.0
1998/2/12,13.0,21.5,4.8
1998/2/13,8.9,17.6,5.2
1998/2/14,7.2,12.7,4.6
1998/2/15,4.5,6.8,-0.2
1998/2/16,4.1,11.2,-1.6
1998/2/17,5.3,6.9,3.3
1998/2/18,4.9,9.0,0.2
1998/2/19,8.2,18.3,-2.1
1998/2/20,11.8,13.8,10.4
1998/2/21,7.8,10.4,6.1
1998/2/22,6.2,8.3,3.5
1998/2/23,5.6,13.0,-1.4
1998/2/24,7.7,9.9,5.9
1998/2/25,8.8,10.8,7.3
1998/2/26,7.9,10.1,5.3
1998/2/27,7.5,14.1,3.8
1998/2/28,5.6,15.0,2.2
1998/3/1,6.0,9.2,1.9
1998/3/2,5.4,12.1,0.3
1998/3/3,5.5,15.0,-1.3
1998/3/4,7.4,14.9,0.9
1998/3/5,6.6,8.4,5.1
1998/3/6,8.0,14.6,2.1
1998/3/7,6.4,9.0,3.9
1998/3/8,6.2,12.1,2.2
1998/3/9,7.5,14.5,1.0
1998/3/10,6.7,9.7,4.2
1998/3/11,7.8,13.1,2.7
1998/3/12,9.6,12.8,6.6
1998/3/13,8.0,14.6,3.2
1998/3/14,9.2,17.9,1.7
1998/3/15,3.9,7.6,1.4
1998/3/16,5.5,12.2,-0.5
1998/3/17,6.1,13.6,1.8
1998/3/18,5.6,12.9,0.3
1998/3/19,11.2,17.8,0.1
1998/3/20,10.6,16.8,5.4
1998/3/21,7.0,11.2,4.4
1998/3/22,5.5,8.9,2.5
1998/3/23,5.8,11.8,1.0
1998/3/24,7.5,14.5,2.7
1998/3/25,9.5,16.1,5.1
1998/3/26,10.7,17.8,3.4
1998/3/27,13.4,16.3,11.1
1998/3/28,13.0,20.1,8.5
1998/3/29,13.3,24.9,6.9
1998/3/30,13.2,23.1,4.9
1998/3/31,9.3,11.7,7.8
