ダウンロードした時刻：2017/07/24 15:46:03

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,4.1,9.6,-1.2
2013/1/2,7.3,14.2,2.6
2013/1/3,3.9,7.3,1.6
2013/1/4,3.3,7.3,-0.4
2013/1/5,4.4,8.5,-0.2
2013/1/6,5.7,11.4,0.7
2013/1/7,6.2,12.8,0.7
2013/1/8,8.1,13.7,4.7
2013/1/9,6.3,12.9,1.9
2013/1/10,4.2,10.6,-0.6
2013/1/11,4.4,11.1,-1.0
2013/1/12,6.3,14.8,0.6
2013/1/13,6.1,9.8,2.2
2013/1/14,8.9,12.2,6.7
2013/1/15,6.4,9.8,2.5
2013/1/16,6.7,12.9,1.0
2013/1/17,5.3,10.5,1.5
2013/1/18,4.1,8.9,0.3
2013/1/19,4.2,12.4,-1.7
2013/1/20,5.4,12.6,-0.5
2013/1/21,6.8,11.5,1.3
2013/1/22,10.7,17.7,8.1
2013/1/23,7.3,11.6,3.2
2013/1/24,6.9,14.5,0.9
2013/1/25,6.3,10.6,1.4
2013/1/26,3.8,9.3,-0.8
2013/1/27,2.4,8.2,-2.4
2013/1/28,4.1,9.8,-0.5
2013/1/29,5.1,12.0,-0.9
2013/1/30,7.6,14.6,2.0
2013/1/31,7.9,14.1,1.6
2013/2/1,10.3,13.1,6.4
2013/2/2,14.2,21.9,8.1
2013/2/3,10.3,15.3,4.5
2013/2/4,11.6,18.3,7.6
2013/2/5,10.8,14.7,7.2
2013/2/6,11.6,17.4,7.3
2013/2/7,7.9,13.8,4.1
2013/2/8,3.0,5.4,0.8
2013/2/9,4.6,9.6,0.9
2013/2/10,5.5,11.8,-0.2
2013/2/11,6.2,13.0,0.6
2013/2/12,5.0,7.8,1.3
2013/2/13,7.1,11.7,3.6
2013/2/14,8.2,14.3,1.9
2013/2/15,8.6,11.6,6.2
2013/2/16,5.6,10.0,2.1
2013/2/17,5.3,9.7,-0.3
2013/2/18,9.1,13.4,5.9
2013/2/19,5.7,8.6,2.1
2013/2/20,5.1,11.8,-0.5
2013/2/21,4.8,11.2,-0.8
2013/2/22,5.3,11.0,1.3
2013/2/23,6.8,12.5,2.3
2013/2/24,7.7,12.9,1.7
2013/2/25,7.0,12.3,2.0
2013/2/26,7.2,12.3,3.0
2013/2/27,12.6,20.0,7.8
2013/2/28,11.3,17.9,5.8
2013/3/1,11.2,14.4,8.9
2013/3/2,8.5,11.8,4.9
2013/3/3,7.0,11.8,1.8
2013/3/4,7.7,15.1,1.3
2013/3/5,8.9,15.9,2.8
2013/3/6,10.6,18.0,3.3
2013/3/7,12.3,18.3,5.3
2013/3/8,15.1,24.1,8.3
2013/3/9,15.6,23.2,9.0
2013/3/10,13.9,22.5,7.7
2013/3/11,10.7,17.2,4.7
2013/3/12,12.0,17.8,5.7
2013/3/13,13.8,16.6,12.5
2013/3/14,8.6,12.5,5.0
2013/3/15,8.9,15.4,1.3
2013/3/16,12.3,19.6,4.8
2013/3/17,13.0,18.4,5.8
2013/3/18,17.7,20.8,13.1
2013/3/19,17.3,25.0,11.3
2013/3/20,14.8,16.6,12.1
2013/3/21,11.3,16.0,6.3
2013/3/22,12.3,18.0,7.8
2013/3/23,13.5,19.0,7.4
2013/3/24,14.8,18.4,12.3
2013/3/25,13.6,17.4,8.6
2013/3/26,10.7,15.2,5.0
2013/3/27,11.9,13.1,10.1
2013/3/28,17.0,22.1,12.6
2013/3/29,17.4,22.3,14.1
2013/3/30,15.8,19.8,10.5
2013/3/31,16.0,21.8,11.4
2013/4/1,13.8,20.1,7.8
2013/4/2,13.6,16.2,11.5
2013/4/3,15.4,21.2,10.9
2013/4/4,14.8,21.5,7.6
2013/4/5,17.0,23.4,9.9
2013/4/6,17.6,21.1,14.9
2013/4/7,13.0,16.9,8.2
2013/4/8,12.0,18.3,5.5
2013/4/9,14.9,22.6,9.2
2013/4/10,11.8,17.8,7.9
2013/4/11,9.8,15.2,4.8
2013/4/12,11.2,17.4,4.9
2013/4/13,11.1,17.1,4.5
2013/4/14,14.2,19.8,7.7
2013/4/15,18.0,26.1,11.0
2013/4/16,18.1,24.0,10.9
2013/4/17,17.3,21.6,14.3
2013/4/18,17.7,22.7,12.3
2013/4/19,15.5,19.1,12.1
2013/4/20,11.7,14.9,9.2
2013/4/21,12.7,17.1,9.6
2013/4/22,12.4,20.2,5.9
2013/4/23,14.0,20.3,7.8
2013/4/24,17.6,21.5,13.3
2013/4/25,17.0,21.8,11.5
2013/4/26,16.2,21.3,11.4
2013/4/27,15.2,21.0,8.9
2013/4/28,16.2,22.3,9.9
2013/4/29,17.4,22.7,11.4
2013/4/30,16.4,18.7,12.4
2013/5/1,15.1,21.4,9.2
