É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:17

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1988/12/1,3.9,12.8,-2.2
1988/12/2,5.4,13.5,-2.2
1988/12/3,5.6,12.9,0.8
1988/12/4,6.3,11.7,0.2
1988/12/5,7.8,15.9,3.4
1988/12/6,4.6,11.6,-1.4
1988/12/7,3.6,12.4,-2.2
1988/12/8,4.3,13.2,-2.5
1988/12/9,5.7,12.8,-0.2
1988/12/10,6.6,11.9,0.6
1988/12/11,3.3,11.8,-3.1
1988/12/12,3.0,11.9,-3.3
1988/12/13,2.9,7.8,-0.9
1988/12/14,3.1,11.6,-3.3
1988/12/15,3.9,10.9,-1.8
1988/12/16,0.7,6.3,-4.6
1988/12/17,2.1,8.6,-3.9
1988/12/18,0.9,9.1,-5.7
1988/12/19,3.1,10.2,-3.3
1988/12/20,5.7,14.7,-2.0
1988/12/21,5.2,14.0,-1.6
1988/12/22,4.1,10.6,-0.7
1988/12/23,1.9,8.8,-4.8
1988/12/24,3.4,11.6,-3.2
1988/12/25,5.3,10.5,0.0
1988/12/26,1.7,8.8,-4.8
1988/12/27,0.8,7.8,-4.8
1988/12/28,1.8,9.0,-3.9
1988/12/29,1.4,7.8,-5.6
1988/12/30,2.8,11.1,-3.3
1988/12/31,2.3,8.3,-4.0
1989/1/1,5.4,11.9,0.7
1989/1/2,4.2,11.1,-1.9
1989/1/3,5.6,12.9,-2.9
1989/1/4,5.9,10.5,-0.5
1989/1/5,1.1,8.5,-4.7
1989/1/6,1.4,9.0,-5.6
1989/1/7,5.6,11.2,0.4
1989/1/8,6.1,8.0,3.7
1989/1/9,8.4,10.4,7.1
1989/1/10,9.0,15.6,3.8
1989/1/11,9.7,14.6,5.5
1989/1/12,8.1,11.2,6.8
1989/1/13,6.0,8.5,4.5
1989/1/14,4.5,6.6,2.2
1989/1/15,3.3,5.9,-0.9
1989/1/16,2.9,10.1,-1.9
1989/1/17,2.3,9.9,-3.2
1989/1/18,4.3,10.8,-2.6
1989/1/19,7.6,12.1,3.9
1989/1/20,9.3,14.4,6.7
1989/1/21,8.2,14.7,3.1
1989/1/22,5.4,10.1,-0.6
1989/1/23,1.6,5.8,0.3
1989/1/24,4.3,10.3,0.5
1989/1/25,3.2,9.2,-2.7
1989/1/26,4.6,7.8,1.4
1989/1/27,5.3,14.2,2.0
1989/1/28,1.2,4.6,-2.0
1989/1/29,0.3,7.1,-6.6
1989/1/30,2.2,10.8,-5.2
1989/1/31,5.2,13.6,-1.8
1989/2/1,5.5,9.4,2.9
1989/2/2,3.2,7.2,-0.2
1989/2/3,2.7,8.4,-2.6
1989/2/4,1.2,7.9,-5.0
1989/2/5,1.9,9.4,-5.0
1989/2/6,3.5,11.6,-2.9
1989/2/7,4.6,12.7,-2.2
1989/2/8,6.3,12.3,0.4
1989/2/9,8.9,18.0,5.4
1989/2/10,4.4,6.2,0.6
1989/2/11,3.9,9.0,-1.4
1989/2/12,4.1,10.5,-1.7
1989/2/13,3.8,10.5,-1.4
1989/2/14,4.0,12.9,-3.2
1989/2/15,4.2,12.1,-3.3
1989/2/16,8.5,16.2,1.2
1989/2/17,9.2,11.1,7.4
1989/2/18,7.5,9.6,6.1
1989/2/19,7.4,13.4,2.6
1989/2/20,9.3,14.5,4.6
1989/2/21,8.2,14.0,5.1
1989/2/22,5.6,10.6,3.0
1989/2/23,3.7,6.2,1.1
1989/2/24,4.4,6.8,0.7
1989/2/25,6.3,7.6,5.3
1989/2/26,7.4,12.7,1.7
1989/2/27,5.6,12.5,-1.7
1989/2/28,8.3,14.8,3.3
1989/3/1,10.5,15.6,4.5
1989/3/2,7.4,17.0,0.4
1989/3/3,7.8,13.5,1.0
1989/3/4,13.6,21.7,7.9
1989/3/5,6.2,11.3,3.2
1989/3/6,5.8,9.3,2.5
1989/3/7,4.3,7.7,2.1
1989/3/8,4.5,9.7,1.3
1989/3/9,4.1,10.1,-1.6
1989/3/10,5.2,12.4,-0.7
1989/3/11,6.5,14.2,-0.1
1989/3/12,8.4,16.5,0.2
1989/3/13,8.1,11.2,4.1
1989/3/14,11.3,19.1,6.2
1989/3/15,10.5,16.8,5.1
1989/3/16,7.8,14.9,2.7
1989/3/17,6.2,11.7,2.1
1989/3/18,6.4,12.8,1.4
1989/3/19,6.4,15.0,-1.4
1989/3/20,7.3,16.8,-0.2
1989/3/21,7.6,16.0,0.0
1989/3/22,6.2,11.8,2.6
1989/3/23,8.3,14.5,1.3
1989/3/24,9.0,13.7,6.8
1989/3/25,10.4,18.0,5.0
1989/3/26,8.7,16.2,1.1
1989/3/27,9.0,12.8,6.4
1989/3/28,7.6,12.2,5.2
1989/3/29,8.4,15.8,3.3
1989/3/30,8.4,16.4,0.4
1989/3/31,9.0,12.7,4.8
