ダウンロードした時刻：2019/10/10 15:57:13

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,10.4,12.0,9.3
2002/12/2,11.3,16.0,7.3
2002/12/3,9.5,13.3,4.9
2002/12/4,10.9,14.8,8.5
2002/12/5,14.4,17.8,11.5
2002/12/6,10.1,12.8,7.3
2002/12/7,8.0,10.4,6.9
2002/12/8,7.2,9.0,4.9
2002/12/9,7.5,12.4,4.4
2002/12/10,6.1,9.3,2.9
2002/12/11,4.7,8.4,1.7
2002/12/12,5.8,9.8,1.4
2002/12/13,4.6,7.4,3.1
2002/12/14,5.5,9.3,2.5
2002/12/15,7.2,14.5,1.4
2002/12/16,7.9,11.7,3.0
2002/12/17,9.4,13.6,5.8
2002/12/18,7.3,12.1,4.3
2002/12/19,9.5,11.6,7.7
2002/12/20,7.6,10.6,4.6
2002/12/21,7.3,8.7,5.2
2002/12/22,9.4,11.8,7.5
2002/12/23,8.5,13.3,4.9
2002/12/24,8.9,13.2,5.8
2002/12/25,8.2,13.9,4.1
2002/12/26,4.0,7.2,1.5
2002/12/27,3.9,6.4,2.7
2002/12/28,4.9,9.5,1.0
2002/12/29,5.7,8.7,3.7
2002/12/30,5.1,9.9,0.9
2002/12/31,5.9,11.4,1.5
2003/1/1,6.7,10.1,3.3
2003/1/2,3.3,5.7,1.8
2003/1/3,2.5,7.8,0.0
2003/1/4,4.7,8.0,1.0
2003/1/5,1.5,4.0,-0.1
2003/1/6,1.9,4.7,-0.7
2003/1/7,3.5,8.8,-1.2
2003/1/8,4.2,7.9,1.2
2003/1/9,4.3,11.1,-1.6
2003/1/10,6.9,11.0,3.2
2003/1/11,7.6,12.1,4.3
2003/1/12,7.8,13.2,3.8
2003/1/13,5.2,10.2,0.8
2003/1/14,7.1,14.1,1.7
2003/1/15,1.6,4.3,-0.1
2003/1/16,2.4,5.9,-1.5
2003/1/17,6.2,14.1,-0.5
2003/1/18,6.6,12.0,3.3
2003/1/19,4.3,5.9,2.0
2003/1/20,7.0,11.4,3.3
2003/1/21,4.3,8.3,2.9
2003/1/22,3.8,6.3,0.5
2003/1/23,5.1,9.1,2.4
2003/1/24,3.6,6.5,1.2
2003/1/25,4.2,8.3,1.0
2003/1/26,5.3,7.8,1.4
2003/1/27,8.2,12.4,4.8
2003/1/28,5.6,10.4,3.0
2003/1/29,-0.4,3.1,-3.3
2003/1/30,1.4,5.6,-3.2
2003/1/31,4.1,9.3,-0.1
2003/2/1,3.4,6.6,1.7
2003/2/2,3.4,7.2,1.0
2003/2/3,3.5,7.5,-0.1
2003/2/4,4.0,8.0,0.6
2003/2/5,5.0,9.5,1.5
2003/2/6,3.8,6.9,1.0
2003/2/7,4.1,9.0,-0.9
2003/2/8,5.7,8.9,1.6
2003/2/9,10.8,14.7,6.5
2003/2/10,10.2,13.4,7.3
2003/2/11,10.2,12.1,8.4
2003/2/12,5.7,9.6,2.0
2003/2/13,5.4,11.0,1.2
2003/2/14,5.7,10.4,2.2
2003/2/15,6.5,11.8,1.7
2003/2/16,6.5,8.6,4.8
2003/2/17,7.6,12.1,4.0
2003/2/18,5.2,10.0,0.8
2003/2/19,6.4,10.5,2.6
2003/2/20,5.2,9.5,2.4
2003/2/21,6.2,10.7,3.3
2003/2/22,5.8,8.1,4.4
2003/2/23,8.8,13.4,4.8
2003/2/24,6.9,11.0,4.9
2003/2/25,7.1,11.8,3.3
2003/2/26,6.7,10.4,1.5
2003/2/27,6.6,9.7,3.0
2003/2/28,5.8,9.6,1.6
2003/3/1,7.6,11.3,6.1
2003/3/2,9.8,14.3,6.2
2003/3/3,6.7,9.6,4.2
2003/3/4,1.9,5.1,-0.2
2003/3/5,3.3,7.1,0.3
2003/3/6,5.4,8.4,0.6
2003/3/7,9.5,12.3,7.0
2003/3/8,6.0,9.5,3.9
2003/3/9,4.1,8.0,1.5
2003/3/10,4.5,8.8,2.0
2003/3/11,3.9,7.7,1.4
2003/3/12,5.2,9.7,3.1
2003/3/13,6.3,11.6,3.1
2003/3/14,7.2,11.3,3.4
2003/3/15,7.7,9.6,6.0
2003/3/16,6.6,8.2,3.4
2003/3/17,9.6,13.4,7.5
2003/3/18,8.3,12.5,4.8
2003/3/19,6.9,12.4,2.9
2003/3/20,7.8,12.3,4.3
2003/3/21,7.3,11.4,3.3
2003/3/22,7.1,9.1,5.5
2003/3/23,8.5,12.5,2.3
2003/3/24,10.2,14.7,5.4
2003/3/25,11.6,17.2,10.0
2003/3/26,13.1,18.5,8.8
2003/3/27,12.6,19.1,6.3
2003/3/28,11.4,15.7,8.3
2003/3/29,10.1,14.3,7.0
2003/3/30,9.3,14.1,3.6
2003/3/31,12.1,16.0,6.1
