ダウンロードした時刻：2019/10/10 16:26:05

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,11.9,19.5,6.2
2005/12/2,11.0,13.3,6.7
2005/12/3,9.5,15.4,5.1
2005/12/4,8.2,12.8,4.4
2005/12/5,5.2,9.1,2.0
2005/12/6,6.8,12.5,2.9
2005/12/7,6.9,13.4,0.9
2005/12/8,7.5,14.7,1.6
2005/12/9,8.0,14.0,2.3
2005/12/10,9.4,14.3,5.2
2005/12/11,10.0,15.6,5.4
2005/12/12,6.2,10.2,3.9
2005/12/13,4.7,8.1,2.7
2005/12/14,5.2,9.7,1.4
2005/12/15,5.1,11.7,-0.4
2005/12/16,5.5,10.9,-0.1
2005/12/17,6.1,10.8,2.3
2005/12/18,2.1,7.3,-1.6
2005/12/19,4.9,11.8,-3.1
2005/12/20,4.1,11.3,-2.0
2005/12/21,5.4,11.6,1.1
2005/12/22,2.4,6.0,-1.0
2005/12/23,7.7,13.0,1.2
2005/12/24,7.9,11.7,3.7
2005/12/25,7.4,13.9,1.4
2005/12/26,9.1,14.0,5.4
2005/12/27,6.3,11.7,2.0
2005/12/28,4.4,10.0,-1.7
2005/12/29,6.6,12.8,2.7
2005/12/30,7.8,14.0,2.7
2005/12/31,7.6,11.5,3.3
2006/1/1,8.9,12.4,6.3
2006/1/2,10.1,15.1,6.7
2006/1/3,8.8,13.6,4.4
2006/1/4,6.4,10.0,2.6
2006/1/5,3.9,8.3,0.2
2006/1/6,3.3,8.9,-0.5
2006/1/7,3.0,8.3,-1.1
2006/1/8,2.7,10.2,-3.9
2006/1/9,5.9,13.8,0.5
2006/1/10,6.5,14.8,-0.3
2006/1/11,7.0,13.9,1.6
2006/1/12,8.2,13.9,1.6
2006/1/13,11.9,15.2,7.5
2006/1/14,15.5,20.4,10.1
2006/1/15,10.8,15.5,6.6
2006/1/16,9.3,14.2,4.2
2006/1/17,10.3,13.6,6.6
2006/1/18,8.9,10.1,7.8
2006/1/19,6.9,8.8,4.3
2006/1/20,6.2,7.7,4.1
2006/1/21,6.4,8.7,3.1
2006/1/22,6.2,12.4,1.1
2006/1/23,4.5,9.4,0.5
2006/1/24,4.9,13.1,-1.6
2006/1/25,5.7,13.5,-0.4
2006/1/26,5.1,11.7,-1.3
2006/1/27,7.4,14.7,1.9
2006/1/28,5.9,12.1,-0.3
2006/1/29,10.0,16.6,3.9
2006/1/30,13.3,18.0,8.1
2006/1/31,15.7,21.8,12.5
2006/2/1,13.7,19.7,7.6
2006/2/2,9.1,14.7,3.2
2006/2/3,8.7,13.3,3.0
2006/2/4,3.2,9.2,-1.6
2006/2/5,4.1,9.1,-0.8
2006/2/6,7.6,13.4,3.4
2006/2/7,9.2,13.4,6.6
2006/2/8,5.2,8.2,0.9
2006/2/9,3.9,10.3,-1.5
2006/2/10,6.9,12.9,0.4
2006/2/11,9.6,16.2,3.0
2006/2/12,9.0,15.1,3.3
2006/2/13,9.1,19.1,-0.1
2006/2/14,14.2,21.9,5.9
2006/2/15,17.0,19.2,14.5
2006/2/16,15.7,19.5,11.2
2006/2/17,10.5,15.2,5.8
2006/2/18,6.4,9.0,2.6
2006/2/19,8.3,10.0,6.5
2006/2/20,10.2,11.7,8.8
2006/2/21,11.8,15.9,8.7
2006/2/22,13.0,19.1,6.3
2006/2/23,12.9,16.1,7.6
2006/2/24,10.2,15.1,5.4
2006/2/25,11.7,17.0,4.1
2006/2/26,16.5,21.4,12.3
2006/2/27,11.5,14.8,8.4
2006/2/28,10.4,13.4,7.0
2006/3/1,9.5,11.6,6.6
2006/3/2,6.8,11.5,2.0
2006/3/3,7.0,13.8,0.8
2006/3/4,6.1,11.9,-0.2
2006/3/5,11.0,20.1,1.7
2006/3/6,12.1,13.8,10.2
2006/3/7,11.2,17.8,5.3
2006/3/8,12.9,19.7,5.8
2006/3/9,11.6,14.8,9.0
2006/3/10,13.1,17.3,10.0
2006/3/11,15.0,21.5,8.2
2006/3/12,11.1,15.8,5.0
2006/3/13,5.1,10.4,1.6
2006/3/14,6.1,10.6,1.9
2006/3/15,10.1,17.9,1.9
2006/3/16,11.2,15.4,9.0
2006/3/17,12.3,17.9,7.2
2006/3/18,11.1,13.9,8.3
2006/3/19,12.8,18.8,6.8
2006/3/20,9.6,17.4,1.6
2006/3/21,12.7,18.0,7.7
2006/3/22,12.4,14.9,9.4
2006/3/23,15.3,21.6,11.7
2006/3/24,11.5,15.3,7.6
2006/3/25,10.9,16.9,4.6
2006/3/26,10.3,14.5,7.3
2006/3/27,12.9,19.2,5.8
2006/3/28,13.4,21.4,6.8
2006/3/29,9.2,15.1,3.8
2006/3/30,12.3,18.7,7.1
2006/3/31,9.2,13.8,3.2
