ダウンロードした時刻：2019/10/10 15:38:59

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,17.1,20.1,14.4
1990/12/2,10.8,15.3,7.3
1990/12/3,5.4,7.5,3.8
1990/12/4,5.5,10.3,2.7
1990/12/5,6.9,12.2,1.4
1990/12/6,8.5,14.7,3.2
1990/12/7,10.7,15.6,3.7
1990/12/8,9.9,13.9,5.0
1990/12/9,10.7,17.7,6.4
1990/12/10,9.4,12.7,6.5
1990/12/11,7.3,11.2,5.3
1990/12/12,6.2,10.5,3.2
1990/12/13,4.3,9.0,-0.1
1990/12/14,5.6,11.6,-2.1
1990/12/15,3.8,10.6,2.4
1990/12/16,1.5,6.0,-1.5
1990/12/17,0.9,4.9,-2.3
1990/12/18,2.1,5.4,-1.1
1990/12/19,3.7,6.5,1.7
1990/12/20,4.2,7.3,1.5
1990/12/21,4.3,7.9,0.7
1990/12/22,6.4,14.0,0.2
1990/12/23,3.8,7.1,0.6
1990/12/24,1.4,3.8,0.0
1990/12/25,2.0,5.0,-0.6
1990/12/26,2.4,6.1,-1.8
1990/12/27,1.3,3.1,-0.1
1990/12/28,1.9,4.9,0.6
1990/12/29,1.6,5.2,-0.3
1990/12/30,1.8,5.4,-1.5
1990/12/31,3.9,8.2,-1.0
1991/1/1,3.6,7.5,-0.5
1991/1/2,4.3,8.2,2.0
1991/1/3,0.5,3.0,-2.3
1991/1/4,-1.2,1.5,-3.3
1991/1/5,-0.2,1.7,-1.1
1991/1/6,-1.5,0.3,-2.7
1991/1/7,-0.9,1.3,-3.3
1991/1/8,-0.8,2.1,-2.7
1991/1/9,-1.1,3.9,-7.7
1991/1/10,1.8,4.7,-0.2
1991/1/11,1.0,3.3,-0.6
1991/1/12,0.7,4.4,-1.9
1991/1/13,-2.0,1.5,-5.8
1991/1/14,0.0,5.3,-4.3
1991/1/15,-0.5,3.7,-2.8
1991/1/16,-0.3,2.9,-3.6
1991/1/17,-0.4,3.8,-5.1
1991/1/18,-2.0,0.7,-3.8
1991/1/19,-2.4,1.2,-6.2
1991/1/20,-0.4,7.5,-4.8
1991/1/21,1.8,5.2,-1.8
1991/1/22,2.0,4.7,0.0
1991/1/23,-1.6,1.6,-3.5
1991/1/24,0.0,3.8,-3.8
1991/1/25,2.2,8.3,-1.2
1991/1/26,1.6,4.9,-0.7
1991/1/27,0.6,3.0,-1.6
1991/1/28,-1.2,3.2,-3.5
1991/1/29,-1.2,1.8,-4.3
1991/1/30,0.0,3.6,-3.3
1991/1/31,1.3,5.7,-2.9
1991/2/1,0.0,2.2,-2.4
1991/2/2,-1.5,1.2,-3.2
1991/2/3,-0.2,2.1,-3.2
1991/2/4,-1.2,2.6,-3.8
1991/2/5,-1.1,1.8,-3.5
1991/2/6,0.4,4.9,-1.9
1991/2/7,0.3,3.8,-1.9
1991/2/8,-2.0,1.2,-4.0
1991/2/9,0.8,4.3,-2.4
1991/2/10,-0.5,1.3,-3.7
1991/2/11,2.6,5.2,0.3
1991/2/12,0.9,5.0,-2.0
1991/2/13,0.8,5.1,-2.4
1991/2/14,0.3,7.1,-6.0
1991/2/15,2.4,7.5,-2.4
1991/2/16,4.3,9.7,0.9
1991/2/17,0.2,2.9,-2.2
1991/2/18,-1.2,2.0,-4.9
1991/2/19,-1.1,3.3,-3.9
1991/2/20,-2.4,2.1,-7.8
1991/2/21,-0.4,3.1,-4.7
1991/2/22,-1.1,1.4,-2.2
1991/2/23,-2.8,-0.5,-4.7
1991/2/24,-4.3,-2.1,-6.6
1991/2/25,-1.6,1.9,-4.8
1991/2/26,2.0,5.7,-2.0
1991/2/27,4.2,8.0,0.0
1991/2/28,3.3,7.6,-0.2
1991/3/1,0.6,3.4,-2.9
1991/3/2,0.9,5.7,-4.0
1991/3/3,1.3,4.5,-1.9
1991/3/4,6.2,11.4,0.3
1991/3/5,6.9,13.8,0.5
1991/3/6,7.5,16.0,0.0
1991/3/7,2.9,6.8,-0.8
1991/3/8,1.7,5.6,-1.1
1991/3/9,2.3,5.7,0.1
1991/3/10,2.9,5.8,0.6
1991/3/11,1.7,2.7,0.4
1991/3/12,3.9,8.1,1.8
1991/3/13,1.8,4.4,-1.2
1991/3/14,-0.9,3.1,-3.9
1991/3/15,-0.6,3.2,-3.9
1991/3/16,0.3,3.3,-2.2
1991/3/17,2.5,7.6,0.3
1991/3/18,3.3,8.3,-0.8
1991/3/19,5.9,15.1,-2.7
1991/3/20,9.2,18.6,0.6
1991/3/21,2.4,5.8,-1.2
1991/3/22,3.2,9.3,-3.8
1991/3/23,6.9,10.1,3.7
1991/3/24,9.6,16.1,4.4
1991/3/25,5.9,9.6,2.3
1991/3/26,6.6,14.6,2.0
1991/3/27,3.5,5.1,1.7
1991/3/28,5.2,6.8,3.5
1991/3/29,5.4,9.9,1.3
1991/3/30,7.2,14.8,-0.6
1991/3/31,5.9,9.4,3.5
