ダウンロードした時刻：2019/10/10 15:50:10

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,6.4,12.9,0.3
1989/12/2,6.8,13.2,2.2
1989/12/3,10.0,18.3,3.8
1989/12/4,10.3,16.4,3.6
1989/12/5,10.6,15.5,6.9
1989/12/6,9.4,15.5,5.1
1989/12/7,7.4,8.9,5.5
1989/12/8,7.4,12.8,2.8
1989/12/9,4.2,10.4,-0.1
1989/12/10,4.5,10.0,1.2
1989/12/11,6.3,12.3,-0.9
1989/12/12,6.6,10.6,2.8
1989/12/13,4.4,10.2,-1.1
1989/12/14,3.7,5.7,2.6
1989/12/15,5.9,11.5,3.1
1989/12/16,6.6,11.4,1.7
1989/12/17,8.3,14.9,3.4
1989/12/18,6.6,10.9,3.4
1989/12/19,2.5,6.2,-0.2
1989/12/20,3.9,9.3,-0.2
1989/12/21,5.0,11.2,-0.2
1989/12/22,5.2,10.0,0.7
1989/12/23,7.7,14.5,2.3
1989/12/24,4.3,6.7,2.5
1989/12/25,5.9,7.8,2.7
1989/12/26,6.8,8.1,4.6
1989/12/27,8.0,13.8,4.2
1989/12/28,5.1,11.1,0.2
1989/12/29,5.6,11.9,1.3
1989/12/30,5.0,9.7,0.4
1989/12/31,3.2,7.8,0.0
1990/1/1,1.7,7.4,-1.9
1990/1/2,2.9,10.0,-1.8
1990/1/3,3.9,10.0,-0.5
1990/1/4,2.3,8.0,-1.7
1990/1/5,3.2,10.3,-2.3
1990/1/6,5.3,13.7,-0.1
1990/1/7,2.8,6.4,-0.1
1990/1/8,3.5,10.8,-2.0
1990/1/9,4.5,11.2,-0.6
1990/1/10,6.3,9.9,3.1
1990/1/11,7.4,12.9,4.0
1990/1/12,5.4,10.9,2.0
1990/1/13,4.5,8.2,-0.4
1990/1/14,1.6,6.7,-2.7
1990/1/15,3.4,7.8,-0.9
1990/1/16,0.4,3.0,-0.4
1990/1/17,0.6,5.4,-3.6
1990/1/18,2.5,8.1,-3.2
1990/1/19,4.8,7.7,1.5
1990/1/20,2.0,5.4,-1.5
1990/1/21,0.2,5.1,-4.7
1990/1/22,3.2,8.0,-2.4
1990/1/23,1.2,3.7,-0.8
1990/1/24,1.6,7.1,-2.9
1990/1/25,-0.5,5.0,-3.5
1990/1/26,-1.2,4.2,-5.4
1990/1/27,-1.4,3.8,-6.2
1990/1/28,0.5,5.2,-4.6
1990/1/29,1.8,5.0,-2.9
1990/1/30,5.9,9.6,2.7
1990/1/31,0.3,2.8,-0.4
1990/2/1,0.0,1.2,-1.6
1990/2/2,-0.8,2.5,-4.4
1990/2/3,2.0,5.5,-2.4
1990/2/4,3.1,4.8,1.5
1990/2/5,2.5,6.3,-0.4
1990/2/6,2.7,4.9,-0.5
1990/2/7,4.9,10.2,0.0
1990/2/8,6.0,10.7,2.0
1990/2/9,3.5,6.7,-0.5
1990/2/10,3.3,7.5,-2.3
1990/2/11,7.5,11.1,1.6
1990/2/12,8.6,16.4,3.7
1990/2/13,4.8,9.1,1.9
1990/2/14,3.0,6.7,0.9
1990/2/15,4.3,8.2,0.5
1990/2/16,5.4,7.6,3.5
1990/2/17,6.7,12.0,2.3
1990/2/18,7.9,13.4,1.7
1990/2/19,6.1,7.6,5.4
1990/2/20,8.1,11.7,5.5
1990/2/21,10.0,15.3,4.9
1990/2/22,10.7,16.9,4.0
1990/2/23,9.4,11.0,7.5
1990/2/24,12.3,19.0,8.4
1990/2/25,9.1,10.5,7.7
1990/2/26,7.0,8.7,5.9
1990/2/27,7.2,9.0,5.8
1990/2/28,6.9,11.6,2.2
1990/3/1,6.9,9.6,5.1
1990/3/2,6.8,8.5,5.4
1990/3/3,6.4,7.9,5.0
1990/3/4,8.4,13.5,5.2
1990/3/5,7.2,14.1,2.0
1990/3/6,6.9,12.8,0.8
1990/3/7,6.3,12.8,1.5
1990/3/8,4.1,8.6,0.9
1990/3/9,7.8,14.4,1.4
1990/3/10,9.5,16.2,1.4
1990/3/11,10.7,16.4,3.2
1990/3/12,8.9,17.1,4.1
1990/3/13,4.9,9.1,2.9
1990/3/14,7.9,12.7,0.7
1990/3/15,10.6,18.8,5.8
1990/3/16,8.6,13.4,5.2
1990/3/17,7.7,13.6,1.3
1990/3/18,5.4,6.9,3.6
1990/3/19,8.9,14.9,4.2
1990/3/20,10.8,19.1,4.1
1990/3/21,8.2,13.2,3.3
1990/3/22,9.0,16.3,1.5
1990/3/23,12.7,19.9,6.0
1990/3/24,13.2,21.9,9.1
1990/3/25,6.6,10.7,3.5
1990/3/26,5.3,10.4,1.8
1990/3/27,8.8,15.8,0.1
1990/3/28,11.2,16.6,6.0
1990/3/29,7.7,8.7,7.2
1990/3/30,10.1,13.3,7.3
1990/3/31,9.6,10.8,8.3
