ダウンロードした時刻：2017/07/24 15:41:45

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,7.1,9.9,4.6
1989/1/2,7.6,14.3,2.2
1989/1/3,7.9,12.3,3.3
1989/1/4,6.2,9.5,3.0
1989/1/5,5.1,10.3,2.1
1989/1/6,4.9,10.7,-1.5
1989/1/7,9.4,14.2,4.0
1989/1/8,12.2,13.6,9.8
1989/1/9,11.2,12.9,8.8
1989/1/10,11.3,15.3,7.0
1989/1/11,11.2,14.6,8.0
1989/1/12,10.8,15.1,7.7
1989/1/13,6.7,10.8,4.2
1989/1/14,6.5,8.8,3.9
1989/1/15,5.3,8.5,2.8
1989/1/16,5.7,10.9,0.1
1989/1/17,6.7,12.6,1.9
1989/1/18,8.9,14.7,2.9
1989/1/19,12.7,14.9,8.7
1989/1/20,14.4,16.5,11.4
1989/1/21,10.2,13.9,6.1
1989/1/22,9.2,12.9,3.9
1989/1/23,9.3,10.2,8.4
1989/1/24,8.1,12.6,4.4
1989/1/25,7.4,12.5,3.6
1989/1/26,8.5,11.9,4.8
1989/1/27,6.3,11.1,1.8
1989/1/28,2.1,6.3,-0.3
1989/1/29,3.5,8.4,-0.4
1989/1/30,7.2,12.2,1.2
1989/1/31,9.9,14.4,5.3
1989/2/1,7.3,9.6,3.9
1989/2/2,4.0,8.5,1.5
1989/2/3,3.7,8.1,0.5
1989/2/4,4.1,8.4,1.1
1989/2/5,5.9,12.1,1.1
1989/2/6,7.4,12.5,2.1
1989/2/7,8.4,14.1,3.9
1989/2/8,9.7,13.7,5.0
1989/2/9,11.3,15.4,8.0
1989/2/10,7.3,11.5,3.9
1989/2/11,4.8,9.0,1.7
1989/2/12,5.7,10.9,-0.3
1989/2/13,6.2,11.1,1.1
1989/2/14,7.0,12.9,2.7
1989/2/15,8.7,14.0,3.5
1989/2/16,10.7,13.3,7.5
1989/2/17,13.2,15.3,10.1
1989/2/18,9.8,12.6,7.8
1989/2/19,7.8,11.6,5.7
1989/2/20,10.3,15.0,5.7
1989/2/21,10.3,14.1,8.2
1989/2/22,9.9,15.6,5.4
1989/2/23,8.0,11.5,5.7
1989/2/24,8.2,10.3,5.9
1989/2/25,9.2,10.9,8.5
1989/2/26,9.5,13.5,4.8
1989/2/27,8.0,12.6,2.7
1989/2/28,13.1,17.4,7.4
1989/3/1,12.3,15.6,7.5
1989/3/2,9.9,14.8,5.9
1989/3/3,11.7,14.9,6.5
1989/3/4,14.5,19.7,10.0
1989/3/5,8.3,10.5,5.8
1989/3/6,8.5,13.6,3.8
1989/3/7,7.5,12.0,4.9
1989/3/8,6.5,12.4,2.4
1989/3/9,6.4,10.9,2.1
1989/3/10,7.8,13.0,1.9
1989/3/11,9.0,13.5,3.0
1989/3/12,11.5,16.3,6.8
1989/3/13,9.9,11.9,8.1
1989/3/14,13.7,19.0,9.9
1989/3/15,10.9,15.7,7.5
1989/3/16,9.1,13.5,5.8
1989/3/17,7.4,13.4,3.5
1989/3/18,7.0,12.7,2.5
1989/3/19,8.2,14.5,3.4
1989/3/20,9.4,15.5,4.1
1989/3/21,9.5,14.5,4.6
1989/3/22,9.5,14.6,5.8
1989/3/23,9.5,14.5,3.9
1989/3/24,10.6,13.6,8.7
1989/3/25,11.8,16.2,7.6
1989/3/26,10.7,14.9,5.5
1989/3/27,10.9,14.5,8.8
1989/3/28,10.5,15.5,7.0
1989/3/29,10.5,16.2,6.0
1989/3/30,10.9,16.5,3.9
1989/3/31,11.4,14.1,9.0
1989/4/1,14.2,20.0,9.3
1989/4/2,13.1,18.3,8.0
1989/4/3,13.7,15.9,12.0
1989/4/4,14.2,20.3,10.8
1989/4/5,14.9,20.4,10.3
1989/4/6,13.7,18.3,9.8
1989/4/7,14.8,19.7,9.4
1989/4/8,15.4,17.0,13.2
1989/4/9,16.1,21.7,11.7
1989/4/10,15.1,17.7,12.5
1989/4/11,13.9,18.5,9.1
1989/4/12,11.7,16.5,7.5
1989/4/13,14.9,21.6,7.4
1989/4/14,16.1,20.6,10.0
1989/4/15,14.7,15.8,13.8
1989/4/16,18.2,21.6,13.6
1989/4/17,15.4,19.0,12.1
1989/4/18,16.8,23.5,10.6
1989/4/19,17.4,21.6,14.0
1989/4/20,17.1,21.7,12.9
1989/4/21,15.4,19.8,12.5
1989/4/22,16.2,20.6,11.9
1989/4/23,14.4,15.8,12.9
1989/4/24,14.9,18.3,12.5
1989/4/25,15.2,20.8,11.8
1989/4/26,14.6,19.7,9.9
1989/4/27,15.3,21.0,10.5
1989/4/28,12.4,15.9,8.9
1989/4/29,12.1,16.8,5.9
1989/4/30,14.7,19.4,9.1
1989/5/1,13.8,15.3,13.3
