ダウンロードした時刻：2019/10/10 15:41:06

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,2.9,6.2,0.2
2012/12/2,3.1,6.1,1.0
2012/12/3,4.2,7.7,-0.2
2012/12/4,6.9,10.5,4.6
2012/12/5,4.9,9.0,1.6
2012/12/6,5.3,10.3,2.2
2012/12/7,3.3,6.9,-0.4
2012/12/8,2.6,10.3,-0.5
2012/12/9,0.2,2.1,-1.7
2012/12/10,1.7,4.8,-1.8
2012/12/11,2.9,6.7,0.5
2012/12/12,1.7,6.3,-1.0
2012/12/13,2.6,7.5,-2.3
2012/12/14,4.4,12.0,-2.1
2012/12/15,4.1,6.1,2.2
2012/12/16,8.8,14.9,5.0
2012/12/17,4.1,7.1,0.6
2012/12/18,5.4,9.5,2.0
2012/12/19,1.2,4.1,-0.7
2012/12/20,1.7,5.3,-1.0
2012/12/21,3.5,5.9,1.7
2012/12/22,3.0,7.7,0.8
2012/12/23,3.8,6.8,0.3
2012/12/24,0.1,2.2,-2.5
2012/12/25,0.6,6.8,-5.0
2012/12/26,-1.9,0.9,-3.2
2012/12/27,1.1,4.3,-2.6
2012/12/28,4.5,7.1,1.6
2012/12/29,3.3,5.9,0.9
2012/12/30,5.0,8.1,3.2
2012/12/31,4.1,8.6,1.1
2013/1/1,1.8,5.7,-0.9
2013/1/2,3.4,8.8,-1.6
2013/1/3,-1.2,3.3,-2.9
2013/1/4,-1.7,0.7,-4.1
2013/1/5,0.1,4.7,-3.7
2013/1/6,0.9,4.9,-4.1
2013/1/7,1.4,5.1,-0.9
2013/1/8,1.2,5.6,-1.0
2013/1/9,-0.3,1.2,-2.3
2013/1/10,-0.7,1.6,-2.9
2013/1/11,-0.1,3.1,-3.1
2013/1/12,0.7,8.5,-5.7
2013/1/13,3.6,8.2,0.0
2013/1/14,0.5,1.9,-0.7
2013/1/15,0.5,2.5,-1.6
2013/1/16,-1.3,5.1,-6.0
2013/1/17,-1.2,2.9,-4.6
2013/1/18,-3.1,0.5,-5.6
2013/1/19,0.4,3.5,-3.1
2013/1/20,2.2,4.6,-0.6
2013/1/21,1.7,6.0,-1.6
2013/1/22,1.6,4.8,-0.5
2013/1/23,1.4,5.3,-2.5
2013/1/24,2.4,7.8,-1.7
2013/1/25,0.4,4.9,-2.5
2013/1/26,-2.1,0.0,-3.5
2013/1/27,0.4,4.5,-3.2
2013/1/28,0.6,6.4,-4.8
2013/1/29,2.5,5.1,0.0
2013/1/30,2.3,4.0,0.2
2013/1/31,1.6,7.6,-3.2
2013/2/1,2.8,10.7,-5.0
2013/2/2,7.3,11.3,3.2
2013/2/3,1.8,5.3,-0.8
2013/2/4,1.6,6.6,-0.9
2013/2/5,2.6,4.5,0.4
2013/2/6,0.0,0.7,-1.3
2013/2/7,3.0,8.8,-1.4
2013/2/8,-0.5,3.6,-2.2
2013/2/9,0.3,4.4,-2.8
2013/2/10,0.1,6.5,-5.6
2013/2/11,-0.4,1.4,-1.9
2013/2/12,1.0,4.1,-2.7
2013/2/13,2.8,6.3,-0.7
2013/2/14,3.8,9.7,-0.7
2013/2/15,1.1,3.9,-0.7
2013/2/16,-1.4,2.1,-3.5
2013/2/17,-0.5,4.0,-3.5
2013/2/18,2.0,6.0,-2.7
2013/2/19,1.2,4.0,-1.5
2013/2/20,-0.5,4.9,-3.3
2013/2/21,-2.1,0.7,-4.3
2013/2/22,1.4,4.9,-1.7
2013/2/23,0.3,4.0,-2.8
2013/2/24,-3.2,-0.7,-5.2
2013/2/25,-2.1,1.8,-4.7
2013/2/26,-0.3,4.6,-5.5
2013/2/27,1.3,7.8,-4.1
2013/2/28,6.1,12.0,0.5
2013/3/1,6.5,14.8,0.8
2013/3/2,2.7,7.3,0.0
2013/3/3,2.0,5.1,-0.2
2013/3/4,2.8,9.0,-2.2
2013/3/5,3.3,9.4,-1.9
2013/3/6,5.8,14.9,-2.6
2013/3/7,8.6,16.9,-0.5
2013/3/8,12.2,16.9,7.5
2013/3/9,8.2,12.7,4.3
2013/3/10,4.8,17.6,-0.7
2013/3/11,0.7,5.3,-3.0
2013/3/12,5.6,17.8,-4.4
2013/3/13,10.0,19.6,1.8
2013/3/14,3.1,6.5,-0.3
2013/3/15,4.6,14.5,-3.1
2013/3/16,6.0,16.0,-1.1
2013/3/17,9.9,18.3,3.1
2013/3/18,15.2,20.1,8.6
2013/3/19,14.6,19.6,8.9
2013/3/20,12.2,17.2,8.2
2013/3/21,3.2,8.7,-0.1
2013/3/22,8.4,18.0,-0.7
2013/3/23,6.4,10.9,1.5
2013/3/24,3.1,6.8,-0.1
2013/3/25,5.8,10.9,2.5
2013/3/26,4.1,8.4,0.8
2013/3/27,4.6,11.2,-1.8
2013/3/28,13.0,22.6,6.1
2013/3/29,10.9,15.9,6.4
2013/3/30,6.8,11.3,3.9
2013/3/31,2.5,4.4,0.9
