ダウンロードした時刻：2019/10/10 16:16:00

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,9.3,13.7,6.3
1986/12/2,7.6,13.6,3.1
1986/12/3,10.2,15.5,4.6
1986/12/4,11.0,13.4,8.4
1986/12/5,9.4,14.3,4.8
1986/12/6,9.8,16.1,2.2
1986/12/7,9.7,13.4,4.6
1986/12/8,7.9,12.3,2.5
1986/12/9,5.6,12.8,0.0
1986/12/10,8.9,14.0,1.4
1986/12/11,8.5,15.4,3.0
1986/12/12,7.2,15.2,0.3
1986/12/13,8.5,15.1,2.1
1986/12/14,12.0,14.2,7.6
1986/12/15,12.1,14.9,8.6
1986/12/16,7.4,10.7,2.0
1986/12/17,5.1,10.4,0.9
1986/12/18,11.4,15.8,3.2
1986/12/19,10.2,13.7,7.3
1986/12/20,5.8,8.3,1.3
1986/12/21,5.7,11.5,-1.3
1986/12/22,7.2,10.3,2.0
1986/12/23,4.5,10.1,-1.3
1986/12/24,8.5,15.6,1.4
1986/12/25,9.9,12.8,6.8
1986/12/26,8.6,12.0,4.1
1986/12/27,4.5,9.6,0.4
1986/12/28,5.7,9.0,3.7
1986/12/29,4.8,9.3,-0.1
1986/12/30,7.9,13.3,2.3
1986/12/31,11.3,16.3,6.2
1987/1/1,7.9,12.7,5.2
1987/1/2,7.0,9.2,4.9
1987/1/3,11.7,15.1,7.4
1987/1/4,8.0,12.5,3.8
1987/1/5,4.0,6.5,1.6
1987/1/6,8.0,11.8,2.1
1987/1/7,6.2,11.4,0.0
1987/1/8,9.2,11.9,6.2
1987/1/9,10.1,13.8,6.1
1987/1/10,7.3,10.1,3.3
1987/1/11,2.9,6.1,0.1
1987/1/12,4.0,7.4,0.1
1987/1/13,2.3,4.9,-0.5
1987/1/14,3.2,6.0,-1.0
1987/1/15,6.1,10.4,2.8
1987/1/16,5.9,11.2,-0.8
1987/1/17,10.6,13.8,7.3
1987/1/18,6.9,9.7,5.2
1987/1/19,5.6,8.4,3.1
1987/1/20,3.2,6.4,-0.9
1987/1/21,2.3,7.9,-3.1
1987/1/22,3.1,9.6,-3.4
1987/1/23,6.9,12.6,-0.3
1987/1/24,7.2,10.7,2.7
1987/1/25,2.3,6.4,0.0
1987/1/26,3.1,7.4,-3.3
1987/1/27,5.7,10.4,0.9
1987/1/28,5.6,11.3,1.3
1987/1/29,7.2,13.4,-0.6
1987/1/30,11.0,15.3,6.1
1987/1/31,6.1,9.3,2.8
1987/2/1,2.7,6.4,-1.1
1987/2/2,1.4,2.9,-1.4
1987/2/3,3.3,5.0,1.0
1987/2/4,4.4,6.7,2.4
1987/2/5,6.7,10.7,3.6
1987/2/6,6.9,12.0,1.1
1987/2/7,9.6,15.6,2.3
1987/2/8,8.3,14.9,2.0
1987/2/9,7.9,16.9,-0.2
1987/2/10,8.2,17.4,-0.1
1987/2/11,11.9,18.9,3.7
1987/2/12,9.9,15.6,7.2
1987/2/13,6.6,10.4,2.0
1987/2/14,9.4,15.0,1.0
1987/2/15,6.9,11.3,2.1
1987/2/16,6.5,12.0,-0.2
1987/2/17,4.9,6.4,3.3
1987/2/18,7.4,10.4,4.8
1987/2/19,4.8,7.7,3.3
1987/2/20,3.9,8.4,-1.1
1987/2/21,4.1,7.5,-0.2
1987/2/22,4.5,7.1,0.9
1987/2/23,7.2,13.8,1.0
1987/2/24,9.2,15.7,0.9
1987/2/25,3.6,10.3,1.6
1987/2/26,2.9,5.5,1.5
1987/2/27,2.5,6.4,-0.1
1987/2/28,3.4,7.6,-1.9
1987/3/1,4.4,7.2,1.7
1987/3/2,2.9,6.9,-0.6
1987/3/3,5.2,11.7,-2.4
1987/3/4,8.1,13.0,2.4
1987/3/5,13.4,18.9,3.0
1987/3/6,14.2,19.7,7.8
1987/3/7,3.2,7.8,0.8
1987/3/8,5.7,9.4,2.4
1987/3/9,5.7,8.1,3.7
1987/3/10,5.1,7.8,0.5
1987/3/11,6.6,10.7,2.2
1987/3/12,7.6,11.6,2.7
1987/3/13,9.0,10.1,6.1
1987/3/14,10.1,12.1,7.9
1987/3/15,7.4,12.0,1.8
1987/3/16,8.9,14.2,3.7
1987/3/17,7.0,7.6,6.5
1987/3/18,11.7,16.5,6.6
1987/3/19,10.6,15.1,4.4
1987/3/20,12.1,15.8,7.7
1987/3/21,10.3,16.2,4.1
1987/3/22,13.5,18.9,7.4
1987/3/23,13.0,14.4,11.6
1987/3/24,14.6,19.0,11.5
1987/3/25,7.9,12.0,3.4
1987/3/26,5.7,9.9,0.7
1987/3/27,6.1,11.1,-0.9
1987/3/28,7.8,12.1,1.4
1987/3/29,7.7,9.5,5.7
1987/3/30,8.8,10.4,5.9
1987/3/31,8.3,12.2,2.2
