ダウンロードした時刻：2019/10/10 15:34:04

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,2.8,5.1,0.6
1999/12/2,3.6,8.9,-1.5
1999/12/3,-0.8,1.9,-3.7
1999/12/4,3.9,7.7,1.4
1999/12/5,2.1,5.2,-1.5
1999/12/6,1.1,4.4,-2.3
1999/12/7,1.0,4.0,-1.4
1999/12/8,2.5,4.1,0.2
1999/12/9,5.7,8.7,3.6
1999/12/10,7.6,10.3,4.6
1999/12/11,2.0,9.1,-2.7
1999/12/12,-2.9,-0.4,-4.9
1999/12/13,-1.3,0.5,-3.4
1999/12/14,-0.7,1.1,-2.6
1999/12/15,0.8,1.5,-0.2
1999/12/16,1.4,2.4,-0.1
1999/12/17,1.7,3.2,0.1
1999/12/18,0.4,2.0,-1.6
1999/12/19,1.8,3.6,-0.7
1999/12/20,2.2,4.9,-0.4
1999/12/21,0.4,3.3,-3.4
1999/12/22,0.6,2.9,-1.8
1999/12/23,1.7,4.0,-2.0
1999/12/24,4.2,5.9,2.7
1999/12/25,4.6,8.2,1.9
1999/12/26,2.1,5.3,-2.1
1999/12/27,2.4,5.8,-2.6
1999/12/28,7.7,9.1,4.2
1999/12/29,2.9,7.3,1.3
1999/12/30,2.1,4.1,-0.4
1999/12/31,2.0,4.5,-0.2
2000/1/1,0.8,2.7,-1.2
2000/1/2,-0.2,3.0,-3.2
2000/1/3,3.4,4.5,2.1
2000/1/4,3.0,5.3,1.4
2000/1/5,1.5,4.4,-0.6
2000/1/6,3.1,5.8,-0.8
2000/1/7,3.9,9.7,-1.2
2000/1/8,-0.6,1.0,-2.0
2000/1/9,1.6,3.0,-0.1
2000/1/10,2.1,4.1,0.5
2000/1/11,-2.0,0.9,-3.7
2000/1/12,-2.2,-0.5,-3.7
2000/1/13,2.5,4.5,-1.9
2000/1/14,4.2,5.5,2.5
2000/1/15,1.4,4.0,-1.6
2000/1/16,1.1,3.4,-2.7
2000/1/17,0.6,2.9,-1.8
2000/1/18,-0.5,3.6,-5.2
2000/1/19,1.3,4.1,-3.1
2000/1/20,2.2,4.4,-0.3
2000/1/21,-0.9,2.2,-3.6
2000/1/22,-0.5,2.0,-4.2
2000/1/23,1.7,4.2,-0.6
2000/1/24,-2.6,1.1,-7.4
2000/1/25,-6.8,-5.3,-8.4
2000/1/26,-6.5,-3.9,-9.8
2000/1/27,-4.6,-0.7,-10.5
2000/1/28,0.7,2.5,-2.1
2000/1/29,3.1,4.8,-1.9
2000/1/30,2.9,6.1,-0.5
2000/1/31,-1.8,-0.1,-4.5
2000/2/1,1.2,2.9,-0.9
2000/2/2,2.6,4.3,0.8
2000/2/3,2.1,4.0,-0.1
2000/2/4,1.0,4.6,-1.1
2000/2/5,1.6,3.3,-0.8
2000/2/6,0.3,3.9,-2.6
2000/2/7,1.3,4.9,-1.7
2000/2/8,1.0,3.4,-0.5
2000/2/9,-1.0,0.3,-2.8
2000/2/10,-0.6,1.4,-2.8
2000/2/11,0.3,1.9,-1.0
2000/2/12,-1.0,0.6,-4.4
2000/2/13,-1.9,-0.6,-4.4
2000/2/14,-1.9,0.0,-4.3
2000/2/15,-3.1,-1.3,-4.9
2000/2/16,-3.5,-2.0,-5.9
2000/2/17,-2.0,1.1,-5.3
2000/2/18,0.1,2.3,-2.6
2000/2/19,0.3,2.1,-1.6
2000/2/20,1.3,4.5,-0.8
2000/2/21,-1.6,0.2,-5.9
2000/2/22,-3.4,0.4,-7.4
2000/2/23,-2.6,-0.9,-5.0
2000/2/24,-3.5,-0.7,-6.6
2000/2/25,-3.3,-2.0,-4.9
2000/2/26,-3.7,-1.4,-7.9
2000/2/27,-1.5,2.2,-8.2
2000/2/28,-0.6,1.6,-2.2
2000/2/29,-2.1,2.1,-7.7
2000/3/1,0.7,4.4,-3.0
2000/3/2,4.3,5.8,3.0
2000/3/3,4.1,8.0,-2.8
2000/3/4,8.3,10.1,6.3
2000/3/5,2.8,6.4,0.3
2000/3/6,2.2,5.4,-1.7
2000/3/7,0.1,3.7,-3.5
2000/3/8,-1.8,-0.2,-3.5
2000/3/9,-3.5,-1.3,-6.5
2000/3/10,-2.6,1.1,-6.0
2000/3/11,2.2,4.4,-1.3
2000/3/12,0.9,2.4,-1.0
2000/3/13,-1.2,2.6,-4.0
2000/3/14,-0.1,0.7,-2.7
2000/3/15,2.7,5.2,0.4
2000/3/16,2.4,4.8,0.4
2000/3/17,2.0,6.6,-2.0
2000/3/18,2.7,7.3,-3.7
2000/3/19,2.6,4.6,0.7
2000/3/20,2.4,6.6,-1.7
2000/3/21,0.7,4.3,-3.6
2000/3/22,1.5,4.6,-0.8
2000/3/23,2.5,5.3,-1.8
2000/3/24,4.4,6.4,2.4
2000/3/25,1.6,3.0,-1.0
2000/3/26,-0.2,1.4,-2.1
2000/3/27,1.2,2.9,-1.6
2000/3/28,4.1,9.5,-1.7
2000/3/29,7.9,10.9,5.3
2000/3/30,4.7,6.2,2.6
2000/3/31,6.9,9.2,5.2
