É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:41

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2007/12/1,9.2,14.6,5.3
2007/12/2,7.3,14.7,1.6
2007/12/3,4.9,8.7,1.9
2007/12/4,6.3,13.3,0.9
2007/12/5,4.9,12.2,-0.9
2007/12/6,4.2,12.5,-2.4
2007/12/7,6.4,15.7,0.2
2007/12/8,6.9,14.6,0.2
2007/12/9,7.1,14.4,1.0
2007/12/10,4.7,11.7,-1.5
2007/12/11,5.1,8.5,0.9
2007/12/12,6.5,13.0,1.6
2007/12/13,8.9,11.5,6.1
2007/12/14,8.4,13.8,4.3
2007/12/15,4.9,10.8,0.7
2007/12/16,4.1,10.4,-0.5
2007/12/17,1.9,8.9,-3.3
2007/12/18,3.8,10.8,-2.7
2007/12/19,4.3,8.5,-0.9
2007/12/20,4.8,13.3,-1.0
2007/12/21,5.0,14.4,-1.9
2007/12/22,5.8,8.9,3.3
2007/12/23,6.6,11.0,3.5
2007/12/24,8.5,13.8,3.6
2007/12/25,3.2,7.1,-0.4
2007/12/26,3.1,9.9,-1.9
2007/12/27,3.2,10.1,-2.6
2007/12/28,4.5,7.9,0.8
2007/12/29,7.9,12.2,4.4
2007/12/30,5.1,10.9,0.8
2007/12/31,3.5,8.0,0.4
2008/1/1,2.2,7.8,-3.2
2008/1/2,1.9,9.9,-4.3
2008/1/3,2.2,9.9,-4.4
2008/1/4,3.1,11.5,-3.4
2008/1/5,3.4,9.8,-1.0
2008/1/6,4.8,12.9,-3.0
2008/1/7,4.7,9.2,0.1
2008/1/8,4.6,12.4,-1.4
2008/1/9,8.1,15.4,3.4
2008/1/10,5.6,12.3,-0.1
2008/1/11,4.9,11.0,-1.6
2008/1/12,5.5,7.5,4.1
2008/1/13,3.6,7.8,0.3
2008/1/14,1.8,4.1,-0.5
2008/1/15,2.2,7.1,-3.1
2008/1/16,5.1,12.4,0.7
2008/1/17,3.1,7.5,0.2
2008/1/18,1.5,6.5,-1.7
2008/1/19,1.3,8.5,-3.8
2008/1/20,1.3,6.5,-4.1
2008/1/21,2.5,5.9,0.4
2008/1/22,2.4,6.1,0.2
2008/1/23,1.0,2.0,0.4
2008/1/24,2.9,7.4,0.3
2008/1/25,1.6,6.6,-2.5
2008/1/26,-0.5,5.3,-5.9
2008/1/27,-0.2,6.7,-6.3
2008/1/28,0.1,4.9,-6.2
2008/1/29,3.2,5.4,1.3
2008/1/30,4.8,9.7,1.5
2008/1/31,5.6,10.4,1.3
2008/2/1,2.3,9.4,-3.1
2008/2/2,2.5,6.9,-2.1
2008/2/3,1.3,3.4,0.2
2008/2/4,1.3,5.8,-3.3
2008/2/5,2.2,9.8,-3.1
2008/2/6,1.5,4.8,-0.8
2008/2/7,3.4,9.3,-0.9
2008/2/8,1.5,9.1,-4.9
2008/2/9,-0.8,3.9,-4.2
2008/2/10,2.5,9.7,-2.0
2008/2/11,2.5,9.4,-3.6
2008/2/12,2.6,5.4,1.4
2008/2/13,1.1,4.9,-2.2
2008/2/14,1.6,8.7,-5.9
2008/2/15,2.6,10.4,-4.6
2008/2/16,3.1,8.8,-1.1
2008/2/17,1.1,7.2,-4.4
2008/2/18,2.0,9.2,-4.7
2008/2/19,1.9,8.9,-3.7
2008/2/20,4.5,12.6,-4.2
2008/2/21,7.8,14.4,1.9
2008/2/22,6.1,15.0,-1.7
2008/2/23,3.8,11.7,-1.1
2008/2/24,1.5,7.0,-2.4
2008/2/25,2.5,9.2,-4.3
2008/2/26,5.3,13.7,-1.3
2008/2/27,4.8,9.1,1.7
2008/2/28,4.6,11.6,-2.3
2008/2/29,4.8,13.2,-2.9
2008/3/1,5.5,12.9,-0.6
2008/3/2,4.7,12.1,-2.4
2008/3/3,5.4,14.6,-0.8
2008/3/4,4.9,11.1,-0.8
2008/3/5,4.5,10.2,0.2
2008/3/6,4.2,11.7,-3.7
2008/3/7,6.8,14.0,0.5
2008/3/8,5.7,13.7,-2.0
2008/3/9,7.1,16.3,-0.8
2008/3/10,7.6,13.8,3.3
2008/3/11,10.4,21.0,1.5
2008/3/12,9.6,17.4,3.1
2008/3/13,10.3,17.3,4.9
2008/3/14,11.0,15.9,8.1
2008/3/15,14.1,21.4,9.4
2008/3/16,13.7,20.7,8.9
2008/3/17,12.3,19.5,6.1
2008/3/18,12.8,19.5,7.9
2008/3/19,11.0,15.0,8.4
2008/3/20,8.3,9.6,7.4
2008/3/21,11.6,16.4,7.3
2008/3/22,11.6,22.9,2.4
2008/3/23,13.0,21.0,5.6
2008/3/24,13.2,18.8,8.7
2008/3/25,11.6,20.4,3.3
2008/3/26,13.0,19.9,7.0
2008/3/27,11.2,16.9,7.2
2008/3/28,11.4,19.1,6.4
2008/3/29,11.0,17.1,6.4
2008/3/30,7.4,11.0,5.1
2008/3/31,7.9,12.8,5.9
