ダウンロードした時刻：2019/10/10 16:26:44

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,17.5,20.6,13.9
2002/12/2,16.3,19.8,13.0
2002/12/3,18.7,22.2,16.9
2002/12/4,20.5,22.1,19.2
2002/12/5,19.5,21.6,17.6
2002/12/6,17.6,20.6,15.4
2002/12/7,17.6,18.6,16.4
2002/12/8,16.2,17.0,15.3
2002/12/9,12.0,15.8,9.0
2002/12/10,9.7,11.5,8.2
2002/12/11,10.7,12.7,9.0
2002/12/12,11.5,13.0,10.5
2002/12/13,10.4,12.2,8.0
2002/12/14,11.1,16.6,6.3
2002/12/15,14.9,20.4,9.7
2002/12/16,17.9,19.6,15.8
2002/12/17,14.4,17.8,11.5
2002/12/18,15.9,18.0,12.2
2002/12/19,15.9,18.3,14.3
2002/12/20,15.7,16.9,14.5
2002/12/21,16.0,16.9,14.9
2002/12/22,15.8,17.0,15.2
2002/12/23,15.7,17.4,14.8
2002/12/24,15.9,18.7,13.9
2002/12/25,13.5,17.2,8.5
2002/12/26,9.0,10.6,7.4
2002/12/27,8.4,10.1,5.3
2002/12/28,10.1,13.1,5.5
2002/12/29,12.3,14.2,11.2
2002/12/30,12.6,13.5,11.0
2002/12/31,12.5,13.4,10.5
2003/1/1,11.0,13.4,9.4
2003/1/2,10.1,13.2,6.6
2003/1/3,12.7,15.0,10.7
2003/1/4,9.8,12.7,5.4
2003/1/5,6.6,8.7,4.6
2003/1/6,7.1,9.1,5.7
2003/1/7,8.6,11.0,6.5
2003/1/8,9.9,10.6,8.0
2003/1/9,10.5,13.7,8.2
2003/1/10,11.7,13.3,9.7
2003/1/11,11.9,13.9,10.6
2003/1/12,12.0,14.7,10.4
2003/1/13,12.3,15.4,9.3
2003/1/14,13.8,16.5,10.4
2003/1/15,9.8,12.1,8.1
2003/1/16,10.6,14.1,8.5
2003/1/17,14.1,18.6,9.5
2003/1/18,15.0,17.3,12.6
2003/1/19,12.9,14.6,10.8
2003/1/20,11.3,13.8,9.4
2003/1/21,9.9,11.9,7.9
2003/1/22,12.5,16.1,7.2
2003/1/23,12.2,15.2,9.5
2003/1/24,9.7,11.8,5.5
2003/1/25,10.0,12.8,5.3
2003/1/26,15.6,18.6,11.1
2003/1/27,14.7,17.6,10.9
2003/1/28,8.9,11.2,7.0
2003/1/29,7.6,9.4,5.4
2003/1/30,7.4,10.2,5.9
2003/1/31,10.2,13.1,7.6
2003/2/1,9.6,10.6,8.9
2003/2/2,10.4,13.7,7.7
2003/2/3,10.4,13.7,6.8
2003/2/4,10.9,15.2,7.1
2003/2/5,9.3,11.7,7.8
2003/2/6,8.7,13.1,6.2
2003/2/7,11.5,16.3,6.3
2003/2/8,15.6,18.0,13.1
2003/2/9,14.8,18.1,11.7
2003/2/10,14.8,18.5,10.5
2003/2/11,14.7,19.0,13.1
2003/2/12,11.8,14.0,9.6
2003/2/13,9.4,11.9,8.1
2003/2/14,10.7,15.0,8.2
2003/2/15,12.3,16.8,9.2
2003/2/16,15.7,18.2,13.1
2003/2/17,12.9,15.8,10.7
2003/2/18,13.5,14.6,12.2
2003/2/19,13.2,17.3,9.6
2003/2/20,10.2,13.1,6.1
2003/2/21,11.5,17.0,5.0
2003/2/22,17.5,20.2,12.8
2003/2/23,17.2,19.5,14.4
2003/2/24,15.1,18.7,13.3
2003/2/25,13.6,16.1,11.0
2003/2/26,16.6,20.3,13.2
2003/2/27,13.2,16.1,11.4
2003/2/28,13.9,16.0,11.9
2003/3/1,16.6,19.2,14.3
2003/3/2,14.8,18.9,12.5
2003/3/3,15.6,18.6,11.3
2003/3/4,10.6,13.0,9.1
2003/3/5,10.9,13.0,9.2
2003/3/6,14.5,17.2,12.2
2003/3/7,14.1,17.3,11.6
2003/3/8,11.5,14.2,9.5
2003/3/9,10.1,14.0,7.1
2003/3/10,9.5,11.8,8.1
2003/3/11,9.7,12.1,7.7
2003/3/12,11.4,14.2,8.4
2003/3/13,10.9,12.1,10.0
2003/3/14,13.1,15.0,10.7
2003/3/15,14.8,17.1,13.3
2003/3/16,17.3,21.7,13.4
2003/3/17,16.6,18.4,12.8
2003/3/18,13.2,17.4,10.8
2003/3/19,12.5,16.4,9.5
2003/3/20,12.5,15.3,9.2
2003/3/21,14.5,17.9,11.9
2003/3/22,13.6,15.8,12.5
2003/3/23,14.2,17.3,12.4
2003/3/24,16.2,18.5,13.9
2003/3/25,16.3,19.1,13.6
2003/3/26,16.0,20.2,12.7
2003/3/27,17.0,22.5,13.0
2003/3/28,14.5,18.0,11.4
2003/3/29,14.3,17.5,12.1
2003/3/30,15.5,20.5,10.1
2003/3/31,18.6,22.3,14.1
