ダウンロードした時刻：2019/10/10 15:59:49

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,8.5,15.4,3.0
1986/12/2,9.3,15.4,3.8
1986/12/3,11.3,17.9,5.3
1986/12/4,11.8,16.6,7.8
1986/12/5,10.1,15.0,5.2
1986/12/6,10.3,16.3,4.0
1986/12/7,11.3,17.9,6.7
1986/12/8,7.9,14.9,2.7
1986/12/9,9.7,16.3,3.2
1986/12/10,9.7,13.1,6.3
1986/12/11,8.6,16.6,3.2
1986/12/12,9.8,18.7,3.1
1986/12/13,11.3,17.8,4.7
1986/12/14,13.1,14.0,11.8
1986/12/15,13.5,17.4,8.7
1986/12/16,8.1,13.9,3.3
1986/12/17,7.1,14.0,1.0
1986/12/18,11.2,15.5,3.9
1986/12/19,13.1,16.6,9.6
1986/12/20,7.0,10.8,1.6
1986/12/21,7.6,13.4,0.7
1986/12/22,7.4,11.4,1.0
1986/12/23,6.4,12.7,0.2
1986/12/24,9.1,16.2,3.6
1986/12/25,10.7,15.3,5.2
1986/12/26,8.3,13.8,3.5
1986/12/27,7.0,12.2,2.2
1986/12/28,6.6,11.6,3.5
1986/12/29,5.2,9.8,1.7
1986/12/30,7.1,13.5,1.1
1986/12/31,11.1,17.2,6.2
1987/1/1,9.3,16.1,3.5
1987/1/2,7.6,9.8,3.6
1987/1/3,13.5,19.8,7.4
1987/1/4,7.3,13.4,2.6
1987/1/5,5.5,8.7,2.8
1987/1/6,8.5,14.5,2.8
1987/1/7,7.8,14.2,1.8
1987/1/8,9.7,15.2,4.8
1987/1/9,9.4,14.7,2.0
1987/1/10,8.7,11.9,3.0
1987/1/11,3.7,8.4,-0.7
1987/1/12,5.3,8.1,2.0
1987/1/13,3.9,7.8,0.6
1987/1/14,2.4,8.2,-2.1
1987/1/15,5.3,12.0,-0.7
1987/1/16,7.9,14.3,1.6
1987/1/17,11.7,17.7,6.6
1987/1/18,6.5,10.8,2.4
1987/1/19,5.5,10.4,0.8
1987/1/20,4.0,7.9,-0.8
1987/1/21,2.8,9.7,-2.3
1987/1/22,6.1,12.7,-1.0
1987/1/23,10.9,16.0,6.5
1987/1/24,10.0,13.6,3.8
1987/1/25,3.6,8.2,-0.6
1987/1/26,2.6,7.8,-2.0
1987/1/27,5.6,11.5,-0.4
1987/1/28,6.1,12.7,1.0
1987/1/29,7.6,13.9,1.1
1987/1/30,9.2,16.7,4.0
1987/1/31,7.3,12.5,2.3
1987/2/1,4.5,9.4,1.3
1987/2/2,3.5,6.6,-0.1
1987/2/3,4.2,7.0,2.4
1987/2/4,4.6,6.7,0.4
1987/2/5,5.3,12.3,-0.7
1987/2/6,7.6,13.9,1.4
1987/2/7,8.7,15.5,2.6
1987/2/8,8.3,15.4,2.8
1987/2/9,8.9,15.6,2.2
1987/2/10,10.3,17.0,4.1
1987/2/11,17.8,23.5,7.0
1987/2/12,16.7,24.1,10.8
1987/2/13,9.9,14.0,6.1
1987/2/14,10.6,17.6,4.5
1987/2/15,8.1,11.9,2.9
1987/2/16,6.9,12.8,0.7
1987/2/17,7.1,12.3,3.0
1987/2/18,8.1,11.8,4.1
1987/2/19,6.5,10.8,3.4
1987/2/20,5.8,11.6,0.9
1987/2/21,6.0,9.7,0.0
1987/2/22,6.1,9.8,2.7
1987/2/23,7.4,14.0,1.5
1987/2/24,9.5,15.4,3.4
1987/2/25,5.5,11.9,2.5
1987/2/26,3.9,8.1,1.5
1987/2/27,4.7,7.7,2.4
1987/2/28,4.3,8.7,-1.7
1987/3/1,4.5,8.7,0.6
1987/3/2,3.2,8.5,-0.5
1987/3/3,4.3,11.1,-2.1
1987/3/4,9.5,14.6,1.5
1987/3/5,12.9,19.8,4.6
1987/3/6,16.1,22.1,9.5
1987/3/7,6.2,9.9,4.6
1987/3/8,7.6,11.8,3.2
1987/3/9,7.1,10.2,3.0
1987/3/10,6.8,12.5,-0.7
1987/3/11,8.2,15.6,4.2
1987/3/12,8.9,14.1,2.8
1987/3/13,9.6,11.3,6.9
1987/3/14,13.5,16.5,10.2
1987/3/15,9.0,14.4,2.7
1987/3/16,9.9,15.2,4.0
1987/3/17,7.9,10.2,6.5
1987/3/18,11.5,18.1,6.8
1987/3/19,10.5,14.6,4.6
1987/3/20,14.6,19.7,8.4
1987/3/21,11.9,13.8,7.5
1987/3/22,13.5,15.8,12.9
1987/3/23,14.3,15.8,12.9
1987/3/24,16.5,20.7,12.4
1987/3/25,10.7,17.8,5.4
1987/3/26,6.0,11.4,2.2
1987/3/27,7.8,13.9,0.8
1987/3/28,9.6,14.8,5.1
1987/3/29,9.0,10.9,7.0
1987/3/30,11.5,14.7,5.6
1987/3/31,10.6,17.4,3.9
