ダウンロードした時刻：2019/10/10 16:26:41

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1999/12/1,15.7,17.0,13.1
1999/12/2,16.3,19.0,13.6
1999/12/3,15.3,17.9,12.4
1999/12/4,16.6,19.7,12.3
1999/12/5,18.2,19.8,16.2
1999/12/6,15.2,17.0,12.2
1999/12/7,11.2,14.3,8.2
1999/12/8,13.0,18.1,7.5
1999/12/9,16.6,19.7,12.9
1999/12/10,15.9,18.6,11.6
1999/12/11,16.3,18.5,13.3
1999/12/12,14.2,17.5,10.7
1999/12/13,14.0,17.0,11.3
1999/12/14,14.8,16.5,13.7
1999/12/15,14.0,16.7,12.5
1999/12/16,12.9,16.8,8.0
1999/12/17,14.2,16.1,12.0
1999/12/18,11.1,14.7,8.3
1999/12/19,10.3,12.4,8.5
1999/12/20,8.5,12.6,6.2
1999/12/21,7.8,10.9,5.9
1999/12/22,8.1,10.4,6.7
1999/12/23,9.5,12.0,7.1
1999/12/24,10.6,14.4,6.1
1999/12/25,12.7,14.3,10.4
1999/12/26,10.4,12.4,6.0
1999/12/27,12.1,15.2,6.2
1999/12/28,14.4,16.7,11.2
1999/12/29,15.2,17.1,13.6
1999/12/30,14.8,16.2,13.2
1999/12/31,15.7,18.8,13.9
2000/1/1,15.4,17.7,12.7
2000/1/2,15.5,17.3,13.6
2000/1/3,15.7,17.1,13.5
2000/1/4,14.7,19.4,9.9
2000/1/5,16.8,21.3,12.6
2000/1/6,18.2,21.1,15.3
2000/1/7,13.0,17.9,10.1
2000/1/8,12.2,14.2,10.3
2000/1/9,14.6,16.7,11.4
2000/1/10,15.3,17.7,11.9
2000/1/11,14.3,15.6,12.1
2000/1/12,16.5,19.6,14.6
2000/1/13,16.4,18.6,13.9
2000/1/14,12.5,14.3,11.4
2000/1/15,12.8,16.0,7.6
2000/1/16,14.8,16.5,13.1
2000/1/17,14.8,17.7,13.1
2000/1/18,13.5,17.2,11.9
2000/1/19,11.8,13.9,8.9
2000/1/20,7.9,10.0,6.2
2000/1/21,6.6,9.2,3.3
2000/1/22,10.8,14.1,4.0
2000/1/23,18.0,21.9,13.3
2000/1/24,15.9,17.3,13.3
2000/1/25,11.3,14.0,8.7
2000/1/26,7.6,9.7,5.9
2000/1/27,7.0,9.5,5.1
2000/1/28,7.4,10.6,4.9
2000/1/29,11.0,15.5,6.5
2000/1/30,11.6,13.4,9.0
2000/1/31,8.1,10.2,6.6
2000/2/1,8.8,10.1,5.4
2000/2/2,10.4,12.5,9.2
2000/2/3,11.5,15.0,9.6
2000/2/4,10.5,13.1,8.9
2000/2/5,14.1,18.1,9.2
2000/2/6,15.1,17.7,10.3
2000/2/7,12.2,15.9,9.9
2000/2/8,9.3,13.5,4.1
2000/2/9,7.2,9.9,3.9
2000/2/10,10.7,13.8,7.7
2000/2/11,13.1,16.1,11.2
2000/2/12,12.9,16.0,10.7
2000/2/13,13.1,17.3,10.1
2000/2/14,12.8,14.5,10.2
2000/2/15,8.5,12.6,6.2
2000/2/16,7.8,9.6,6.3
2000/2/17,9.2,11.0,7.7
2000/2/18,10.5,13.5,8.1
2000/2/19,12.5,16.3,8.8
2000/2/20,13.1,14.8,11.2
2000/2/21,10.8,12.5,9.3
2000/2/22,10.2,12.7,7.4
2000/2/23,10.0,13.6,6.5
2000/2/24,11.2,14.5,8.5
2000/2/25,9.9,12.6,7.4
2000/2/26,10.1,12.0,8.6
2000/2/27,10.8,12.9,9.6
2000/2/28,11.4,14.8,9.0
2000/2/29,9.3,12.1,6.9
2000/3/1,11.7,16.4,6.9
2000/3/2,12.9,15.1,11.2
2000/3/3,15.6,16.7,14.7
2000/3/4,18.3,23.0,15.5
2000/3/5,16.3,17.7,15.6
2000/3/6,16.2,19.6,14.5
2000/3/7,14.3,16.9,11.8
2000/3/8,11.1,13.1,9.2
2000/3/9,11.3,14.5,9.9
2000/3/10,13.2,16.3,10.0
2000/3/11,13.6,15.1,11.4
2000/3/12,14.0,16.8,12.0
2000/3/13,14.5,18.4,11.4
2000/3/14,15.0,19.3,9.7
2000/3/15,16.0,19.2,11.6
2000/3/16,15.6,19.4,12.4
2000/3/17,13.4,17.1,10.6
2000/3/18,14.6,18.4,9.2
2000/3/19,14.9,17.9,12.8
2000/3/20,13.5,16.8,9.7
2000/3/21,15.9,21.6,9.9
2000/3/22,15.7,17.2,14.0
2000/3/23,16.6,18.3,15.4
2000/3/24,13.5,15.9,11.9
2000/3/25,12.4,15.7,10.1
2000/3/26,15.2,17.9,11.8
2000/3/27,17.2,21.5,14.2
2000/3/28,16.9,20.6,14.3
2000/3/29,13.8,15.8,10.5
2000/3/30,14.8,17.7,12.9
2000/3/31,17.3,21.2,14.1
