ダウンロードした時刻：2019/10/10 16:04:33

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,13.5,14.7,12.7
2003/12/2,13.3,15.8,10.6
2003/12/3,9.6,16.1,5.5
2003/12/4,8.9,14.8,5.3
2003/12/5,10.8,15.3,5.2
2003/12/6,13.3,20.2,10.6
2003/12/7,7.7,12.4,5.2
2003/12/8,6.7,8.4,4.7
2003/12/9,7.9,12.3,5.6
2003/12/10,6.9,12.1,2.3
2003/12/11,7.9,9.0,5.0
2003/12/12,6.8,8.9,4.0
2003/12/13,4.9,6.7,3.2
2003/12/14,6.4,11.1,2.6
2003/12/15,6.2,10.3,3.2
2003/12/16,6.0,8.8,3.8
2003/12/17,8.2,12.5,4.8
2003/12/18,6.4,8.2,4.9
2003/12/19,2.8,7.5,0.0
2003/12/20,2.4,5.0,-0.2
2003/12/21,4.0,7.7,1.3
2003/12/22,7.5,11.9,3.6
2003/12/23,8.9,14.6,5.1
2003/12/24,9.6,13.4,5.6
2003/12/25,11.1,18.0,4.7
2003/12/26,6.6,10.5,1.3
2003/12/27,2.4,5.6,0.8
2003/12/28,5.2,11.2,0.2
2003/12/29,8.2,12.1,3.8
2003/12/30,8.2,12.4,4.4
2003/12/31,8.6,10.6,7.0
2004/1/1,8.1,11.4,5.3
2004/1/2,7.0,10.5,4.4
2004/1/3,7.7,11.1,3.5
2004/1/4,7.1,11.0,4.4
2004/1/5,5.8,11.1,1.5
2004/1/6,5.5,10.2,2.0
2004/1/7,7.4,12.4,2.6
2004/1/8,5.1,6.9,2.6
2004/1/9,4.4,9.2,-0.1
2004/1/10,7.1,10.7,1.2
2004/1/11,4.9,6.2,3.5
2004/1/12,6.4,9.9,1.9
2004/1/13,3.3,8.4,0.5
2004/1/14,1.9,3.4,0.8
2004/1/15,2.6,7.1,0.8
2004/1/16,3.5,4.8,1.2
2004/1/17,4.1,8.3,1.2
2004/1/18,6.1,11.4,0.2
2004/1/19,5.1,7.7,2.9
2004/1/20,4.4,8.0,0.5
2004/1/21,0.5,4.3,-3.1
2004/1/22,-3.6,-1.4,-5.5
2004/1/23,0.7,2.9,-2.0
2004/1/24,0.5,5.3,-4.6
2004/1/25,0.9,3.6,-1.6
2004/1/26,1.6,5.4,-1.8
2004/1/27,2.2,5.6,0.7
2004/1/28,4.1,9.0,-1.0
2004/1/29,4.8,10.1,0.2
2004/1/30,5.5,10.8,1.6
2004/1/31,4.7,9.3,0.5
2004/2/1,5.5,12.3,-2.1
2004/2/2,7.6,9.1,5.5
2004/2/3,4.2,6.6,2.0
2004/2/4,2.3,6.0,0.1
2004/2/5,0.9,3.3,-0.9
2004/2/6,0.5,3.7,-2.2
2004/2/7,0.7,3.2,-1.5
2004/2/8,3.7,8.0,-0.3
2004/2/9,3.8,7.0,1.2
2004/2/10,3.3,8.5,-1.3
2004/2/11,6.5,13.5,0.2
2004/2/12,6.2,12.1,1.9
2004/2/13,4.9,9.9,-0.6
2004/2/14,8.2,14.5,1.8
2004/2/15,7.3,10.5,4.7
2004/2/16,5.5,9.1,0.1
2004/2/17,6.2,12.9,0.2
2004/2/18,6.3,14.1,-0.4
2004/2/19,8.5,19.0,-0.4
2004/2/20,7.6,13.8,1.7
2004/2/21,13.8,23.3,4.5
2004/2/22,16.4,24.4,9.2
2004/2/23,6.4,9.4,3.5
2004/2/24,7.5,14.8,0.4
2004/2/25,11.6,16.3,7.3
2004/2/26,8.2,12.2,4.0
2004/2/27,5.8,9.0,2.9
2004/2/28,8.7,16.3,0.5
2004/2/29,10.3,13.7,7.5
2004/3/1,6.8,9.4,3.8
2004/3/2,4.7,9.6,0.6
2004/3/3,3.4,8.1,-1.4
2004/3/4,1.1,3.3,-1.7
2004/3/5,4.7,12.6,-2.4
2004/3/6,2.3,7.1,-0.3
2004/3/7,1.0,4.3,-0.4
2004/3/8,3.3,8.5,-2.2
2004/3/9,9.0,14.7,4.1
2004/3/10,15.1,21.8,4.9
2004/3/11,12.3,18.0,5.7
2004/3/12,7.7,13.0,3.1
2004/3/13,7.4,14.9,0.3
2004/3/14,9.1,18.1,0.6
2004/3/15,8.4,13.4,3.2
2004/3/16,13.9,24.0,4.1
2004/3/17,17.6,23.8,10.3
2004/3/18,7.5,10.4,5.2
2004/3/19,6.5,11.6,0.9
2004/3/20,7.5,13.9,3.0
2004/3/21,7.8,12.4,1.5
2004/3/22,7.0,9.1,5.1
2004/3/23,8.7,12.1,4.6
2004/3/24,10.7,18.5,3.2
2004/3/25,9.3,12.0,6.1
2004/3/26,9.3,12.6,3.1
2004/3/27,7.5,13.7,1.1
2004/3/28,10.4,18.1,2.6
2004/3/29,15.7,23.6,7.4
2004/3/30,14.3,17.6,10.0
2004/3/31,11.2,15.2,5.2
