ダウンロードした時刻：2019/10/10 16:05:27

,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,10.4,14.3,6.9
2018/12/2,11.6,17.6,4.2
2018/12/3,16.4,19.5,13.0
2018/12/4,18.2,22.9,13.0
2018/12/5,11.5,13.2,7.2
2018/12/6,10.1,12.8,6.6
2018/12/7,8.8,12.6,4.7
2018/12/8,4.3,7.7,0.4
2018/12/9,1.7,2.7,0.5
2018/12/10,3.6,9.4,1.0
2018/12/11,4.8,9.2,0.4
2018/12/12,7.3,9.7,4.5
2018/12/13,6.2,9.8,3.8
2018/12/14,3.6,6.3,2.1
2018/12/15,3.4,7.2,1.2
2018/12/16,6.5,10.0,0.3
2018/12/17,7.9,11.7,5.7
2018/12/18,6.2,11.4,3.0
2018/12/19,8.7,14.9,3.5
2018/12/20,8.8,13.1,5.6
2018/12/21,9.8,17.5,3.0
2018/12/22,11.5,15.2,8.4
2018/12/23,10.8,14.7,8.4
2018/12/24,6.5,10.3,2.4
2018/12/25,6.1,12.5,0.9
2018/12/26,7.7,10.1,5.6
2018/12/27,6.5,9.3,2.0
2018/12/28,2.3,4.1,0.6
2018/12/29,2.4,5.9,0.4
2018/12/30,2.6,4.9,0.3
2018/12/31,2.6,5.0,-0.6
2019/1/1,4.1,10.3,-1.0
2019/1/2,2.7,5.3,0.8
2019/1/3,4.2,8.8,1.7
2019/1/4,6.0,11.2,1.9
2019/1/5,7.3,9.8,5.2
2019/1/6,5.2,7.4,2.5
2019/1/7,5.5,10.3,2.5
2019/1/8,6.7,12.1,2.7
2019/1/9,3.7,5.5,-0.7
2019/1/10,3.3,6.5,-1.8
2019/1/11,5.6,10.9,3.0
2019/1/12,4.2,8.3,1.4
2019/1/13,4.6,11.1,0.1
2019/1/14,4.9,11.7,0.4
2019/1/15,6.5,11.4,1.0
2019/1/16,2.5,5.8,0.9
2019/1/17,4.9,9.8,1.2
2019/1/18,4.2,6.6,2.1
2019/1/19,6.7,13.3,1.2
2019/1/20,8.0,11.0,4.8
2019/1/21,5.3,9.8,2.9
2019/1/22,5.4,9.3,1.6
2019/1/23,7.8,13.2,1.1
2019/1/24,5.6,9.0,2.5
2019/1/25,5.2,9.2,1.4
2019/1/26,3.0,5.5,1.0
2019/1/27,5.3,9.9,1.9
2019/1/28,6.1,8.7,3.1
2019/1/29,5.0,8.6,-0.3
2019/1/30,4.2,12.2,-1.8
2019/1/31,4.8,7.3,2.4
2019/2/1,3.9,7.2,1.4
2019/2/2,4.6,10.9,0.3
2019/2/3,8.7,14.5,1.2
2019/2/4,9.4,14.5,5.1
2019/2/5,7.4,14.7,1.1
2019/2/6,10.1,15.0,5.8
2019/2/7,8.2,14.3,3.4
2019/2/8,3.9,6.9,1.5
2019/2/9,3.7,7.5,1.2
2019/2/10,3.1,6.4,0.5
2019/2/11,4.5,8.5,1.0
2019/2/12,4.6,8.4,1.7
2019/2/13,4.8,8.6,3.1
2019/2/14,3.0,5.6,1.9
2019/2/15,5.5,10.1,-0.1
2019/2/16,4.7,7.8,1.6
2019/2/17,3.4,6.5,1.1
2019/2/18,5.9,13.3,-0.1
2019/2/19,10.9,16.1,5.6
2019/2/20,10.1,12.8,7.3
2019/2/21,7.9,11.3,6.0
2019/2/22,7.1,12.7,2.4
2019/2/23,8.3,12.4,4.0
2019/2/24,6.3,13.3,0.6
2019/2/25,8.9,16.0,1.9
2019/2/26,7.7,12.1,1.8
2019/2/27,7.0,13.0,0.5
2019/2/28,8.3,9.9,7.0
2019/3/1,8.1,13.2,3.3
2019/3/2,6.9,13.6,0.6
2019/3/3,8.8,13.5,5.6
2019/3/4,7.4,8.9,4.8
2019/3/5,8.1,15.3,1.3
2019/3/6,9.8,13.7,6.9
2019/3/7,8.4,11.7,4.6
2019/3/8,7.1,11.6,1.2
2019/3/9,9.3,17.2,0.1
2019/3/10,11.1,13.5,9.5
2019/3/11,10.3,12.6,6.6
2019/3/12,8.7,14.9,4.5
2019/3/13,5.8,10.0,3.1
2019/3/14,5.4,10.4,2.3
2019/3/15,5.5,11.4,0.1
2019/3/16,5.5,11.2,1.9
2019/3/17,5.2,9.9,1.7
2019/3/18,8.4,15.9,0.1
2019/3/19,10.8,17.1,6.0
2019/3/20,13.6,21.5,3.6
2019/3/21,17.4,23.0,14.3
2019/3/22,9.5,15.6,6.7
2019/3/23,5.3,8.0,1.4
2019/3/24,5.5,11.4,1.8
2019/3/25,9.0,14.4,2.1
2019/3/26,11.2,17.0,5.2
2019/3/27,14.9,22.7,4.7
2019/3/28,9.4,16.7,5.1
2019/3/29,10.6,19.2,3.5
2019/3/30,11.1,16.9,7.2
2019/3/31,6.6,10.5,3.6
