ダウンロードした時刻：2019/10/10 16:21:02

,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/12/1,12.5,19.2,6.7
2014/12/2,6.9,8.0,5.7
2014/12/3,9.6,13.8,5.4
2014/12/4,8.3,11.4,6.4
2014/12/5,5.4,7.5,3.6
2014/12/6,6.0,8.5,3.2
2014/12/7,6.0,9.7,2.0
2014/12/8,8.5,12.6,5.0
2014/12/9,8.1,12.4,3.9
2014/12/10,10.4,14.8,5.4
2014/12/11,10.6,14.4,8.7
2014/12/12,7.9,9.4,6.5
2014/12/13,6.7,8.6,5.2
2014/12/14,5.7,9.0,2.2
2014/12/15,6.2,10.6,1.9
2014/12/16,7.2,10.9,2.6
2014/12/17,3.4,4.9,1.2
2014/12/18,3.9,7.0,0.4
2014/12/19,5.0,8.8,-0.7
2014/12/20,8.4,12.6,6.1
2014/12/21,5.5,8.3,3.4
2014/12/22,5.2,8.1,2.4
2014/12/23,7.2,10.7,3.9
2014/12/24,8.9,12.1,4.2
2014/12/25,7.6,10.7,3.1
2014/12/26,5.3,10.1,1.6
2014/12/27,6.7,11.8,2.6
2014/12/28,8.6,13.2,4.4
2014/12/29,8.9,11.4,6.7
2014/12/30,9.6,13.4,5.2
2014/12/31,8.8,15.6,3.9
2015/1/1,3.4,6.4,1.3
2015/1/2,5.5,7.6,3.3
2015/1/3,4.7,9.2,0.0
2015/1/4,10.6,15.2,4.7
2015/1/5,10.6,15.1,5.9
2015/1/6,12.6,16.3,7.4
2015/1/7,6.7,10.1,4.2
2015/1/8,4.4,8.9,1.3
2015/1/9,6.4,10.8,1.9
2015/1/10,8.8,11.1,7.5
2015/1/11,9.9,13.4,6.5
2015/1/12,6.6,9.9,4.1
2015/1/13,7.6,11.1,5.0
2015/1/14,8.8,11.8,6.1
2015/1/15,9.8,11.6,6.8
2015/1/16,8.6,12.2,4.5
2015/1/17,6.8,9.2,2.1
2015/1/18,6.8,11.8,0.4
2015/1/19,9.5,11.3,7.9
2015/1/20,7.9,12.7,3.6
2015/1/21,9.0,11.8,7.0
2015/1/22,8.1,10.8,6.2
2015/1/23,7.2,10.8,3.7
2015/1/24,7.6,13.7,2.7
2015/1/25,9.7,15.1,4.7
2015/1/26,12.2,14.7,10.0
2015/1/27,10.6,14.0,6.7
2015/1/28,7.2,10.5,4.6
2015/1/29,6.2,9.0,4.2
2015/1/30,7.5,9.8,6.0
2015/1/31,4.9,7.7,1.8
2015/2/1,5.0,10.1,0.5
2015/2/2,5.9,9.9,3.3
2015/2/3,7.0,12.3,1.6
2015/2/4,7.9,11.0,6.1
2015/2/5,5.8,8.1,1.9
2015/2/6,5.4,11.0,1.7
2015/2/7,7.4,11.2,4.2
2015/2/8,4.8,8.9,1.2
2015/2/9,1.9,4.2,0.2
2015/2/10,6.6,9.2,3.4
2015/2/11,10.1,12.2,7.1
2015/2/12,8.9,12.7,5.7
2015/2/13,5.5,8.3,3.3
2015/2/14,6.6,11.7,2.3
2015/2/15,8.7,12.4,3.3
2015/2/16,11.9,15.0,8.6
2015/2/17,10.2,13.0,8.4
2015/2/18,7.5,8.5,6.6
2015/2/19,6.8,10.3,4.2
2015/2/20,7.8,12.5,4.2
2015/2/21,10.5,13.7,6.7
2015/2/22,12.6,15.0,9.9
2015/2/23,8.7,12.9,6.1
2015/2/24,8.2,13.7,4.7
2015/2/25,8.2,11.7,5.0
2015/2/26,9.5,13.2,7.7
2015/2/27,6.5,10.2,4.4
2015/2/28,7.2,10.9,4.4
2015/3/1,8.3,11.1,6.4
2015/3/2,7.4,12.7,3.2
2015/3/3,7.9,10.2,4.6
2015/3/4,7.1,9.8,4.8
2015/3/5,7.0,11.7,2.1
2015/3/6,8.3,12.7,5.9
2015/3/7,8.8,13.4,4.3
2015/3/8,10.3,15.9,4.0
2015/3/9,10.1,12.6,6.9
2015/3/10,3.7,7.0,1.7
2015/3/11,6.5,9.3,3.6
2015/3/12,8.5,11.6,3.9
2015/3/13,9.2,15.5,2.7
2015/3/14,12.7,17.0,8.4
2015/3/15,10.8,14.2,7.4
2015/3/16,13.1,18.2,10.4
2015/3/17,16.4,24.0,9.1
2015/3/18,18.1,20.0,16.2
2015/3/19,14.8,19.0,12.3
2015/3/20,14.3,19.2,11.8
2015/3/21,14.2,19.6,11.0
2015/3/22,13.4,17.5,9.0
2015/3/23,11.8,15.5,9.3
2015/3/24,9.2,12.7,5.9
2015/3/25,9.4,15.4,3.4
2015/3/26,10.0,16.8,4.0
2015/3/27,11.5,16.2,5.2
2015/3/28,15.5,21.4,9.9
2015/3/29,15.9,20.6,12.9
2015/3/30,15.0,20.7,10.4
2015/3/31,15.7,19.7,12.6
