ダウンロードした時刻：2019/10/10 15:56:51

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,5.9,11.1,-0.8
1985/12/2,7.4,14.5,2.6
1985/12/3,7.9,13.6,4.2
1985/12/4,7.2,10.5,2.2
1985/12/5,10.8,16.4,5.3
1985/12/6,8.1,12.5,3.3
1985/12/7,8.9,11.9,5.7
1985/12/8,7.7,9.8,4.2
1985/12/9,5.9,9.1,3.1
1985/12/10,3.3,7.7,0.6
1985/12/11,5.2,8.1,1.7
1985/12/12,4.7,9.0,1.8
1985/12/13,5.0,9.2,-0.1
1985/12/14,6.5,10.5,3.3
1985/12/15,3.4,6.0,1.8
1985/12/16,2.5,6.8,-0.4
1985/12/17,2.4,6.0,0.2
1985/12/18,1.9,6.2,-0.3
1985/12/19,4.5,9.6,-0.9
1985/12/20,4.5,7.7,2.8
1985/12/21,4.5,8.6,0.7
1985/12/22,5.2,8.0,-0.1
1985/12/23,8.1,11.7,4.9
1985/12/24,3.8,6.3,1.3
1985/12/25,5.7,10.9,-1.1
1985/12/26,6.8,10.2,2.5
1985/12/27,5.7,11.0,0.6
1985/12/28,5.6,12.0,0.0
1985/12/29,4.6,8.8,-2.9
1985/12/30,8.7,11.0,6.9
1985/12/31,9.6,12.6,6.0
1986/1/1,5.1,8.8,2.4
1986/1/2,2.7,6.4,-0.1
1986/1/3,2.3,6.2,-2.0
1986/1/4,3.7,7.3,1.6
1986/1/5,0.8,3.6,-0.7
1986/1/6,1.1,3.9,-2.1
1986/1/7,2.4,6.6,-1.7
1986/1/8,2.4,9.1,-3.2
1986/1/9,2.2,5.4,0.0
1986/1/10,2.1,6.2,-0.1
1986/1/11,2.0,6.2,-1.9
1986/1/12,1.3,5.2,-1.7
1986/1/13,1.4,7.3,-3.9
1986/1/14,4.0,7.0,1.3
1986/1/15,5.8,10.4,2.7
1986/1/16,5.8,8.5,2.5
1986/1/17,7.0,9.8,4.5
1986/1/18,6.3,9.9,3.9
1986/1/19,4.5,8.8,-1.7
1986/1/20,7.4,12.0,4.0
1986/1/21,5.9,10.2,3.2
1986/1/22,3.1,6.6,1.2
1986/1/23,4.2,7.6,0.4
1986/1/24,3.4,8.9,-0.3
1986/1/25,3.2,7.2,0.2
1986/1/26,2.6,6.5,-0.2
1986/1/27,2.2,5.4,-0.3
1986/1/28,3.2,7.9,-2.7
1986/1/29,4.4,10.4,0.5
1986/1/30,2.8,6.6,-3.0
1986/1/31,5.4,10.4,1.2
1986/2/1,4.8,9.8,1.1
1986/2/2,3.3,9.0,-1.6
1986/2/3,3.2,10.3,-3.8
1986/2/4,2.3,7.6,-1.2
1986/2/5,2.6,7.6,-1.5
1986/2/6,2.3,7.5,-1.1
1986/2/7,2.0,6.1,-1.3
1986/2/8,2.0,7.0,-2.2
1986/2/9,2.8,7.1,-1.1
1986/2/10,1.2,5.6,-0.6
1986/2/11,1.9,4.6,-1.8
1986/2/12,4.0,9.6,0.0
1986/2/13,3.5,8.2,-2.9
1986/2/14,6.2,7.9,4.1
1986/2/15,5.4,10.4,1.1
1986/2/16,-0.2,2.8,-2.9
1986/2/17,2.3,6.7,-0.9
1986/2/18,1.2,5.2,-1.8
1986/2/19,6.4,10.3,3.0
1986/2/20,4.5,9.5,0.9
1986/2/21,3.5,7.3,0.1
1986/2/22,3.9,9.6,-0.9
1986/2/23,5.0,10.9,-0.9
1986/2/24,2.1,7.2,-0.1
1986/2/25,1.7,5.2,-0.6
1986/2/26,3.9,9.7,-1.0
1986/2/27,4.4,10.4,0.7
1986/2/28,2.2,6.5,-1.2
1986/3/1,4.1,8.9,-0.3
1986/3/2,3.9,8.5,0.8
1986/3/3,4.1,9.7,-0.5
1986/3/4,3.8,8.6,-0.2
1986/3/5,4.5,13.8,-2.7
1986/3/6,7.5,13.7,3.2
1986/3/7,7.3,13.0,-0.4
1986/3/8,8.1,14.0,4.0
1986/3/9,8.8,13.5,2.4
1986/3/10,10.3,13.5,8.1
1986/3/11,8.2,9.9,6.1
1986/3/12,7.9,13.3,3.8
1986/3/13,8.6,13.0,1.9
1986/3/14,7.8,10.1,6.2
1986/3/15,11.6,16.4,8.0
1986/3/16,9.7,13.4,4.8
1986/3/17,5.8,9.8,2.5
1986/3/18,6.4,9.9,2.4
1986/3/19,8.7,11.8,4.8
1986/3/20,7.2,10.7,4.9
1986/3/21,7.3,12.1,4.3
1986/3/22,7.4,10.2,1.4
1986/3/23,6.4,8.6,4.6
1986/3/24,6.9,10.4,4.5
1986/3/25,7.0,12.6,2.8
1986/3/26,6.4,12.1,-0.1
1986/3/27,8.6,13.3,1.8
1986/3/28,9.6,10.4,8.7
1986/3/29,11.4,16.0,7.4
1986/3/30,9.9,12.9,5.6
1986/3/31,10.0,13.7,6.1
