ダウンロードした時刻：2019/10/10 15:37:37

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,-0.5,0.6,-1.2
1981/12/2,0.6,2.8,-2.3
1981/12/3,-0.4,4.1,-4.5
1981/12/4,2.5,8.0,-4.5
1981/12/5,4.1,11.2,-0.8
1981/12/6,2.1,8.2,-2.4
1981/12/7,1.5,5.2,-2.8
1981/12/8,2.5,7.3,-0.7
1981/12/9,1.7,6.7,-2.2
1981/12/10,2.2,5.3,-1.9
1981/12/11,2.3,8.8,-3.2
1981/12/12,5.5,13.9,-0.7
1981/12/13,1.4,4.9,-1.5
1981/12/14,-1.5,0.0,-2.5
1981/12/15,1.6,4.7,-3.1
1981/12/16,3.7,9.1,-1.1
1981/12/17,2.7,8.1,-1.1
1981/12/18,3.9,7.5,-0.3
1981/12/19,4.6,10.3,-0.7
1981/12/20,4.5,8.1,1.9
1981/12/21,4.3,9.3,-0.6
1981/12/22,5.7,13.0,-2.1
1981/12/23,8.7,11.8,4.7
1981/12/24,0.4,8.2,-3.5
1981/12/25,-0.2,3.7,-5.6
1981/12/26,5.1,10.7,-1.5
1981/12/27,6.7,13.1,3.2
1981/12/28,5.6,10.9,2.1
1981/12/29,8.6,13.1,2.8
1981/12/30,4.4,9.1,0.8
1981/12/31,1.5,4.7,-0.1
1982/1/1,2.9,9.1,-0.8
1982/1/2,-0.1,5.0,-3.7
1982/1/3,-1.2,4.4,-6.9
1982/1/4,5.2,12.1,-2.0
1982/1/5,4.5,9.8,-0.7
1982/1/6,0.3,3.6,-1.8
1982/1/7,-1.5,3.3,-4.4
1982/1/8,-1.7,2.3,-8.1
1982/1/9,3.9,8.0,0.3
1982/1/10,1.2,5.4,-3.7
1982/1/11,0.5,5.8,-5.1
1982/1/12,6.4,12.7,-0.4
1982/1/13,-0.4,3.5,-2.1
1982/1/14,-3.3,0.7,-7.0
1982/1/15,-3.0,1.3,-7.7
1982/1/16,-2.0,2.1,-5.8
1982/1/17,-3.0,3.4,-9.6
1982/1/18,-1.1,3.8,-6.6
1982/1/19,0.8,4.9,-4.1
1982/1/20,-1.3,0.8,-4.3
1982/1/21,4.0,9.0,-0.6
1982/1/22,1.6,6.3,-2.9
1982/1/23,0.4,5.3,-2.4
1982/1/24,1.1,6.4,-2.7
1982/1/25,-0.5,5.0,-2.6
1982/1/26,-1.2,2.4,-4.2
1982/1/27,0.3,5.0,-4.9
1982/1/28,0.7,5.3,-3.0
1982/1/29,0.3,4.9,-2.3
1982/1/30,-2.1,1.4,-4.8
1982/1/31,-0.8,4.7,-8.2
1982/2/1,-2.0,3.1,-7.2
1982/2/2,-2.8,2.7,-8.3
1982/2/3,0.2,6.9,-5.6
1982/2/4,-1.3,3.9,-6.0
1982/2/5,-3.7,0.9,-6.8
1982/2/6,-3.8,1.0,-10.3
1982/2/7,-4.2,-0.4,-8.6
1982/2/8,-5.6,-0.7,-10.1
1982/2/9,-4.9,0.5,-11.7
1982/2/10,-2.8,2.2,-9.6
1982/2/11,0.2,4.1,-3.5
1982/2/12,1.3,6.7,-2.5
1982/2/13,-1.6,4.3,-4.5
1982/2/14,-2.2,-0.8,-4.5
1982/2/15,-3.3,2.1,-8.0
1982/2/16,-1.3,4.3,-7.5
1982/2/17,-1.1,3.5,-5.7
1982/2/18,0.4,6.0,-4.1
1982/2/19,0.9,4.4,-4.6
1982/2/20,3.2,6.9,0.1
1982/2/21,3.4,5.7,1.9
1982/2/22,1.6,4.8,-0.7
1982/2/23,-0.5,4.1,-2.8
1982/2/24,-0.6,4.6,-5.8
1982/2/25,-2.4,2.8,-5.8
1982/2/26,-3.1,0.4,-6.6
1982/2/27,1.9,6.7,-6.8
1982/2/28,5.1,11.0,1.2
1982/3/1,1.7,5.3,-0.1
1982/3/2,1.2,5.0,-1.9
1982/3/3,0.4,6.6,-2.8
1982/3/4,4.7,9.9,-2.3
1982/3/5,6.5,10.7,4.1
1982/3/6,2.6,6.4,-1.8
1982/3/7,0.0,4.4,-2.8
1982/3/8,1.2,6.4,-2.5
1982/3/9,3.0,8.6,-1.3
1982/3/10,3.5,9.6,-4.1
1982/3/11,3.8,12.7,-1.4
1982/3/12,2.8,8.0,-3.5
1982/3/13,4.4,8.9,-0.1
1982/3/14,1.6,5.0,-2.4
1982/3/15,8.8,12.2,1.4
1982/3/16,11.2,16.2,4.5
1982/3/17,4.0,8.8,2.4
1982/3/18,1.0,4.4,-0.8
1982/3/19,3.1,10.1,-1.9
1982/3/20,3.3,8.2,-2.0
1982/3/21,1.0,2.3,0.2
1982/3/22,1.3,3.6,-0.3
1982/3/23,2.6,6.4,-1.6
1982/3/24,3.8,9.5,-0.4
1982/3/25,3.2,8.8,-0.7
1982/3/26,1.7,6.6,-2.7
1982/3/27,0.8,6.9,-3.9
1982/3/28,2.2,8.6,-3.4
1982/3/29,3.9,11.1,-3.2
1982/3/30,9.7,18.8,-0.8
1982/3/31,8.7,13.5,5.3
