ダウンロードした時刻：2017/07/24 15:41:11

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/1/1,4.6,13.8,-3.1
1997/1/2,4.7,10.9,0.1
1997/1/3,0.7,4.0,-1.4
1997/1/4,0.4,7.7,-5.1
1997/1/5,-1.6,2.0,-5.7
1997/1/6,1.7,3.2,-0.1
1997/1/7,1.2,6.8,-2.7
1997/1/8,-1.3,4.7,-5.1
1997/1/9,-2.1,4.9,-7.6
1997/1/10,-2.5,5.0,-7.9
1997/1/11,-1.5,6.7,-7.8
1997/1/12,-1.5,5.9,-7.0
1997/1/13,-1.0,7.2,-7.1
1997/1/14,0.5,5.5,-5.5
1997/1/15,0.8,6.4,-3.0
1997/1/16,-0.9,5.7,-5.5
1997/1/17,0.8,9.8,-5.8
1997/1/18,2.9,8.1,-1.8
1997/1/19,1.9,9.6,-3.3
1997/1/20,1.5,8.8,-5.0
1997/1/21,1.4,7.0,-5.2
1997/1/22,-4.8,-2.2,-7.2
1997/1/23,-1.3,7.6,-9.4
1997/1/24,2.8,5.8,0.3
1997/1/25,1.1,5.7,-2.1
1997/1/26,0.6,6.1,-3.6
1997/1/27,0.7,7.4,-5.6
1997/1/28,3.0,8.1,-1.1
1997/1/29,-0.3,2.8,-2.2
1997/1/30,-0.4,5.0,-4.3
1997/1/31,-1.9,5.5,-7.7
1997/2/1,-1.2,6.7,-7.0
1997/2/2,-0.3,5.8,-6.9
1997/2/3,2.2,8.5,-0.3
1997/2/4,0.7,6.3,-3.0
1997/2/5,0.2,9.0,-6.6
1997/2/6,2.3,9.0,-2.0
1997/2/7,2.6,9.9,-2.7
1997/2/8,4.2,13.0,-1.4
1997/2/9,3.7,13.2,-2.7
1997/2/10,3.0,12.0,-4.5
1997/2/11,0.2,7.4,-3.1
1997/2/12,0.6,6.0,-3.8
1997/2/13,-0.6,7.3,-7.6
1997/2/14,0.0,9.6,-7.2
1997/2/15,2.0,10.3,-5.9
1997/2/16,3.8,12.1,0.3
1997/2/17,2.4,10.8,-2.0
1997/2/18,0.8,7.6,-4.4
1997/2/19,0.4,5.4,-3.7
1997/2/20,1.1,8.3,-6.1
1997/2/21,0.7,5.8,-4.0
1997/2/22,-2.9,2.0,-6.1
1997/2/23,-1.4,8.7,-9.6
1997/2/24,2.5,13.8,-6.1
1997/2/25,4.3,16.5,-4.4
1997/2/26,9.0,17.4,2.0
1997/2/27,4.8,13.3,-2.0
1997/2/28,7.4,14.3,2.1
1997/3/1,8.2,14.2,1.1
1997/3/2,4.1,10.3,-1.9
1997/3/3,3.5,10.1,-0.6
1997/3/4,3.1,11.7,-4.5
1997/3/5,4.9,13.7,-3.1
1997/3/6,7.0,16.8,-2.4
1997/3/7,10.9,18.0,6.5
1997/3/8,6.6,13.3,0.9
1997/3/9,6.2,13.5,-0.6
1997/3/10,5.0,15.4,-2.3
1997/3/11,9.3,16.2,2.0
1997/3/12,5.5,15.3,-1.0
1997/3/13,7.0,15.9,-1.5
1997/3/14,12.4,21.2,5.5
1997/3/15,7.9,10.1,5.9
1997/3/16,6.3,9.1,4.3
1997/3/17,6.8,13.0,2.8
1997/3/18,6.7,15.6,-0.5
1997/3/19,6.7,16.1,-0.8
1997/3/20,6.8,12.3,1.3
1997/3/21,8.3,15.8,0.9
1997/3/22,8.9,16.2,5.2
1997/3/23,7.3,15.6,2.8
1997/3/24,4.2,10.1,-0.2
1997/3/25,6.3,16.3,-3.5
1997/3/26,8.3,16.7,-0.6
1997/3/27,7.2,11.4,3.4
1997/3/28,8.5,18.7,-0.9
1997/3/29,8.3,13.9,4.1
1997/3/30,10.2,15.8,3.9
1997/3/31,5.9,13.2,-1.4
1997/4/1,8.5,19.3,-1.4
1997/4/2,8.8,16.7,2.2
1997/4/3,13.2,17.3,9.3
1997/4/4,16.5,21.6,13.3
1997/4/5,16.4,17.6,15.1
1997/4/6,15.4,17.2,13.8
1997/4/7,11.0,16.3,6.3
1997/4/8,11.7,21.4,3.7
1997/4/9,12.6,19.0,7.5
1997/4/10,11.5,18.1,4.3
1997/4/11,10.3,16.2,3.6
1997/4/12,9.6,16.9,2.0
1997/4/13,11.4,19.5,1.8
1997/4/14,12.3,20.8,2.9
1997/4/15,9.6,15.0,5.6
1997/4/16,8.6,17.1,0.7
1997/4/17,9.7,18.0,1.4
1997/4/18,11.5,17.6,5.5
1997/4/19,12.9,19.4,8.4
1997/4/20,11.7,19.5,3.9
1997/4/21,12.2,18.3,7.8
1997/4/22,12.3,15.4,8.8
1997/4/23,12.2,18.0,5.1
1997/4/24,9.4,18.0,1.6
1997/4/25,11.0,19.7,2.1
1997/4/26,12.2,22.0,2.4
1997/4/27,13.9,23.5,3.5
1997/4/28,10.3,12.1,8.3
1997/4/29,17.7,27.0,9.1
1997/4/30,14.7,20.2,10.9
1997/5/1,17.5,25.7,11.5
