ダウンロードした時刻：2019/10/10 15:35:13

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,2.4,4.3,0.4
1988/12/2,3.6,6.3,1.1
1988/12/3,2.3,8.4,-2.0
1988/12/4,0.0,4.6,-4.9
1988/12/5,2.0,4.7,0.1
1988/12/6,2.6,5.4,-0.2
1988/12/7,5.7,11.1,1.5
1988/12/8,5.3,10.6,2.0
1988/12/9,3.5,9.6,1.1
1988/12/10,1.0,2.8,0.0
1988/12/11,1.1,2.5,0.3
1988/12/12,1.5,3.7,0.5
1988/12/13,-0.1,1.8,-2.5
1988/12/14,1.0,5.8,-3.0
1988/12/15,1.1,3.7,-0.4
1988/12/16,-0.6,0.2,-1.9
1988/12/17,-1.3,0.9,-2.6
1988/12/18,1.9,4.0,-0.1
1988/12/19,1.9,4.7,-1.3
1988/12/20,2.3,4.8,0.3
1988/12/21,0.2,2.0,-2.2
1988/12/22,-1.2,0.4,-2.8
1988/12/23,1.9,4.1,-1.1
1988/12/24,0.7,3.1,-3.5
1988/12/25,-0.4,1.8,-2.1
1988/12/26,0.3,1.4,-2.0
1988/12/27,-0.9,1.7,-6.2
1988/12/28,-2.0,1.2,-4.7
1988/12/29,-1.5,0.3,-4.3
1988/12/30,-0.4,1.8,-3.2
1988/12/31,0.4,5.9,-4.4
1989/1/1,0.8,4.0,-0.8
1989/1/2,2.5,6.1,-0.8
1989/1/3,0.6,2.7,-2.6
1989/1/4,-0.3,0.9,-3.3
1989/1/5,0.7,2.4,-1.3
1989/1/6,2.3,6.1,-2.6
1989/1/7,-0.8,3.3,-5.3
1989/1/8,0.9,3.3,-2.0
1989/1/9,3.4,7.3,-2.0
1989/1/10,5.1,8.7,2.3
1989/1/11,2.9,6.7,1.2
1989/1/12,2.6,3.8,1.5
1989/1/13,0.4,1.8,-0.7
1989/1/14,-1.1,2.0,-3.4
1989/1/15,-3.3,-0.6,-5.1
1989/1/16,-1.4,1.8,-4.5
1989/1/17,0.2,3.8,-4.8
1989/1/18,-2.3,3.7,-7.4
1989/1/19,0.7,1.9,-1.9
1989/1/20,2.2,6.2,1.0
1989/1/21,3.5,6.3,0.6
1989/1/22,-1.1,2.0,-4.4
1989/1/23,-0.4,2.5,-5.8
1989/1/24,1.0,2.7,0.1
1989/1/25,-1.0,2.1,-6.8
1989/1/26,-0.8,6.3,-6.8
1989/1/27,0.0,4.2,-2.0
1989/1/28,-4.0,-1.2,-5.5
1989/1/29,-1.2,1.5,-4.9
1989/1/30,-1.3,3.5,-7.8
1989/1/31,-3.0,3.0,-11.4
1989/2/1,0.4,2.9,-1.5
1989/2/2,-1.8,0.7,-3.3
1989/2/3,-3.0,-2.1,-4.3
1989/2/4,-0.6,1.7,-4.1
1989/2/5,2.2,3.6,0.5
1989/2/6,1.4,2.8,-1.3
1989/2/7,2.9,6.2,-1.4
1989/2/8,0.3,3.7,-3.9
1989/2/9,1.4,3.7,0.3
1989/2/10,1.2,3.2,-0.5
1989/2/11,-1.1,2.5,-4.9
1989/2/12,-1.2,1.0,-3.3
1989/2/13,0.0,3.5,-2.1
1989/2/14,1.1,5.0,-3.9
1989/2/15,-1.4,6.9,-8.6
1989/2/16,3.4,5.5,0.4
1989/2/17,2.8,5.8,1.4
1989/2/18,1.8,3.3,1.1
1989/2/19,2.4,5.2,0.6
1989/2/20,3.7,8.1,-2.3
1989/2/21,2.9,5.7,0.2
1989/2/22,-0.6,1.8,-2.5
1989/2/23,-1.0,4.0,-4.3
1989/2/24,-1.1,3.0,-4.4
1989/2/25,-0.8,1.3,-4.7
1989/2/26,1.2,3.0,-0.1
1989/2/27,0.4,4.5,-2.7
1989/2/28,3.1,9.5,-4.2
1989/3/1,3.1,6.8,0.3
1989/3/2,3.2,8.7,-2.8
1989/3/3,6.3,8.5,3.1
1989/3/4,5.5,8.3,3.3
1989/3/5,3.3,4.9,1.0
1989/3/6,1.4,4.7,-1.0
1989/3/7,0.9,6.4,-3.2
1989/3/8,0.4,5.3,-2.2
1989/3/9,0.2,4.2,-2.8
1989/3/10,2.2,6.6,-2.2
1989/3/11,6.0,11.8,0.8
1989/3/12,6.4,11.3,1.9
1989/3/13,6.9,15.4,-0.3
1989/3/14,7.6,12.5,4.3
1989/3/15,5.3,7.8,3.0
1989/3/16,3.8,8.0,1.0
1989/3/17,1.5,4.9,-0.7
1989/3/18,1.9,3.2,-0.3
1989/3/19,3.2,5.8,0.9
1989/3/20,4.1,6.8,1.4
1989/3/21,4.2,6.0,2.3
1989/3/22,3.6,7.2,1.0
1989/3/23,4.1,8.6,0.5
1989/3/24,5.4,11.5,1.2
1989/3/25,4.3,6.7,2.9
1989/3/26,4.7,8.8,-1.2
1989/3/27,5.3,12.2,-3.0
1989/3/28,6.1,9.3,4.4
1989/3/29,4.4,10.0,0.3
1989/3/30,4.8,13.0,-2.2
1989/3/31,7.2,13.3,-1.0
