ダウンロードした時刻：2019/10/10 16:02:31

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1993/12/1,18.0,21.6,13.6
1993/12/2,17.2,20.2,13.6
1993/12/3,19.9,21.6,18.1
1993/12/4,14.9,18.1,12.2
1993/12/5,12.1,13.3,10.0
1993/12/6,12.4,13.2,11.0
1993/12/7,12.8,14.8,10.5
1993/12/8,12.8,14.4,11.8
1993/12/9,12.1,15.4,8.5
1993/12/10,15.2,19.3,9.4
1993/12/11,14.6,17.7,11.5
1993/12/12,12.6,16.1,6.9
1993/12/13,14.3,16.2,9.6
1993/12/14,14.2,17.5,12.2
1993/12/15,10.3,12.7,7.3
1993/12/16,10.4,12.9,8.8
1993/12/17,10.9,12.7,8.9
1993/12/18,8.7,10.6,4.1
1993/12/19,9.0,13.9,4.1
1993/12/20,12.5,13.8,11.4
1993/12/21,13.5,15.9,9.6
1993/12/22,8.6,10.1,7.7
1993/12/23,7.9,9.8,5.9
1993/12/24,10.2,11.5,8.1
1993/12/25,11.2,13.2,6.6
1993/12/26,11.8,17.0,6.4
1993/12/27,12.9,14.0,12.2
1993/12/28,11.5,12.7,8.1
1993/12/29,11.0,12.0,10.0
1993/12/30,13.9,16.6,10.7
1993/12/31,15.0,18.3,10.2
1994/1/1,9.2,11.5,5.4
1994/1/2,11.4,13.4,6.5
1994/1/3,12.9,14.4,10.6
1994/1/4,12.9,14.3,11.7
1994/1/5,11.2,13.0,9.6
1994/1/6,13.3,14.5,11.4
1994/1/7,11.8,13.3,8.7
1994/1/8,9.9,12.0,6.1
1994/1/9,10.8,15.0,6.5
1994/1/10,13.4,15.1,6.9
1994/1/11,11.8,12.8,11.0
1994/1/12,10.8,13.0,7.4
1994/1/13,11.4,13.4,8.9
1994/1/14,9.6,11.1,5.7
1994/1/15,8.4,9.7,5.5
1994/1/16,10.5,12.5,6.9
1994/1/17,15.6,18.7,11.2
1994/1/18,14.4,18.7,11.2
1994/1/19,9.6,13.2,8.0
1994/1/20,7.8,8.6,6.6
1994/1/21,8.4,10.1,6.7
1994/1/22,7.6,10.1,3.4
1994/1/23,8.3,9.7,6.8
1994/1/24,6.8,7.7,5.5
1994/1/25,9.8,11.2,7.1
1994/1/26,12.3,15.4,6.8
1994/1/27,12.5,14.4,10.6
1994/1/28,9.3,10.6,7.8
1994/1/29,7.7,10.0,3.6
1994/1/30,5.5,6.9,2.6
1994/1/31,6.8,8.9,5.0
1994/2/1,9.9,15.9,4.2
1994/2/2,8.7,12.1,6.5
1994/2/3,6.7,8.0,3.4
1994/2/4,8.2,9.6,6.1
1994/2/5,10.2,11.9,7.1
1994/2/6,11.1,13.6,6.8
1994/2/7,10.6,13.3,5.6
1994/2/8,10.7,15.3,5.1
1994/2/9,11.8,15.7,9.0
1994/2/10,7.8,9.3,5.8
1994/2/11,6.7,9.0,3.8
1994/2/12,6.9,11.9,3.1
1994/2/13,5.7,7.0,4.2
1994/2/14,7.1,8.6,5.2
1994/2/15,9.0,11.7,6.6
1994/2/16,9.4,11.7,7.4
1994/2/17,8.7,11.8,4.5
1994/2/18,9.6,12.3,6.0
1994/2/19,12.3,14.7,9.0
1994/2/20,13.3,16.1,7.1
1994/2/21,12.4,15.6,7.8
1994/2/22,7.8,9.2,6.4
1994/2/23,8.5,9.9,6.4
1994/2/24,5.8,8.1,2.2
1994/2/25,8.1,11.0,4.9
1994/2/26,8.0,10.0,5.1
1994/2/27,7.1,10.3,2.2
1994/2/28,8.4,12.6,1.7
1994/3/1,10.6,12.2,8.0
1994/3/2,9.4,10.8,5.6
1994/3/3,9.9,11.5,7.5
1994/3/4,9.5,11.5,7.3
1994/3/5,10.3,12.1,8.5
1994/3/6,8.3,10.9,5.5
1994/3/7,10.8,13.0,8.0
1994/3/8,14.6,16.9,11.5
1994/3/9,17.7,19.7,14.5
1994/3/10,12.3,15.7,9.0
1994/3/11,9.3,10.7,5.3
1994/3/12,10.2,11.6,8.6
1994/3/13,9.8,11.7,8.1
1994/3/14,9.7,11.6,7.3
1994/3/15,8.2,10.6,4.6
1994/3/16,9.9,11.9,8.2
1994/3/17,11.3,13.2,8.5
1994/3/18,10.6,13.0,8.8
1994/3/19,12.0,13.0,10.2
1994/3/20,12.3,13.3,11.4
1994/3/21,9.5,11.7,5.8
1994/3/22,9.8,12.7,8.1
1994/3/23,13.2,16.6,10.0
1994/3/24,13.0,14.9,11.5
1994/3/25,10.2,13.1,9.2
1994/3/26,9.7,11.1,7.8
1994/3/27,9.4,11.7,6.4
1994/3/28,13.7,16.3,10.3
1994/3/29,14.5,15.8,13.0
1994/3/30,12.9,15.0,10.6
1994/3/31,14.3,16.2,11.2
