ダウンロードした時刻：2019/10/10 15:51:56

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,3.4,10.9,-1.5
1996/12/2,4.2,10.5,-1.9
1996/12/3,4.3,11.0,-2.0
1996/12/4,5.2,12.8,-1.7
1996/12/5,11.4,17.4,4.3
1996/12/6,7.5,14.5,0.5
1996/12/7,4.2,10.3,-0.4
1996/12/8,4.5,10.9,-0.2
1996/12/9,5.5,13.6,-1.5
1996/12/10,7.6,14.2,2.2
1996/12/11,9.0,15.5,5.2
1996/12/12,9.3,15.0,3.6
1996/12/13,8.2,10.1,4.9
1996/12/14,8.2,15.3,4.1
1996/12/15,7.5,13.6,2.4
1996/12/16,7.4,14.8,1.8
1996/12/17,10.2,17.1,3.1
1996/12/18,10.2,13.8,2.8
1996/12/19,4.3,9.4,0.4
1996/12/20,2.7,8.2,-1.2
1996/12/21,4.7,12.8,-1.6
1996/12/22,5.4,12.9,0.5
1996/12/23,4.5,10.3,-0.1
1996/12/24,2.8,9.7,-3.7
1996/12/25,4.7,13.7,-2.1
1996/12/26,5.2,11.6,0.7
1996/12/27,3.2,9.0,-2.9
1996/12/28,5.4,15.8,-1.2
1996/12/29,3.2,9.9,-2.4
1996/12/30,5.2,14.9,-2.2
1996/12/31,6.0,13.8,-0.1
1997/1/1,6.2,13.0,1.2
1997/1/2,6.9,11.4,3.4
1997/1/3,5.5,11.8,0.3
1997/1/4,3.9,9.8,-1.3
1997/1/5,2.7,8.1,-4.1
1997/1/6,7.1,12.2,1.6
1997/1/7,4.7,12.6,-1.9
1997/1/8,3.1,9.6,-1.8
1997/1/9,2.2,9.0,-3.5
1997/1/10,1.9,9.3,-3.7
1997/1/11,2.3,9.6,-3.5
1997/1/12,1.7,9.4,-4.0
1997/1/13,2.2,9.5,-3.6
1997/1/14,3.7,12.3,-3.2
1997/1/15,4.0,9.7,0.7
1997/1/16,1.6,8.0,-3.8
1997/1/17,2.8,11.0,-4.0
1997/1/18,5.4,14.5,-1.3
1997/1/19,3.9,8.8,-1.3
1997/1/20,4.7,12.4,-2.2
1997/1/21,3.1,12.4,-2.4
1997/1/22,-0.7,1.4,-3.2
1997/1/23,3.4,9.8,-2.0
1997/1/24,4.3,11.2,-1.8
1997/1/25,3.0,8.9,-0.7
1997/1/26,3.7,10.4,-1.0
1997/1/27,3.5,11.9,-5.4
1997/1/28,3.3,10.4,-3.4
1997/1/29,3.0,9.7,-1.7
1997/1/30,1.4,7.0,-3.9
1997/1/31,2.2,7.6,-5.1
1997/2/1,2.5,10.2,-4.7
1997/2/2,3.0,8.8,-3.9
1997/2/3,3.7,5.8,1.6
1997/2/4,3.5,8.0,-1.1
1997/2/5,3.1,9.3,-2.4
1997/2/6,2.8,7.5,-1.1
1997/2/7,3.6,9.8,-1.4
1997/2/8,3.3,9.0,-1.2
1997/2/9,4.4,12.0,-2.0
1997/2/10,5.5,11.1,0.0
1997/2/11,5.4,11.6,1.0
1997/2/12,3.9,9.7,-0.2
1997/2/13,1.6,8.1,-4.6
1997/2/14,1.6,10.0,-5.5
1997/2/15,4.0,11.3,-3.4
1997/2/16,6.1,11.2,3.3
1997/2/17,5.6,11.5,1.4
1997/2/18,3.5,9.8,-1.6
1997/2/19,2.7,8.4,-1.8
1997/2/20,4.2,13.4,-5.6
1997/2/21,2.1,10.6,-2.5
1997/2/22,0.0,4.6,-3.8
1997/2/23,2.1,10.2,-6.0
1997/2/24,4.5,12.0,-2.9
1997/2/25,7.4,15.8,-2.4
1997/2/26,9.5,16.4,3.1
1997/2/27,5.3,12.2,0.3
1997/2/28,7.7,13.4,1.3
1997/3/1,11.5,19.2,3.8
1997/3/2,4.4,7.3,0.0
1997/3/3,3.6,6.2,0.2
1997/3/4,4.8,12.8,-1.8
1997/3/5,7.2,16.7,-2.0
1997/3/6,8.0,15.5,-0.6
1997/3/7,14.6,21.9,9.2
1997/3/8,9.3,16.3,4.0
1997/3/9,6.4,14.2,0.6
1997/3/10,5.9,12.7,-3.4
1997/3/11,9.2,19.4,2.5
1997/3/12,5.8,13.8,-1.9
1997/3/13,6.7,12.6,-1.5
1997/3/14,10.6,19.0,4.5
1997/3/15,6.8,8.5,5.1
1997/3/16,4.7,5.8,3.2
1997/3/17,5.3,11.2,0.9
1997/3/18,5.7,11.5,-2.1
1997/3/19,7.5,11.4,2.9
1997/3/20,7.4,13.8,1.9
1997/3/21,8.3,15.0,0.5
1997/3/22,7.9,10.5,6.6
1997/3/23,5.2,7.0,2.8
1997/3/24,4.8,9.2,1.1
1997/3/25,7.1,16.6,-2.8
1997/3/26,9.3,14.2,2.1
1997/3/27,8.7,11.3,5.3
1997/3/28,9.6,16.9,2.0
1997/3/29,11.3,17.6,3.1
1997/3/30,14.3,24.5,6.5
1997/3/31,8.0,13.9,2.7
