ダウンロードした時刻：2019/10/10 16:11:29

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2018/12/1,14.0,17.7,11.6
2018/12/2,13.6,16.7,9.3
2018/12/3,16.1,18.0,13.9
2018/12/4,19.4,22.6,16.3
2018/12/5,15.5,19.1,12.0
2018/12/6,13.2,14.8,11.8
2018/12/7,11.7,14.6,7.4
2018/12/8,6.7,10.2,4.2
2018/12/9,5.6,8.6,3.1
2018/12/10,6.6,9.5,4.4
2018/12/11,7.9,11.4,3.6
2018/12/12,9.7,12.9,6.8
2018/12/13,8.1,9.9,5.7
2018/12/14,6.8,9.2,5.0
2018/12/15,6.5,10.3,4.7
2018/12/16,7.5,11.7,3.6
2018/12/17,10.1,13.8,7.7
2018/12/18,8.5,11.9,5.8
2018/12/19,10.1,13.2,5.7
2018/12/20,11.3,13.4,9.3
2018/12/21,11.5,15.4,6.6
2018/12/22,12.3,14.7,10.8
2018/12/23,12.4,15.2,9.2
2018/12/24,9.0,12.4,5.8
2018/12/25,7.6,11.1,4.1
2018/12/26,9.5,11.5,7.3
2018/12/27,8.8,12.8,5.0
2018/12/28,3.5,6.2,2.1
2018/12/29,3.7,7.5,0.8
2018/12/30,4.2,8.3,1.2
2018/12/31,5.0,7.8,3.2
2019/1/1,6.1,9.4,2.3
2019/1/2,6.1,10.2,3.7
2019/1/3,6.0,10.3,3.4
2019/1/4,7.0,10.0,2.4
2019/1/5,9.4,12.1,7.5
2019/1/6,6.0,8.2,4.0
2019/1/7,6.5,10.3,2.9
2019/1/8,8.7,11.5,5.8
2019/1/9,5.0,7.6,2.7
2019/1/10,5.0,7.6,1.5
2019/1/11,8.3,12.4,5.7
2019/1/12,6.6,8.4,5.1
2019/1/13,7.3,12.2,3.1
2019/1/14,7.4,10.8,3.5
2019/1/15,7.4,9.9,5.1
2019/1/16,7.0,10.6,4.6
2019/1/17,7.0,10.0,3.5
2019/1/18,6.4,8.9,4.6
2019/1/19,7.4,11.3,3.6
2019/1/20,8.7,12.4,6.7
2019/1/21,7.1,10.4,3.8
2019/1/22,7.5,11.4,4.4
2019/1/23,8.4,12.0,3.5
2019/1/24,6.3,9.4,4.0
2019/1/25,6.7,8.7,4.4
2019/1/26,3.5,6.8,1.0
2019/1/27,4.5,8.6,1.3
2019/1/28,6.4,10.5,2.8
2019/1/29,4.9,8.1,2.7
2019/1/30,6.2,9.8,2.4
2019/1/31,6.6,8.0,4.1
2019/2/1,4.8,7.7,2.1
2019/2/2,6.8,10.9,3.3
2019/2/3,8.4,12.6,4.1
2019/2/4,11.0,14.8,7.3
2019/2/5,8.9,11.4,4.9
2019/2/6,9.4,12.0,7.7
2019/2/7,10.8,14.0,7.4
2019/2/8,6.7,10.2,3.9
2019/2/9,5.2,7.7,3.3
2019/2/10,4.3,7.1,2.8
2019/2/11,4.2,6.3,2.2
2019/2/12,6.1,9.7,3.2
2019/2/13,7.5,11.5,4.7
2019/2/14,4.9,7.3,3.2
2019/2/15,4.8,7.0,1.7
2019/2/16,8.1,13.2,5.4
2019/2/17,5.8,7.8,4.0
2019/2/18,7.1,10.8,1.9
2019/2/19,9.9,12.6,7.4
2019/2/20,13.1,17.7,9.2
2019/2/21,8.0,10.0,6.4
2019/2/22,9.1,11.7,5.8
2019/2/23,9.3,13.5,5.9
2019/2/24,8.5,12.0,4.7
2019/2/25,10.9,15.6,6.2
2019/2/26,10.2,14.7,6.7
2019/2/27,9.3,12.0,5.5
2019/2/28,10.7,11.6,9.4
2019/3/1,10.4,12.8,8.1
2019/3/2,9.8,13.4,5.7
2019/3/3,10.9,12.8,9.0
2019/3/4,10.3,12.1,8.5
2019/3/5,11.0,13.9,7.4
2019/3/6,11.9,16.3,10.2
2019/3/7,9.7,12.4,6.1
2019/3/8,7.8,12.5,4.5
2019/3/9,9.8,14.6,4.2
2019/3/10,11.9,13.3,10.2
2019/3/11,12.9,17.2,9.7
2019/3/12,11.4,14.6,7.5
2019/3/13,9.1,11.8,5.6
2019/3/14,7.5,10.9,4.4
2019/3/15,9.2,14.4,3.9
2019/3/16,8.4,13.0,3.3
2019/3/17,8.0,12.7,5.7
2019/3/18,9.0,14.4,3.9
2019/3/19,11.7,14.8,8.6
2019/3/20,13.1,17.4,8.5
2019/3/21,16.5,18.4,13.4
2019/3/22,12.0,17.5,6.8
2019/3/23,7.7,12.1,4.9
2019/3/24,8.0,11.4,4.5
2019/3/25,10.2,13.9,5.5
2019/3/26,13.0,17.0,9.3
2019/3/27,13.5,16.9,8.7
2019/3/28,13.6,17.0,8.4
2019/3/29,11.8,16.5,7.7
2019/3/30,13.1,16.1,10.7
2019/3/31,10.4,12.2,8.2
