É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 16:17:03

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1996/12/1,3.8,8.7,1.0
1996/12/2,5.3,11.1,1.3
1996/12/3,6.2,13.1,1.0
1996/12/4,10.3,17.2,1.7
1996/12/5,14.9,19.0,9.7
1996/12/6,4.5,10.4,2.5
1996/12/7,4.9,7.8,1.2
1996/12/8,7.1,11.0,5.1
1996/12/9,9.4,15.4,5.3
1996/12/10,9.4,11.2,7.5
1996/12/11,9.0,14.9,5.0
1996/12/12,8.1,15.3,2.8
1996/12/13,8.2,16.1,3.0
1996/12/14,8.8,17.2,3.4
1996/12/15,9.5,16.9,3.6
1996/12/16,12.3,18.2,6.1
1996/12/17,14.9,16.8,12.3
1996/12/18,10.9,14.7,7.9
1996/12/19,6.8,8.4,5.4
1996/12/20,7.1,9.7,3.6
1996/12/21,7.0,13.6,2.6
1996/12/22,9.8,16.3,2.4
1996/12/23,8.4,11.5,3.4
1996/12/24,5.9,12.8,0.7
1996/12/25,8.6,16.5,2.1
1996/12/26,9.3,16.3,4.6
1996/12/27,8.0,15.2,2.8
1996/12/28,9.0,15.5,4.2
1996/12/29,7.8,15.8,2.1
1996/12/30,8.6,17.2,2.5
1996/12/31,9.5,17.8,3.7
1997/1/1,12.2,18.6,6.1
1997/1/2,7.5,11.0,6.0
1997/1/3,7.0,8.0,5.7
1997/1/4,5.9,11.4,1.3
1997/1/5,5.7,11.2,0.3
1997/1/6,5.5,9.2,1.2
1997/1/7,5.6,7.8,2.9
1997/1/8,5.7,8.0,2.2
1997/1/9,6.1,10.4,1.7
1997/1/10,4.8,12.0,-0.3
1997/1/11,6.4,13.3,1.6
1997/1/12,5.5,12.7,-0.4
1997/1/13,5.8,13.7,-0.3
1997/1/14,7.6,13.3,1.4
1997/1/15,8.0,12.8,3.2
1997/1/16,7.8,13.0,2.4
1997/1/17,7.6,13.6,2.5
1997/1/18,7.9,11.8,4.0
1997/1/19,6.1,11.1,1.9
1997/1/20,6.0,13.1,0.5
1997/1/21,5.5,10.7,0.9
1997/1/22,3.5,7.1,0.1
1997/1/23,5.1,9.7,-0.6
1997/1/24,5.1,6.7,3.9
1997/1/25,6.3,8.7,4.1
1997/1/26,7.4,11.4,3.2
1997/1/27,7.2,12.8,3.2
1997/1/28,7.8,11.0,2.5
1997/1/29,5.6,7.7,2.0
1997/1/30,5.4,8.6,1.3
1997/1/31,3.5,8.7,1.0
1997/2/1,5.7,11.0,1.5
1997/2/2,4.7,6.0,3.2
1997/2/3,6.3,11.2,2.8
1997/2/4,5.6,10.0,1.0
1997/2/5,4.1,9.9,-1.2
1997/2/6,6.7,11.3,2.4
1997/2/7,5.9,9.4,1.5
1997/2/8,6.8,9.0,5.0
1997/2/9,8.0,13.9,3.4
1997/2/10,6.6,13.4,1.1
1997/2/11,6.1,9.5,3.2
1997/2/12,5.0,8.0,3.0
1997/2/13,5.3,10.1,1.0
1997/2/14,5.4,10.9,0.0
1997/2/15,7.0,12.0,2.3
1997/2/16,7.9,12.3,4.5
1997/2/17,6.9,11.1,3.8
1997/2/18,5.9,9.4,1.7
1997/2/19,4.8,8.7,1.3
1997/2/20,6.0,13.0,0.3
1997/2/21,8.7,11.9,3.9
1997/2/22,4.3,8.7,0.2
1997/2/23,3.8,11.3,-3.0
1997/2/24,7.7,15.8,0.5
1997/2/25,12.7,18.3,5.1
1997/2/26,13.4,18.7,9.0
1997/2/27,9.8,15.3,4.5
1997/2/28,13.3,20.0,6.1
1997/3/1,13.1,17.7,6.1
1997/3/2,8.2,12.1,3.7
1997/3/3,8.6,13.2,5.3
1997/3/4,7.7,12.7,3.3
1997/3/5,8.6,16.8,1.7
1997/3/6,13.1,19.9,4.0
1997/3/7,16.3,21.7,10.1
1997/3/8,11.3,16.9,5.7
1997/3/9,10.8,17.8,3.9
1997/3/10,14.1,20.1,7.0
1997/3/11,15.3,19.2,8.6
1997/3/12,11.4,16.3,6.2
1997/3/13,12.2,13.8,10.7
1997/3/14,14.5,17.7,12.4
1997/3/15,14.8,18.5,12.1
1997/3/16,11.9,15.7,9.1
1997/3/17,10.0,14.7,5.3
1997/3/18,11.2,17.4,4.5
1997/3/19,10.6,12.6,7.2
1997/3/20,8.9,11.2,7.0
1997/3/21,10.7,12.6,8.8
1997/3/22,13.1,18.2,8.2
1997/3/23,11.3,16.6,5.8
1997/3/24,7.7,12.9,3.6
1997/3/25,9.8,17.4,1.7
1997/3/26,11.5,17.6,7.9
1997/3/27,11.1,17.0,7.3
1997/3/28,12.9,19.4,5.2
1997/3/29,14.8,17.0,12.8
1997/3/30,12.2,16.1,6.9
1997/3/31,9.9,15.5,5.0
