ダウンロードした時刻：2017/07/24 15:43:06

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,4.7,9.3,1.2
1983/1/2,5.2,9.5,0.5
1983/1/3,5.6,8.4,3.7
1983/1/4,5.8,10.2,3.1
1983/1/5,8.8,10.2,4.2
1983/1/6,8.6,11.0,4.1
1983/1/7,9.7,15.8,1.3
1983/1/8,7.3,12.7,2.9
1983/1/9,3.4,5.4,1.1
1983/1/10,0.5,3.0,-1.4
1983/1/11,3.3,7.3,0.2
1983/1/12,4.9,7.9,2.6
1983/1/13,3.6,6.5,2.2
1983/1/14,4.6,8.7,0.9
1983/1/15,3.9,6.0,1.9
1983/1/16,5.0,10.4,0.5
1983/1/17,6.1,10.5,0.6
1983/1/18,5.9,7.6,4.2
1983/1/19,3.7,8.2,0.0
1983/1/20,0.6,3.1,-1.4
1983/1/21,0.0,3.2,-1.7
1983/1/22,-0.5,1.4,-2.0
1983/1/23,2.0,4.9,-2.7
1983/1/24,4.6,7.9,0.3
1983/1/25,5.6,12.3,-0.2
1983/1/26,6.5,12.9,1.5
1983/1/27,6.6,12.2,0.9
1983/1/28,7.8,13.5,3.7
1983/1/29,9.3,15.7,2.7
1983/1/30,6.2,12.0,3.3
1983/1/31,3.7,7.8,-0.8
1983/2/1,6.0,11.9,-1.9
1983/2/2,8.0,9.3,6.9
1983/2/3,4.6,6.9,2.5
1983/2/4,3.3,8.1,-0.2
1983/2/5,5.8,9.7,-0.9
1983/2/6,7.9,13.4,3.4
1983/2/7,4.1,8.2,0.7
1983/2/8,3.1,7.5,0.3
1983/2/9,3.2,7.0,0.1
1983/2/10,1.0,3.2,-1.5
1983/2/11,1.6,4.0,-1.3
1983/2/12,0.3,4.2,-1.6
1983/2/13,-0.9,0.7,-2.4
1983/2/14,1.9,5.2,-1.3
1983/2/15,6.2,10.4,0.7
1983/2/16,4.8,10.3,-1.0
1983/2/17,5.6,9.5,2.2
1983/2/18,0.4,6.2,-2.1
1983/2/19,0.0,2.4,-1.9
1983/2/20,0.0,2.0,-2.4
1983/2/21,1.4,4.6,-2.6
1983/2/22,3.1,8.3,-0.5
1983/2/23,4.4,9.2,-1.5
1983/2/24,4.6,8.0,2.1
1983/2/25,3.8,8.0,0.7
1983/2/26,3.7,7.9,-0.1
1983/2/27,3.5,8.8,-1.5
1983/2/28,5.1,12.5,-2.3
1983/3/1,5.9,11.0,-1.3
1983/3/2,14.6,22.1,8.0
1983/3/3,7.7,11.8,6.1
1983/3/4,5.8,10.4,3.1
1983/3/5,3.9,6.8,1.2
1983/3/6,3.9,8.1,0.3
1983/3/7,2.1,7.8,0.0
1983/3/8,2.9,5.2,0.4
1983/3/9,4.7,10.1,-1.5
1983/3/10,5.7,7.5,3.9
1983/3/11,6.0,11.6,1.2
1983/3/12,10.0,16.3,2.2
1983/3/13,7.6,9.6,4.3
1983/3/14,3.6,6.8,0.4
1983/3/15,6.1,12.6,-0.5
1983/3/16,7.0,10.2,2.8
1983/3/17,6.6,9.6,4.3
1983/3/18,2.8,7.1,-0.4
1983/3/19,6.0,12.5,-1.2
1983/3/20,11.1,17.8,1.5
1983/3/21,11.5,15.1,7.1
1983/3/22,10.4,15.2,4.0
1983/3/23,13.1,15.0,9.2
1983/3/24,8.9,11.4,7.7
1983/3/25,7.0,9.9,2.0
1983/3/26,6.4,11.2,-0.1
1983/3/27,7.6,11.7,2.4
1983/3/28,8.3,11.9,4.6
1983/3/29,8.6,12.6,3.4
1983/3/30,9.2,11.8,6.6
1983/3/31,9.7,13.0,4.2
1983/4/1,10.0,11.2,8.2
1983/4/2,12.8,18.9,8.3
1983/4/3,11.4,14.4,7.9
1983/4/4,10.5,14.2,6.1
1983/4/5,11.2,20.1,3.0
1983/4/6,13.5,21.6,4.2
1983/4/7,16.8,23.4,11.9
1983/4/8,13.4,16.8,9.9
1983/4/9,14.3,19.0,8.5
1983/4/10,15.2,17.0,14.1
1983/4/11,13.5,14.9,12.5
1983/4/12,11.9,13.4,8.3
1983/4/13,13.2,16.8,6.8
1983/4/14,17.9,20.7,15.3
1983/4/15,19.3,26.6,14.5
1983/4/16,11.9,14.5,10.2
1983/4/17,11.9,15.3,8.8
1983/4/18,13.9,18.5,7.9
1983/4/19,17.2,24.3,14.1
1983/4/20,13.2,17.2,8.0
1983/4/21,14.8,20.3,4.7
1983/4/22,17.8,21.1,13.2
1983/4/23,14.3,20.5,9.6
1983/4/24,15.8,25.3,6.5
1983/4/25,15.9,25.7,7.7
1983/4/26,22.1,29.9,9.8
1983/4/27,22.9,28.4,17.9
1983/4/28,24.6,31.0,17.9
1983/4/29,20.0,28.8,13.6
1983/4/30,12.8,17.3,9.0
1983/5/1,12.7,17.4,9.5
