ダウンロードした時刻：2019/10/10 16:02:28

,三宅島,三宅島,三宅島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,15.5,16.9,14.7
1991/12/2,15.2,16.5,12.4
1991/12/3,15.1,18.9,11.9
1991/12/4,15.3,17.0,10.5
1991/12/5,13.9,16.6,10.3
1991/12/6,16.1,20.1,10.4
1991/12/7,16.5,18.4,13.3
1991/12/8,15.9,17.5,13.1
1991/12/9,14.0,17.2,11.6
1991/12/10,12.9,14.1,11.9
1991/12/11,16.3,18.9,13.0
1991/12/12,11.2,15.0,9.7
1991/12/13,10.4,11.9,9.2
1991/12/14,10.4,12.2,5.8
1991/12/15,10.7,15.2,5.0
1991/12/16,12.8,16.1,8.2
1991/12/17,15.1,18.6,10.0
1991/12/18,16.2,19.1,13.7
1991/12/19,13.0,15.2,9.7
1991/12/20,11.4,12.9,10.0
1991/12/21,11.5,15.6,8.9
1991/12/22,13.9,15.9,9.9
1991/12/23,15.3,18.5,12.6
1991/12/24,16.5,18.2,15.4
1991/12/25,14.6,16.3,10.5
1991/12/26,9.6,11.8,8.0
1991/12/27,11.4,14.5,7.2
1991/12/28,12.2,16.8,9.0
1991/12/29,7.9,9.3,5.6
1991/12/30,7.5,9.5,5.8
1991/12/31,7.8,11.6,2.9
1992/1/1,12.1,13.8,10.1
1992/1/2,11.5,13.7,7.8
1992/1/3,12.6,13.4,11.7
1992/1/4,11.3,12.2,8.3
1992/1/5,10.6,12.6,8.0
1992/1/6,11.0,14.9,6.8
1992/1/7,11.9,14.4,9.8
1992/1/8,13.4,15.3,11.7
1992/1/9,11.8,14.5,10.1
1992/1/10,11.2,12.7,7.2
1992/1/11,8.4,11.2,6.1
1992/1/12,11.7,15.7,6.2
1992/1/13,13.3,14.9,12.1
1992/1/14,11.7,14.6,8.9
1992/1/15,8.4,10.6,6.1
1992/1/16,10.0,10.9,9.0
1992/1/17,10.7,12.5,8.7
1992/1/18,8.5,9.9,7.9
1992/1/19,8.0,8.8,6.9
1992/1/20,8.0,10.6,4.6
1992/1/21,9.5,12.4,3.8
1992/1/22,11.1,12.7,9.4
1992/1/23,9.4,10.3,8.4
1992/1/24,8.4,9.1,7.4
1992/1/25,10.4,11.8,8.8
1992/1/26,11.9,12.6,10.6
1992/1/27,12.0,13.0,10.3
1992/1/28,12.3,14.2,11.0
1992/1/29,14.4,16.4,12.6
1992/1/30,13.2,14.9,11.7
1992/1/31,10.4,12.3,7.0
1992/2/1,6.4,8.4,2.2
1992/2/2,6.5,9.8,2.2
1992/2/3,12.4,15.3,8.5
1992/2/4,13.9,16.2,9.9
1992/2/5,9.4,10.7,8.6
1992/2/6,9.9,10.9,8.8
1992/2/7,10.0,11.7,5.6
1992/2/8,9.6,10.7,6.9
1992/2/9,6.5,9.6,3.1
1992/2/10,8.8,10.0,5.2
1992/2/11,9.1,10.7,5.9
1992/2/12,9.8,12.4,6.9
1992/2/13,11.3,12.5,9.1
1992/2/14,10.6,11.6,9.8
1992/2/15,9.6,11.7,7.7
1992/2/16,10.0,12.3,7.6
1992/2/17,8.5,12.3,4.7
1992/2/18,10.5,11.9,8.3
1992/2/19,10.2,11.1,9.3
1992/2/20,8.7,10.0,6.7
1992/2/21,7.5,9.5,3.8
1992/2/22,7.0,7.9,5.6
1992/2/23,8.1,9.5,6.3
1992/2/24,7.4,9.9,5.0
1992/2/25,7.8,9.0,6.4
1992/2/26,7.6,10.2,4.0
1992/2/27,10.1,13.7,2.8
1992/2/28,13.5,16.2,6.8
1992/2/29,16.2,18.7,11.7
1992/3/1,16.8,18.1,14.6
1992/3/2,12.5,14.7,10.7
1992/3/3,10.4,12.2,9.4
1992/3/4,10.4,13.3,8.3
1992/3/5,11.5,14.8,9.3
1992/3/6,12.3,14.9,6.9
1992/3/7,7.8,10.4,5.0
1992/3/8,11.7,13.9,6.5
1992/3/9,13.3,16.3,9.4
1992/3/10,13.6,16.0,12.1
1992/3/11,13.6,16.5,8.8
1992/3/12,13.1,15.3,9.5
1992/3/13,14.6,17.1,11.8
1992/3/14,15.8,18.6,11.2
1992/3/15,17.7,20.4,12.4
1992/3/16,15.0,18.5,12.5
1992/3/17,10.1,12.9,8.8
1992/3/18,12.5,17.9,10.4
1992/3/19,13.2,15.1,11.0
1992/3/20,13.0,15.6,11.1
1992/3/21,10.3,14.8,6.8
1992/3/22,10.2,12.8,5.9
1992/3/23,11.8,13.6,10.0
1992/3/24,11.6,13.5,9.8
1992/3/25,13.6,15.5,11.7
1992/3/26,13.6,15.2,11.4
1992/3/27,12.3,13.7,9.8
1992/3/28,13.8,15.5,12.0
1992/3/29,14.7,16.6,13.3
1992/3/30,15.4,18.1,13.4
1992/3/31,14.9,17.6,12.7
