ダウンロードした時刻：2019/10/10 16:03:01

,八丈島,八丈島,八丈島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,18.6,19.7,17.7
1997/12/2,13.6,19.6,8.7
1997/12/3,9.0,11.2,7.0
1997/12/4,10.1,14.9,6.5
1997/12/5,13.4,17.7,8.2
1997/12/6,16.9,19.7,14.5
1997/12/7,20.8,22.8,18.3
1997/12/8,21.2,22.6,18.2
1997/12/9,16.7,20.3,13.3
1997/12/10,12.3,14.5,9.0
1997/12/11,10.7,13.9,8.5
1997/12/12,10.4,12.3,8.6
1997/12/13,10.9,13.5,9.3
1997/12/14,11.3,13.9,8.7
1997/12/15,13.5,16.4,10.3
1997/12/16,12.3,15.4,8.9
1997/12/17,13.7,17.0,8.1
1997/12/18,15.1,17.3,12.7
1997/12/19,14.6,18.1,12.3
1997/12/20,15.6,19.3,13.5
1997/12/21,16.0,19.1,13.3
1997/12/22,13.9,15.4,12.9
1997/12/23,13.1,14.1,11.8
1997/12/24,12.3,13.3,11.4
1997/12/25,13.3,15.2,11.7
1997/12/26,14.6,17.4,12.5
1997/12/27,14.2,15.9,12.4
1997/12/28,13.2,16.4,10.1
1997/12/29,12.7,15.9,9.5
1997/12/30,13.9,18.4,10.7
1997/12/31,11.8,13.9,10.2
1998/1/1,13.5,16.9,9.6
1998/1/2,13.0,17.0,9.8
1998/1/3,12.1,15.8,6.8
1998/1/4,14.6,18.3,11.1
1998/1/5,10.3,12.5,9.1
1998/1/6,10.6,12.9,8.9
1998/1/7,10.0,12.4,8.1
1998/1/8,12.5,18.9,8.2
1998/1/9,8.9,11.8,6.0
1998/1/10,11.0,13.2,7.5
1998/1/11,10.8,12.3,9.4
1998/1/12,11.2,13.7,8.5
1998/1/13,10.2,13.2,7.4
1998/1/14,12.3,15.9,9.6
1998/1/15,17.2,20.4,12.3
1998/1/16,11.1,13.2,9.6
1998/1/17,13.4,15.9,11.2
1998/1/18,15.5,19.2,13.2
1998/1/19,10.5,13.8,6.6
1998/1/20,7.7,9.9,6.0
1998/1/21,10.3,11.2,9.3
1998/1/22,9.8,12.1,8.5
1998/1/23,9.0,11.0,7.5
1998/1/24,7.4,10.1,3.5
1998/1/25,5.6,7.6,2.6
1998/1/26,9.3,12.1,7.2
1998/1/27,9.3,11.8,6.9
1998/1/28,9.8,12.0,8.4
1998/1/29,7.6,10.3,5.0
1998/1/30,9.4,13.1,3.8
1998/1/31,11.8,14.2,9.7
1998/2/1,9.5,12.7,7.7
1998/2/2,9.9,13.9,6.2
1998/2/3,12.5,16.8,6.2
1998/2/4,11.6,13.7,8.6
1998/2/5,9.2,11.8,6.6
1998/2/6,9.7,13.1,7.9
1998/2/7,11.7,14.9,8.6
1998/2/8,11.4,14.8,7.0
1998/2/9,8.9,10.9,6.6
1998/2/10,11.5,15.8,7.3
1998/2/11,9.6,12.7,7.2
1998/2/12,15.8,19.0,7.7
1998/2/13,18.1,20.6,15.4
1998/2/14,18.9,20.0,17.1
1998/2/15,13.0,17.3,9.8
1998/2/16,10.7,13.5,9.3
1998/2/17,11.0,13.4,7.9
1998/2/18,8.9,12.0,7.5
1998/2/19,11.7,14.9,8.5
1998/2/20,15.9,19.1,11.7
1998/2/21,13.0,19.2,10.2
1998/2/22,10.5,13.3,8.8
1998/2/23,11.5,15.0,8.9
1998/2/24,12.1,13.8,10.1
1998/2/25,13.7,14.9,11.8
1998/2/26,14.1,16.2,13.1
1998/2/27,13.5,16.6,11.1
1998/2/28,14.0,18.3,10.7
1998/3/1,11.0,15.3,8.5
1998/3/2,10.9,14.3,8.6
1998/3/3,12.9,16.1,8.3
1998/3/4,13.8,17.3,10.4
1998/3/5,13.0,17.1,10.9
1998/3/6,11.5,15.4,7.7
1998/3/7,12.9,16.5,9.6
1998/3/8,11.0,13.8,8.5
1998/3/9,14.1,15.8,11.8
1998/3/10,10.6,14.9,9.0
1998/3/11,11.9,14.0,9.7
1998/3/12,16.6,20.1,13.3
1998/3/13,13.6,16.6,12.1
1998/3/14,14.6,17.3,11.2
1998/3/15,11.3,16.6,7.3
1998/3/16,9.7,12.9,6.8
1998/3/17,12.1,16.4,6.9
1998/3/18,8.9,11.9,6.6
1998/3/19,12.1,16.3,5.8
1998/3/20,16.6,19.0,13.1
1998/3/21,13.3,14.9,11.7
1998/3/22,11.6,14.1,10.2
1998/3/23,11.2,14.7,7.8
1998/3/24,13.3,17.1,10.9
1998/3/25,13.5,17.9,11.2
1998/3/26,14.3,17.9,9.2
1998/3/27,17.3,19.2,13.3
1998/3/28,17.4,20.4,13.5
1998/3/29,17.2,22.1,11.9
1998/3/30,18.6,21.4,16.6
1998/3/31,18.9,22.4,16.6
