ダウンロードした時刻：2019/10/10 16:12:45

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,10.9,13.5,9.1
2000/12/2,10.1,12.9,7.4
2000/12/3,10.3,11.4,8.3
2000/12/4,9.3,11.7,6.7
2000/12/5,10.1,14.4,6.2
2000/12/6,10.0,12.9,7.1
2000/12/7,8.0,10.1,4.6
2000/12/8,9.3,12.3,6.4
2000/12/9,10.7,13.8,8.0
2000/12/10,11.8,12.6,11.2
2000/12/11,8.6,12.5,4.1
2000/12/12,4.6,7.3,3.0
2000/12/13,6.5,9.4,3.0
2000/12/14,7.3,9.2,5.0
2000/12/15,8.3,11.9,3.8
2000/12/16,11.4,15.9,7.6
2000/12/17,9.3,10.4,8.4
2000/12/18,10.1,11.9,8.4
2000/12/19,11.5,14.1,9.3
2000/12/20,8.9,11.1,7.8
2000/12/21,8.7,11.2,5.6
2000/12/22,7.0,10.9,3.6
2000/12/23,9.4,14.0,5.2
2000/12/24,7.1,9.2,4.8
2000/12/25,5.6,11.0,2.7
2000/12/26,3.8,5.8,2.4
2000/12/27,4.7,8.0,1.3
2000/12/28,6.6,10.1,3.5
2000/12/29,5.8,8.8,3.1
2000/12/30,6.1,8.0,3.5
2000/12/31,7.7,8.6,6.3
2001/1/1,5.5,8.4,3.4
2001/1/2,7.1,11.1,3.6
2001/1/3,4.5,7.2,1.8
2001/1/4,3.2,5.4,1.6
2001/1/5,3.9,6.7,1.5
2001/1/6,4.4,6.6,3.4
2001/1/7,4.1,6.9,2.7
2001/1/8,7.7,11.2,5.6
2001/1/9,7.4,14.8,3.3
2001/1/10,8.4,15.1,3.4
2001/1/11,6.0,9.7,2.8
2001/1/12,3.9,6.8,1.5
2001/1/13,2.5,4.7,0.7
2001/1/14,0.7,2.7,-0.8
2001/1/15,-0.5,2.3,-2.2
2001/1/16,0.6,3.5,-0.8
2001/1/17,1.7,5.1,-1.0
2001/1/18,3.7,7.3,-0.3
2001/1/19,3.7,5.7,1.8
2001/1/20,2.9,4.5,1.7
2001/1/21,6.1,8.4,4.0
2001/1/22,5.6,9.3,2.1
2001/1/23,5.0,9.2,2.3
2001/1/24,3.4,5.9,0.5
2001/1/25,4.6,7.2,3.3
2001/1/26,5.9,7.7,4.1
2001/1/27,4.6,6.6,2.8
2001/1/28,5.2,8.4,2.2
2001/1/29,3.0,6.1,0.9
2001/1/30,3.5,6.7,1.0
2001/1/31,4.2,8.0,0.3
2001/2/1,5.0,6.8,3.3
2001/2/2,3.2,6.3,-0.1
2001/2/3,3.5,7.5,-0.4
2001/2/4,4.7,6.2,2.8
2001/2/5,5.9,8.2,3.3
2001/2/6,6.1,7.1,4.8
2001/2/7,5.4,7.0,4.1
2001/2/8,5.3,8.3,2.8
2001/2/9,4.2,8.1,1.7
2001/2/10,4.1,8.1,1.3
2001/2/11,3.9,8.3,-1.0
2001/2/12,3.8,5.9,2.8
2001/2/13,4.3,6.8,2.9
2001/2/14,3.3,6.6,0.6
2001/2/15,3.0,6.8,-1.0
2001/2/16,4.1,7.8,0.4
2001/2/17,3.1,7.3,-1.0
2001/2/18,6.6,10.9,3.1
2001/2/19,8.6,13.1,4.4
2001/2/20,6.2,9.0,4.2
2001/2/21,7.4,12.9,3.5
2001/2/22,9.7,14.0,6.5
2001/2/23,10.4,14.8,6.5
2001/2/24,8.1,9.8,6.3
2001/2/25,5.0,8.2,2.3
2001/2/26,3.9,7.3,1.3
2001/2/27,5.9,10.6,1.6
2001/2/28,11.3,15.5,8.4
2001/3/1,7.2,8.9,5.4
2001/3/2,6.1,9.6,3.9
2001/3/3,7.1,11.0,3.4
2001/3/4,6.3,10.9,0.5
2001/3/5,4.9,8.9,0.5
2001/3/6,9.0,13.6,3.8
2001/3/7,8.8,13.1,4.2
2001/3/8,2.9,7.3,0.5
2001/3/9,2.6,5.8,0.4
2001/3/10,5.1,11.3,-0.6
2001/3/11,4.2,7.6,2.2
2001/3/12,4.8,8.5,1.1
2001/3/13,4.9,8.8,2.7
2001/3/14,9.5,15.9,2.9
2001/3/15,12.0,19.0,5.7
2001/3/16,6.8,9.8,2.6
2001/3/17,7.5,8.8,6.1
2001/3/18,10.6,15.3,8.3
2001/3/19,12.2,17.1,8.0
2001/3/20,13.7,18.6,9.4
2001/3/21,14.5,19.1,10.5
2001/3/22,14.0,20.2,8.9
2001/3/23,13.5,16.3,11.3
2001/3/24,13.4,18.2,9.0
2001/3/25,12.1,13.2,11.1
2001/3/26,11.9,15.5,8.4
2001/3/27,9.8,13.9,6.2
2001/3/28,10.2,13.5,7.8
2001/3/29,10.0,14.3,5.9
2001/3/30,7.5,11.9,4.3
2001/3/31,6.1,10.6,2.4
