ダウンロードした時刻：2017/07/24 15:41:44

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,5.2,10.6,1.1
1985/1/2,5.8,10.4,1.7
1985/1/3,4.7,7.0,3.4
1985/1/4,4.8,10.6,0.7
1985/1/5,2.6,6.9,-0.5
1985/1/6,4.0,7.9,0.5
1985/1/7,3.4,7.2,0.4
1985/1/8,4.0,8.2,-0.5
1985/1/9,4.8,10.5,-0.3
1985/1/10,5.1,8.6,2.2
1985/1/11,6.6,10.5,3.2
1985/1/12,6.3,10.5,0.9
1985/1/13,4.0,7.3,1.6
1985/1/14,0.6,4.5,-1.9
1985/1/15,0.6,4.7,-2.5
1985/1/16,4.0,10.4,-1.3
1985/1/17,2.8,7.0,-0.3
1985/1/18,2.7,6.9,-1.3
1985/1/19,6.0,10.7,2.5
1985/1/20,6.8,11.5,4.1
1985/1/21,4.2,8.8,1.7
1985/1/22,6.1,10.9,0.7
1985/1/23,7.4,12.6,3.6
1985/1/24,4.6,7.5,1.7
1985/1/25,3.7,8.3,0.7
1985/1/26,3.4,8.2,0.0
1985/1/27,4.4,9.3,-1.5
1985/1/28,6.2,11.4,2.5
1985/1/29,2.1,6.0,-1.2
1985/1/30,0.1,3.7,-2.4
1985/1/31,1.0,5.4,-3.1
1985/2/1,5.3,9.9,-0.7
1985/2/2,7.1,11.7,2.6
1985/2/3,6.8,11.6,0.9
1985/2/4,7.6,12.5,3.4
1985/2/5,7.6,9.6,6.0
1985/2/6,8.6,11.8,3.4
1985/2/7,9.7,15.9,4.7
1985/2/8,10.4,14.6,6.0
1985/2/9,12.1,16.5,8.8
1985/2/10,9.9,14.4,5.4
1985/2/11,6.7,11.4,3.9
1985/2/12,7.0,10.6,2.7
1985/2/13,7.1,11.7,3.6
1985/2/14,3.2,7.2,0.2
1985/2/15,4.7,8.9,0.2
1985/2/16,5.5,7.6,3.4
1985/2/17,7.0,12.7,3.6
1985/2/18,7.0,10.6,1.8
1985/2/19,7.9,10.9,6.5
1985/2/20,7.7,10.9,5.2
1985/2/21,4.7,8.7,-0.3
1985/2/22,1.8,5.9,-0.8
1985/2/23,3.3,7.1,0.4
1985/2/24,1.9,5.4,-0.4
1985/2/25,4.3,9.6,0.0
1985/2/26,5.2,8.4,1.6
1985/2/27,7.7,11.9,2.5
1985/2/28,8.6,10.2,5.7
1985/3/1,10.2,15.6,7.3
1985/3/2,9.7,13.6,6.9
1985/3/3,9.0,14.9,4.8
1985/3/4,8.0,14.0,2.5
1985/3/5,8.8,12.0,6.2
1985/3/6,8.2,12.3,4.9
1985/3/7,9.5,14.3,3.4
1985/3/8,11.8,15.1,8.4
1985/3/9,11.6,16.8,7.4
1985/3/10,9.3,14.5,5.2
1985/3/11,8.8,10.0,8.1
1985/3/12,7.5,11.7,4.2
1985/3/13,8.7,14.9,3.0
1985/3/14,8.2,9.1,7.1
1985/3/15,8.3,10.5,6.1
1985/3/16,8.3,11.2,5.7
1985/3/17,9.9,12.0,6.8
1985/3/18,13.3,18.2,7.3
1985/3/19,10.5,13.7,8.3
1985/3/20,10.8,14.6,7.2
1985/3/21,9.5,11.8,7.1
1985/3/22,10.3,15.3,5.8
1985/3/23,10.2,14.1,5.9
1985/3/24,11.1,16.2,7.2
1985/3/25,12.7,15.7,7.8
1985/3/26,15.8,21.1,11.3
1985/3/27,12.0,13.8,9.7
1985/3/28,13.8,19.5,10.0
1985/3/29,13.9,18.8,8.8
1985/3/30,10.2,14.1,6.5
1985/3/31,7.5,12.2,4.4
1985/4/1,9.0,14.9,3.9
1985/4/2,10.3,15.0,4.0
1985/4/3,14.6,18.4,9.1
1985/4/4,14.7,16.5,12.0
1985/4/5,13.7,18.2,10.1
1985/4/6,13.4,18.0,7.1
1985/4/7,13.1,15.9,11.8
1985/4/8,16.8,22.3,11.9
1985/4/9,16.5,22.1,11.8
1985/4/10,15.9,20.0,11.6
1985/4/11,15.6,18.8,13.0
1985/4/12,13.5,15.9,12.1
1985/4/13,15.3,18.7,13.1
1985/4/14,15.0,18.6,13.1
1985/4/15,12.4,15.7,9.4
1985/4/16,13.4,18.1,10.4
1985/4/17,14.0,18.4,9.2
1985/4/18,11.7,14.5,9.1
1985/4/19,14.6,17.5,9.1
1985/4/20,16.4,22.4,12.8
1985/4/21,15.7,20.8,10.4
1985/4/22,15.4,18.4,12.6
1985/4/23,19.2,26.0,14.4
1985/4/24,16.7,21.2,12.0
1985/4/25,15.3,19.6,9.8
1985/4/26,17.4,21.8,12.1
1985/4/27,16.8,20.9,13.9
1985/4/28,14.8,18.7,11.1
1985/4/29,15.4,21.0,9.4
1985/4/30,16.6,21.6,11.7
1985/5/1,17.2,21.9,11.7
