ダウンロードした時刻：2019/10/10 15:37:12

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,-0.3,5.5,-3.8
2000/12/2,0.2,7.7,-5.6
2000/12/3,2.3,4.5,-1.1
2000/12/4,1.4,3.6,0.0
2000/12/5,-0.2,3.5,-2.0
2000/12/6,-2.4,-0.1,-5.3
2000/12/7,-2.9,3.2,-8.7
2000/12/8,0.5,5.8,-4.0
2000/12/9,3.6,8.1,1.0
2000/12/10,4.3,8.5,0.8
2000/12/11,-2.1,1.5,-5.7
2000/12/12,-3.8,-0.9,-5.6
2000/12/13,-0.8,1.7,-3.8
2000/12/14,-1.8,1.6,-6.3
2000/12/15,2.3,6.2,-2.6
2000/12/16,1.3,5.3,-2.8
2000/12/17,-0.3,4.4,-4.1
2000/12/18,-1.7,2.6,-6.7
2000/12/19,3.4,8.5,-0.4
2000/12/20,2.8,5.2,0.6
2000/12/21,2.5,5.8,-0.3
2000/12/22,-0.1,4.3,-3.7
2000/12/23,2.2,6.8,-3.4
2000/12/24,1.9,7.3,-2.0
2000/12/25,-2.0,1.3,-4.5
2000/12/26,-5.6,-3.6,-7.4
2000/12/27,-2.3,1.1,-7.3
2000/12/28,-2.5,2.6,-6.1
2000/12/29,-3.0,0.6,-6.0
2000/12/30,-2.5,2.4,-8.7
2000/12/31,1.1,4.5,-2.7
2001/1/1,0.6,4.2,-2.4
2001/1/2,-1.6,-0.3,-2.7
2001/1/3,-3.4,-1.5,-5.6
2001/1/4,-2.9,-1.2,-4.8
2001/1/5,-1.7,1.7,-5.1
2001/1/6,-2.9,0.4,-4.9
2001/1/7,-3.9,0.1,-7.5
2001/1/8,-3.6,-2.0,-6.8
2001/1/9,-5.1,-0.5,-11.7
2001/1/10,1.4,6.5,-2.3
2001/1/11,-4.7,-1.7,-8.2
2001/1/12,-6.9,-5.2,-8.0
2001/1/13,-7.7,-3.9,-12.2
2001/1/14,-8.7,-3.5,-14.3
2001/1/15,-6.0,-3.4,-8.5
2001/1/16,-6.4,-1.4,-11.9
2001/1/17,-8.9,-2.9,-14.2
2001/1/18,-6.6,-3.5,-10.3
2001/1/19,-6.6,-0.9,-11.2
2001/1/20,-6.3,-2.5,-11.9
2001/1/21,-2.1,2.7,-4.4
2001/1/22,-2.8,-0.2,-6.1
2001/1/23,-4.5,0.1,-8.4
2001/1/24,-3.9,1.4,-7.8
2001/1/25,-4.3,0.8,-9.4
2001/1/26,-2.0,0.8,-4.1
2001/1/27,-2.5,-0.5,-5.2
2001/1/28,0.1,4.1,-1.5
2001/1/29,-2.1,1.8,-7.1
2001/1/30,-4.0,0.1,-9.7
2001/1/31,-3.0,-0.4,-6.3
2001/2/1,-0.9,2.1,-5.3
2001/2/2,-5.3,-1.8,-7.4
2001/2/3,-6.8,-2.9,-9.5
2001/2/4,-4.9,-2.2,-9.8
2001/2/5,-1.0,1.5,-5.2
2001/2/6,-0.3,2.9,-4.8
2001/2/7,-5.0,-0.4,-10.1
2001/2/8,-3.2,0.4,-5.8
2001/2/9,-3.8,0.0,-6.8
2001/2/10,-2.8,1.8,-7.9
2001/2/11,-6.7,-3.0,-10.6
2001/2/12,-6.4,-2.4,-11.0
2001/2/13,-6.1,-1.7,-12.0
2001/2/14,-6.3,-2.0,-10.8
2001/2/15,-7.0,-2.1,-11.9
2001/2/16,-5.5,-2.2,-7.8
2001/2/17,-3.0,1.4,-9.7
2001/2/18,2.1,6.1,-1.9
2001/2/19,-1.3,2.4,-5.6
2001/2/20,-2.5,1.6,-7.3
2001/2/21,-1.8,3.2,-8.2
2001/2/22,3.9,8.2,-1.0
2001/2/23,3.4,7.8,-1.0
2001/2/24,-1.5,1.3,-3.2
2001/2/25,-3.4,1.2,-7.0
2001/2/26,-2.7,0.3,-6.2
2001/2/27,1.9,6.6,-4.5
2001/2/28,2.3,5.0,-2.4
2001/3/1,1.9,6.0,-1.8
2001/3/2,1.5,4.9,-0.9
2001/3/3,2.0,5.7,-2.4
2001/3/4,3.6,6.1,0.9
2001/3/5,-0.9,1.3,-2.3
2001/3/6,-0.1,2.3,-2.4
2001/3/7,-0.9,3.9,-3.0
2001/3/8,-2.5,0.9,-6.3
2001/3/9,-3.5,1.8,-8.8
2001/3/10,-3.5,0.8,-7.9
2001/3/11,-3.9,1.1,-9.6
2001/3/12,-2.0,2.1,-7.3
2001/3/13,-0.5,4.4,-4.4
2001/3/14,1.3,6.5,-3.5
2001/3/15,2.8,7.4,-0.2
2001/3/16,0.8,4.6,-3.1
2001/3/17,4.3,10.0,0.4
2001/3/18,4.6,8.4,1.6
2001/3/19,7.5,10.8,4.0
2001/3/20,8.9,15.6,0.6
2001/3/21,6.4,11.5,-1.2
2001/3/22,5.2,13.0,-3.5
2001/3/23,5.5,11.1,1.0
2001/3/24,7.4,16.1,0.2
2001/3/25,9.0,17.7,-0.9
2001/3/26,6.9,10.7,1.0
2001/3/27,1.7,5.9,-1.0
2001/3/28,2.7,7.5,-1.1
2001/3/29,1.4,6.9,-2.8
2001/3/30,1.4,5.4,-0.2
2001/3/31,1.9,6.4,-2.3
