ダウンロードした時刻：2019/10/10 16:17:39

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/12/1,9.6,13.3,6.5
2000/12/2,10.4,17.2,4.2
2000/12/3,10.7,14.1,8.1
2000/12/4,10.2,16.0,6.2
2000/12/5,9.2,17.1,3.7
2000/12/6,9.1,16.6,3.6
2000/12/7,9.5,16.2,3.8
2000/12/8,10.7,17.8,5.7
2000/12/9,11.1,18.5,5.5
2000/12/10,12.9,17.5,10.5
2000/12/11,11.0,15.6,6.5
2000/12/12,6.1,11.7,2.2
2000/12/13,6.5,11.7,1.7
2000/12/14,7.5,11.6,3.2
2000/12/15,7.2,15.5,1.3
2000/12/16,9.2,17.5,2.1
2000/12/17,10.6,11.5,9.5
2000/12/18,11.4,14.0,8.2
2000/12/19,13.1,19.2,9.5
2000/12/20,9.5,12.0,6.7
2000/12/21,10.2,14.5,5.1
2000/12/22,7.7,14.3,2.5
2000/12/23,8.7,15.3,3.0
2000/12/24,7.2,13.6,2.7
2000/12/25,6.0,13.2,1.0
2000/12/26,4.0,11.0,-1.5
2000/12/27,5.0,12.5,-0.9
2000/12/28,7.4,14.8,2.4
2000/12/29,6.7,13.4,1.4
2000/12/30,7.7,12.2,2.8
2000/12/31,9.6,14.0,6.6
2001/1/1,7.1,12.1,3.2
2001/1/2,6.4,13.6,2.2
2001/1/3,5.8,11.7,1.1
2001/1/4,5.0,10.2,-0.2
2001/1/5,3.6,10.9,-1.7
2001/1/6,4.4,10.7,-0.9
2001/1/7,5.3,8.6,3.3
2001/1/8,10.1,15.6,5.3
2001/1/9,6.8,9.2,3.2
2001/1/10,10.6,15.0,4.7
2001/1/11,6.6,12.6,1.2
2001/1/12,4.9,11.3,0.2
2001/1/13,2.9,5.1,1.3
2001/1/14,1.9,6.0,-0.9
2001/1/15,0.8,5.5,-2.1
2001/1/16,0.2,6.8,-4.4
2001/1/17,1.5,8.4,-4.3
2001/1/18,3.5,11.0,-2.9
2001/1/19,5.2,11.6,-0.4
2001/1/20,5.9,9.0,4.4
2001/1/21,7.6,13.5,2.4
2001/1/22,6.2,11.2,1.3
2001/1/23,7.1,14.3,1.6
2001/1/24,6.8,11.3,1.4
2001/1/25,8.3,12.5,5.6
2001/1/26,10.0,12.7,7.8
2001/1/27,9.4,13.7,6.4
2001/1/28,6.9,12.6,2.6
2001/1/29,4.2,10.4,0.0
2001/1/30,4.3,10.9,-0.8
2001/1/31,6.1,11.9,-0.4
2001/2/1,7.3,12.5,4.9
2001/2/2,5.8,10.7,0.6
2001/2/3,5.4,12.4,-1.2
2001/2/4,6.6,9.2,4.2
2001/2/5,10.3,15.4,6.2
2001/2/6,11.2,16.9,8.8
2001/2/7,9.0,10.4,7.5
2001/2/8,7.8,14.2,3.4
2001/2/9,6.1,12.2,0.9
2001/2/10,6.4,11.7,2.3
2001/2/11,6.1,13.2,-0.7
2001/2/12,7.3,11.0,4.2
2001/2/13,6.5,9.7,4.8
2001/2/14,5.1,11.4,1.6
2001/2/15,4.3,11.3,-1.5
2001/2/16,5.0,10.4,1.9
2001/2/17,4.7,10.4,-0.6
2001/2/18,7.1,14.2,1.9
2001/2/19,10.1,17.7,2.9
2001/2/20,10.4,16.0,4.1
2001/2/21,11.1,15.2,8.3
2001/2/22,13.9,18.5,7.7
2001/2/23,14.8,19.6,10.1
2001/2/24,15.7,21.7,10.8
2001/2/25,8.3,12.5,4.5
2001/2/26,6.5,12.1,1.3
2001/2/27,8.2,15.1,1.1
2001/2/28,10.4,12.3,8.2
2001/3/1,13.1,18.7,8.0
2001/3/2,9.8,14.8,5.5
2001/3/3,9.2,15.0,3.3
2001/3/4,7.9,12.8,1.3
2001/3/5,7.3,14.1,1.0
2001/3/6,9.7,16.2,4.2
2001/3/7,10.6,16.6,5.7
2001/3/8,4.1,9.8,-0.6
2001/3/9,3.0,9.9,-2.1
2001/3/10,6.3,13.9,-1.7
2001/3/11,8.8,13.0,5.7
2001/3/12,8.6,14.0,3.4
2001/3/13,8.5,16.4,2.0
2001/3/14,11.0,17.0,3.5
2001/3/15,14.6,22.8,10.0
2001/3/16,11.2,16.4,4.9
2001/3/17,10.6,11.8,9.3
2001/3/18,14.0,21.0,9.2
2001/3/19,12.6,18.7,7.1
2001/3/20,13.1,19.9,6.2
2001/3/21,15.0,22.3,9.2
2001/3/22,14.9,20.8,8.4
2001/3/23,15.4,20.4,11.6
2001/3/24,15.9,20.8,10.8
2001/3/25,15.1,16.5,14.1
2001/3/26,15.5,21.0,9.7
2001/3/27,12.4,18.3,7.3
2001/3/28,13.9,18.6,10.4
2001/3/29,12.3,16.8,5.9
2001/3/30,10.3,16.4,3.7
2001/3/31,8.9,12.9,4.5
