ダウンロードした時刻：2019/10/10 15:53:08

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,6.6,12.8,3.1
1989/12/2,7.1,13.4,0.8
1989/12/3,8.6,15.7,3.0
1989/12/4,10.2,17.4,3.2
1989/12/5,11.4,18.7,5.9
1989/12/6,9.6,15.5,4.7
1989/12/7,8.2,14.1,1.4
1989/12/8,8.0,11.8,4.7
1989/12/9,4.3,7.5,2.5
1989/12/10,6.0,10.8,1.3
1989/12/11,5.8,8.8,0.5
1989/12/12,7.8,13.8,3.8
1989/12/13,6.4,11.5,0.6
1989/12/14,5.7,7.4,4.1
1989/12/15,6.9,11.1,2.2
1989/12/16,7.3,13.7,0.1
1989/12/17,8.8,13.6,4.2
1989/12/18,9.1,14.8,4.0
1989/12/19,3.6,6.6,0.3
1989/12/20,5.6,11.5,-0.2
1989/12/21,6.1,8.7,3.9
1989/12/22,6.2,9.8,1.5
1989/12/23,8.2,15.8,1.1
1989/12/24,5.8,7.1,4.2
1989/12/25,7.3,13.6,2.0
1989/12/26,8.6,12.0,5.4
1989/12/27,7.7,11.9,4.2
1989/12/28,5.6,9.6,0.9
1989/12/29,6.1,10.3,3.5
1989/12/30,4.8,8.7,1.9
1989/12/31,3.0,6.1,0.0
1990/1/1,1.6,5.1,-1.5
1990/1/2,4.5,8.3,1.2
1990/1/3,4.2,10.4,0.6
1990/1/4,3.7,8.8,-0.3
1990/1/5,3.4,9.1,-2.3
1990/1/6,4.4,8.4,2.1
1990/1/7,3.8,7.8,0.6
1990/1/8,3.9,10.2,-2.6
1990/1/9,7.0,11.7,1.0
1990/1/10,8.8,12.6,5.9
1990/1/11,7.7,11.1,3.8
1990/1/12,7.0,9.6,3.7
1990/1/13,5.8,10.2,1.2
1990/1/14,3.3,7.0,-1.9
1990/1/15,5.2,9.3,0.9
1990/1/16,4.4,8.5,2.5
1990/1/17,5.4,10.9,1.5
1990/1/18,5.6,10.0,0.4
1990/1/19,8.0,10.8,6.2
1990/1/20,4.3,7.3,1.2
1990/1/21,3.2,8.8,-0.7
1990/1/22,4.1,8.6,-1.1
1990/1/23,3.3,6.6,1.0
1990/1/24,1.3,5.4,-1.8
1990/1/25,-0.4,4.9,-3.4
1990/1/26,0.0,4.0,-3.2
1990/1/27,0.1,5.9,-3.9
1990/1/28,3.0,8.0,-2.0
1990/1/29,2.9,4.3,0.5
1990/1/30,5.6,9.2,2.4
1990/1/31,2.7,3.6,1.3
1990/2/1,3.2,5.3,0.7
1990/2/2,4.2,10.0,-0.7
1990/2/3,5.0,8.1,3.2
1990/2/4,6.5,12.8,1.2
1990/2/5,7.4,12.8,3.3
1990/2/6,6.6,10.8,0.8
1990/2/7,9.2,14.8,5.5
1990/2/8,7.2,11.8,2.9
1990/2/9,6.6,13.4,1.4
1990/2/10,7.4,12.4,1.6
1990/2/11,10.5,12.7,8.0
1990/2/12,7.2,11.7,2.7
1990/2/13,6.9,11.2,4.4
1990/2/14,5.6,7.7,2.8
1990/2/15,8.4,13.5,6.2
1990/2/16,8.3,13.7,6.0
1990/2/17,8.1,14.5,2.5
1990/2/18,9.1,15.1,1.1
1990/2/19,10.5,12.7,9.1
1990/2/20,13.8,18.8,9.9
1990/2/21,11.8,17.1,7.3
1990/2/22,12.6,18.3,4.9
1990/2/23,11.9,13.4,10.7
1990/2/24,12.8,17.7,9.1
1990/2/25,9.1,11.2,6.9
1990/2/26,8.2,11.2,5.1
1990/2/27,8.2,13.3,4.3
1990/2/28,8.4,13.5,3.3
1990/3/1,8.7,9.8,7.2
1990/3/2,9.4,11.5,8.4
1990/3/3,9.6,12.4,7.4
1990/3/4,9.1,13.8,5.4
1990/3/5,7.9,13.7,3.1
1990/3/6,8.3,12.7,3.2
1990/3/7,6.2,11.3,2.5
1990/3/8,4.3,8.2,-0.4
1990/3/9,8.3,15.8,1.0
1990/3/10,10.6,17.6,2.8
1990/3/11,10.8,16.6,3.3
1990/3/12,9.8,17.8,4.1
1990/3/13,5.8,10.2,2.2
1990/3/14,8.2,14.6,-1.0
1990/3/15,10.4,16.8,6.2
1990/3/16,10.0,14.8,5.3
1990/3/17,9.1,15.1,3.0
1990/3/18,7.2,14.3,3.4
1990/3/19,10.0,16.3,5.2
1990/3/20,10.4,18.5,3.7
1990/3/21,10.3,17.1,5.4
1990/3/22,11.4,18.6,4.3
1990/3/23,14.4,21.8,6.3
1990/3/24,12.3,14.8,10.0
1990/3/25,9.4,14.0,5.8
1990/3/26,8.7,15.3,3.8
1990/3/27,10.6,17.6,1.6
1990/3/28,9.8,12.9,8.3
1990/3/29,10.4,13.8,8.0
1990/3/30,11.4,13.1,10.3
1990/3/31,12.1,13.1,10.4
