ダウンロードした時刻：2019/10/10 16:19:42

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,6.1,10.1,0.5
1981/12/2,1.5,5.9,-1.5
1981/12/3,4.7,13.0,-1.5
1981/12/4,6.4,12.8,-0.5
1981/12/5,8.8,13.9,4.1
1981/12/6,6.7,12.3,2.4
1981/12/7,6.5,11.3,2.0
1981/12/8,6.9,11.8,2.6
1981/12/9,8.7,12.7,4.4
1981/12/10,9.9,14.7,4.8
1981/12/11,9.5,12.3,7.9
1981/12/12,9.8,13.2,6.7
1981/12/13,6.0,10.2,3.5
1981/12/14,3.8,7.3,1.1
1981/12/15,2.0,6.1,-0.1
1981/12/16,6.1,11.3,1.7
1981/12/17,8.0,12.7,3.4
1981/12/18,10.5,12.9,7.8
1981/12/19,5.8,10.4,2.9
1981/12/20,6.1,9.4,3.7
1981/12/21,8.0,11.3,3.9
1981/12/22,9.6,13.7,5.5
1981/12/23,8.9,13.0,5.1
1981/12/24,2.7,7.2,-0.4
1981/12/25,5.5,12.5,-1.2
1981/12/26,11.2,17.3,5.5
1981/12/27,11.3,17.7,6.9
1981/12/28,9.4,16.1,4.0
1981/12/29,11.1,15.6,5.9
1981/12/30,8.5,11.7,6.0
1981/12/31,6.3,9.2,3.2
1982/1/1,4.6,8.4,0.8
1982/1/2,3.7,9.4,-0.9
1982/1/3,8.5,13.7,0.1
1982/1/4,11.7,16.3,8.3
1982/1/5,7.0,10.0,4.6
1982/1/6,5.7,11.0,2.8
1982/1/7,5.4,9.0,3.3
1982/1/8,6.7,10.2,3.4
1982/1/9,8.0,12.2,2.7
1982/1/10,5.7,13.6,1.3
1982/1/11,11.8,17.8,1.6
1982/1/12,6.1,14.7,-1.0
1982/1/13,1.5,5.3,-1.1
1982/1/14,1.5,5.4,-1.3
1982/1/15,0.9,6.2,-3.6
1982/1/16,1.1,3.7,-0.8
1982/1/17,1.7,5.2,-2.1
1982/1/18,2.4,4.4,-0.2
1982/1/19,0.5,3.0,-0.9
1982/1/20,2.3,7.9,-3.6
1982/1/21,6.9,10.7,2.9
1982/1/22,7.0,8.5,5.4
1982/1/23,5.3,11.6,1.0
1982/1/24,7.7,11.2,2.7
1982/1/25,6.5,9.3,3.0
1982/1/26,6.2,11.5,3.3
1982/1/27,3.0,5.2,0.2
1982/1/28,-0.7,2.7,-3.0
1982/1/29,-1.8,2.3,-4.7
1982/1/30,-0.7,6.0,-5.9
1982/1/31,1.6,5.2,-3.5
1982/2/1,3.0,7.1,-1.5
1982/2/2,2.1,8.6,-3.0
1982/2/3,4.7,7.9,-0.7
1982/2/4,4.9,7.1,3.3
1982/2/5,4.3,8.9,-1.0
1982/2/6,1.9,7.0,-0.6
1982/2/7,0.9,6.3,-2.1
1982/2/8,1.5,6.7,-3.0
1982/2/9,3.2,8.0,-3.1
1982/2/10,3.1,9.8,-1.0
1982/2/11,4.0,10.1,-2.1
1982/2/12,6.4,12.5,1.2
1982/2/13,6.7,10.5,4.1
1982/2/14,4.7,9.6,-0.1
1982/2/15,4.8,13.4,-1.6
1982/2/16,5.8,12.7,0.6
1982/2/17,7.4,13.0,2.8
1982/2/18,7.7,13.5,2.4
1982/2/19,11.9,15.9,7.7
1982/2/20,10.5,12.6,9.6
1982/2/21,8.5,11.2,3.9
1982/2/22,8.3,15.3,2.3
1982/2/23,10.2,12.8,7.2
1982/2/24,6.9,9.5,4.4
1982/2/25,7.6,12.4,2.8
1982/2/26,6.3,9.5,2.4
1982/2/27,7.9,13.1,2.6
1982/2/28,7.6,11.8,1.8
1982/3/1,7.0,10.0,5.3
1982/3/2,5.2,11.4,0.3
1982/3/3,7.3,12.9,-0.2
1982/3/4,12.8,16.1,7.1
1982/3/5,11.4,14.9,8.9
1982/3/6,8.1,11.9,4.7
1982/3/7,3.9,7.8,-0.3
1982/3/8,5.2,9.9,-0.6
1982/3/9,8.5,13.3,2.9
1982/3/10,10.3,16.3,2.6
1982/3/11,11.0,17.2,5.8
1982/3/12,10.5,13.7,6.1
1982/3/13,11.0,13.8,6.8
1982/3/14,11.9,14.2,10.6
1982/3/15,13.7,17.4,11.4
1982/3/16,12.7,17.5,8.4
1982/3/17,11.2,12.9,9.1
1982/3/18,10.2,13.1,7.4
1982/3/19,10.7,11.8,9.8
1982/3/20,11.3,15.3,9.7
1982/3/21,11.2,16.3,7.2
1982/3/22,12.5,20.9,6.2
1982/3/23,15.4,17.0,7.7
1982/3/24,10.2,14.8,8.0
1982/3/25,7.2,10.9,4.4
1982/3/26,7.2,11.5,1.7
1982/3/27,8.9,13.8,4.4
1982/3/28,10.4,15.7,4.0
1982/3/29,11.3,16.5,4.7
1982/3/30,13.1,17.6,9.7
1982/3/31,12.4,16.9,9.3
