ダウンロードした時刻：2019/10/10 16:23:05

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,13.7,18.6,7.9
1994/12/2,14.0,17.2,9.2
1994/12/3,8.7,9.4,8.2
1994/12/4,9.4,12.5,7.9
1994/12/5,12.4,15.3,8.0
1994/12/6,8.1,14.6,3.0
1994/12/7,14.0,20.5,5.6
1994/12/8,14.4,19.6,7.1
1994/12/9,17.6,19.9,13.7
1994/12/10,14.7,17.4,12.5
1994/12/11,14.2,16.4,12.6
1994/12/12,12.8,15.8,10.8
1994/12/13,10.1,11.8,7.8
1994/12/14,9.2,12.2,7.4
1994/12/15,9.3,12.2,7.8
1994/12/16,5.7,7.8,3.4
1994/12/17,6.7,8.5,2.9
1994/12/18,8.1,9.6,6.3
1994/12/19,8.4,10.9,5.5
1994/12/20,9.8,12.6,6.8
1994/12/21,9.6,11.2,8.1
1994/12/22,7.6,13.4,2.3
1994/12/23,10.6,15.3,6.3
1994/12/24,14.2,17.7,8.8
1994/12/25,14.9,17.1,12.1
1994/12/26,11.8,12.9,8.6
1994/12/27,11.7,14.0,7.8
1994/12/28,10.0,11.8,8.5
1994/12/29,9.6,13.0,5.6
1994/12/30,11.0,13.4,9.0
1994/12/31,9.6,11.8,7.6
1995/1/1,7.9,10.9,2.0
1995/1/2,6.7,13.2,-0.2
1995/1/3,10.3,12.6,6.7
1995/1/4,9.1,12.9,6.3
1995/1/5,7.6,9.2,5.6
1995/1/6,7.6,9.3,4.5
1995/1/7,10.1,15.4,5.6
1995/1/8,11.2,17.0,4.6
1995/1/9,11.9,15.8,7.3
1995/1/10,6.3,7.5,5.4
1995/1/11,5.6,7.3,4.9
1995/1/12,6.4,8.5,5.2
1995/1/13,5.6,7.3,3.6
1995/1/14,4.2,5.6,2.3
1995/1/15,6.0,7.6,4.4
1995/1/16,7.9,9.8,6.3
1995/1/17,7.0,9.0,2.4
1995/1/18,7.8,11.8,1.6
1995/1/19,7.7,10.8,5.3
1995/1/20,6.3,9.8,0.6
1995/1/21,7.9,12.8,-0.1
1995/1/22,14.8,17.7,11.6
1995/1/23,9.6,11.8,7.0
1995/1/24,6.0,7.1,5.2
1995/1/25,5.7,9.8,1.4
1995/1/26,6.9,10.1,2.1
1995/1/27,4.9,6.9,3.1
1995/1/28,5.5,7.4,3.5
1995/1/29,4.5,6.2,0.4
1995/1/30,3.5,5.4,1.8
1995/1/31,4.2,6.4,-0.1
1995/2/1,3.5,6.6,-0.7
1995/2/2,3.7,8.8,-2.2
1995/2/3,6.1,8.7,4.2
1995/2/4,6.0,8.8,2.1
1995/2/5,3.8,5.3,0.9
1995/2/6,5.8,7.7,3.9
1995/2/7,8.2,12.8,3.3
1995/2/8,8.8,15.1,3.1
1995/2/9,8.9,11.3,6.1
1995/2/10,8.4,11.2,3.2
1995/2/11,7.8,12.6,1.4
1995/2/12,12.5,15.7,8.2
1995/2/13,11.0,12.8,9.2
1995/2/14,9.0,10.6,7.4
1995/2/15,7.8,9.7,6.6
1995/2/16,6.8,9.6,5.1
1995/2/17,6.1,10.6,0.9
1995/2/18,6.3,10.8,-0.1
1995/2/19,9.8,13.5,6.5
1995/2/20,8.2,12.5,3.4
1995/2/21,9.1,11.7,4.9
1995/2/22,7.9,11.2,3.4
1995/2/23,7.8,14.2,1.5
1995/2/24,9.1,14.5,3.9
1995/2/25,9.1,13.5,6.6
1995/2/26,8.1,9.7,7.0
1995/2/27,7.3,12.2,1.3
1995/2/28,6.4,10.4,0.6
1995/3/1,7.4,10.9,3.9
1995/3/2,8.0,14.2,2.8
1995/3/3,8.2,11.0,4.8
1995/3/4,6.3,9.0,4.7
1995/3/5,6.8,10.4,4.2
1995/3/6,8.3,14.2,2.1
1995/3/7,8.8,15.5,2.3
1995/3/8,10.6,17.3,3.8
1995/3/9,13.4,14.8,11.2
1995/3/10,10.8,14.8,8.9
1995/3/11,10.3,14.1,5.9
1995/3/12,9.9,11.8,5.9
1995/3/13,9.2,13.2,4.0
1995/3/14,9.4,13.8,3.9
1995/3/15,10.9,14.1,3.8
1995/3/16,14.3,15.9,12.7
1995/3/17,8.4,12.7,5.5
1995/3/18,6.5,7.9,5.3
1995/3/19,8.2,11.8,2.2
1995/3/20,10.1,15.9,1.1
1995/3/21,14.1,16.6,10.9
1995/3/22,14.4,19.0,11.1
1995/3/23,14.2,17.7,10.3
1995/3/24,14.0,15.8,12.5
1995/3/25,10.8,12.6,7.6
1995/3/26,8.1,10.5,2.9
1995/3/27,9.9,16.0,1.9
1995/3/28,11.3,14.7,6.9
1995/3/29,10.9,12.9,7.8
1995/3/30,13.4,15.4,12.2
1995/3/31,12.8,17.7,8.1
