ダウンロードした時刻：2019/10/10 15:43:41

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,5.5,8.8,3.1
1995/12/2,7.6,10.1,3.6
1995/12/3,7.1,9.8,5.3
1995/12/4,7.0,11.1,4.0
1995/12/5,4.6,8.3,2.1
1995/12/6,5.2,8.6,1.0
1995/12/7,5.6,7.7,2.9
1995/12/8,3.4,6.6,0.1
1995/12/9,5.2,7.6,0.2
1995/12/10,5.8,8.9,3.7
1995/12/11,6.5,9.8,4.8
1995/12/12,7.8,9.9,5.9
1995/12/13,6.4,7.8,3.9
1995/12/14,6.2,9.9,2.0
1995/12/15,6.9,11.0,3.4
1995/12/16,3.5,5.4,0.9
1995/12/17,3.1,5.5,0.4
1995/12/18,4.2,6.3,3.1
1995/12/19,4.7,7.1,2.4
1995/12/20,5.4,8.9,2.6
1995/12/21,4.9,6.4,1.7
1995/12/22,5.5,8.0,2.9
1995/12/23,6.2,9.1,2.6
1995/12/24,3.9,7.7,1.1
1995/12/25,0.1,3.1,-2.6
1995/12/26,0.1,2.8,-3.4
1995/12/27,3.0,4.6,0.2
1995/12/28,1.6,4.0,-0.8
1995/12/29,3.6,7.3,-0.2
1995/12/30,2.0,4.5,0.4
1995/12/31,4.2,8.1,1.7
1996/1/1,2.6,6.4,1.3
1996/1/2,3.1,6.2,-0.5
1996/1/3,3.7,9.5,-1.1
1996/1/4,1.1,3.0,-1.4
1996/1/5,2.7,5.4,0.3
1996/1/6,4.0,6.7,1.0
1996/1/7,2.9,6.6,0.1
1996/1/8,3.1,7.6,-0.6
1996/1/9,-1.4,-0.3,-2.9
1996/1/10,2.2,4.6,-1.0
1996/1/11,5.0,7.7,2.2
1996/1/12,6.2,8.6,4.4
1996/1/13,4.7,7.6,-0.2
1996/1/14,4.3,9.7,-1.4
1996/1/15,8.1,10.8,5.2
1996/1/16,5.9,8.4,2.6
1996/1/17,2.4,4.3,0.7
1996/1/18,1.5,2.5,0.1
1996/1/19,1.7,4.5,-0.4
1996/1/20,3.1,6.2,-0.1
1996/1/21,2.4,6.3,0.6
1996/1/22,4.4,9.3,0.9
1996/1/23,2.5,5.7,0.0
1996/1/24,-0.3,1.5,-2.6
1996/1/25,-0.1,2.2,-1.6
1996/1/26,0.3,2.0,-1.9
1996/1/27,1.3,2.6,-0.3
1996/1/28,0.0,1.5,-2.5
1996/1/29,1.5,4.5,0.3
1996/1/30,-0.6,0.9,-2.3
1996/1/31,-1.9,1.2,-3.5
1996/2/1,-2.0,-0.4,-3.5
1996/2/2,-3.7,0.1,-5.9
1996/2/3,0.3,1.6,-1.5
1996/2/4,0.9,2.8,-1.8
1996/2/5,3.0,6.5,0.3
1996/2/6,2.0,3.1,0.8
1996/2/7,2.3,4.2,0.7
1996/2/8,1.9,5.2,-0.7
1996/2/9,0.6,1.6,-0.5
1996/2/10,-0.4,1.0,-1.9
1996/2/11,2.0,3.8,-1.1
1996/2/12,5.2,10.4,1.0
1996/2/13,6.2,10.2,4.5
1996/2/14,8.8,15.0,4.0
1996/2/15,4.6,7.5,1.3
1996/2/16,0.2,2.4,-1.7
1996/2/17,0.1,2.4,-2.6
1996/2/18,0.8,3.8,-1.2
1996/2/19,-0.3,1.3,-1.6
1996/2/20,-0.1,2.9,-2.9
1996/2/21,-0.5,2.7,-2.7
1996/2/22,0.2,3.1,-1.6
1996/2/23,0.6,4.2,-1.4
1996/2/24,1.2,3.7,-1.9
1996/2/25,2.2,7.0,-3.6
1996/2/26,3.1,5.7,1.0
1996/2/27,5.0,11.8,1.4
1996/2/28,4.9,8.4,1.3
1996/2/29,6.7,11.4,2.0
1996/3/1,5.4,7.4,3.7
1996/3/2,3.5,5.3,0.6
1996/3/3,2.3,5.7,-0.3
1996/3/4,0.8,3.7,-1.6
1996/3/5,0.1,2.2,-1.6
1996/3/6,1.7,4.1,-1.6
1996/3/7,4.6,8.0,0.5
1996/3/8,6.5,11.8,3.9
1996/3/9,4.4,6.1,2.1
1996/3/10,3.3,6.5,1.0
1996/3/11,3.7,10.4,0.4
1996/3/12,1.7,4.4,-1.0
1996/3/13,4.4,8.4,0.7
1996/3/14,8.1,13.9,1.9
1996/3/15,7.0,11.4,5.0
1996/3/16,6.7,9.5,4.3
1996/3/17,8.6,11.5,6.2
1996/3/18,4.7,9.2,0.0
1996/3/19,3.4,6.8,0.1
1996/3/20,4.0,6.9,0.8
1996/3/21,6.6,12.2,-0.4
1996/3/22,9.1,11.9,5.6
1996/3/23,3.8,5.9,2.1
1996/3/24,4.8,7.6,0.7
1996/3/25,6.8,7.8,5.3
1996/3/26,7.9,10.9,5.8
1996/3/27,6.5,9.9,1.7
1996/3/28,6.0,8.6,3.1
1996/3/29,6.5,10.6,0.5
1996/3/30,12.4,17.4,7.3
1996/3/31,10.1,12.2,8.2
