ダウンロードした時刻：2017/07/24 15:36:54

,新庄,新庄,新庄
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/1/1,0.7,4.6,-1.5
2011/1/2,0.4,4.9,-2.5
2011/1/3,-0.5,1.9,-2.8
2011/1/4,-0.2,1.8,-2.5
2011/1/5,0.6,2.7,-0.6
2011/1/6,-1.6,0.3,-4.6
2011/1/7,-3.4,-1.7,-5.2
2011/1/8,-0.5,2.1,-3.6
2011/1/9,-1.8,0.3,-4.3
2011/1/10,-3.7,-1.4,-5.9
2011/1/11,-3.2,-0.3,-6.5
2011/1/12,-2.4,2.4,-7.3
2011/1/13,-3.7,-1.7,-7.4
2011/1/14,-3.4,-1.4,-7.1
2011/1/15,-4.0,-2.0,-6.7
2011/1/16,-5.6,-3.0,-8.7
2011/1/17,-0.6,2.4,-4.4
2011/1/18,-0.4,2.1,-1.5
2011/1/19,-1.7,-0.9,-2.7
2011/1/20,-2.4,-0.6,-3.6
2011/1/21,-2.3,-0.6,-5.4
2011/1/22,-2.4,-0.9,-9.2
2011/1/23,-2.2,0.3,-4.9
2011/1/24,-3.9,-0.2,-9.5
2011/1/25,-2.6,1.8,-7.8
2011/1/26,-0.1,2.0,-2.6
2011/1/27,-2.5,0.1,-8.6
2011/1/28,-2.9,-0.5,-4.6
2011/1/29,-3.4,-1.0,-5.5
2011/1/30,-4.5,-2.0,-6.0
2011/1/31,-2.9,-0.8,-5.7
2011/2/1,-1.2,0.6,-2.2
2011/2/2,-1.7,3.6,-7.2
2011/2/3,-2.9,0.7,-7.1
2011/2/4,-0.6,3.3,-2.8
2011/2/5,-0.9,2.7,-7.0
2011/2/6,-3.0,1.5,-8.1
2011/2/7,0.8,3.7,-1.1
2011/2/8,-0.4,2.9,-4.5
2011/2/9,-1.7,0.8,-4.9
2011/2/10,-2.1,0.1,-3.4
2011/2/11,-1.1,1.3,-3.5
2011/2/12,-1.5,2.4,-4.6
2011/2/13,-1.6,0.9,-6.4
2011/2/14,-1.5,1.1,-6.1
2011/2/15,0.2,4.2,-1.7
2011/2/16,1.2,6.8,-4.8
2011/2/17,-1.5,3.2,-6.3
2011/2/18,1.2,4.9,-1.8
2011/2/19,-0.7,3.7,-6.3
2011/2/20,-3.9,0.5,-7.4
2011/2/21,-3.5,5.4,-10.2
2011/2/22,-1.7,7.0,-10.6
2011/2/23,0.3,7.9,-6.8
2011/2/24,1.5,7.7,-3.5
2011/2/25,2.1,6.4,-2.1
2011/2/26,-1.3,1.4,-4.3
2011/2/27,-0.2,5.0,-4.7
2011/2/28,1.3,3.0,0.0
2011/3/1,1.1,2.8,0.5
2011/3/2,0.2,2.8,-2.6
2011/3/3,-3.4,-0.9,-4.7
2011/3/4,-3.4,0.3,-6.7
2011/3/5,-0.1,3.6,-6.5
2011/3/6,1.8,5.2,-1.2
2011/3/7,1.1,4.5,-1.7
2011/3/8,0.7,4.6,-1.7
2011/3/9,-0.9,2.2,-2.5
2011/3/10,-2.6,-0.8,-4.9
2011/3/11,-1.5,0.9,-4.9
2011/3/12,0.0,5.2,-5.7
2011/3/13,1.3,11.4,-8.5
2011/3/14,3.4,14.2,-2.3
2011/3/15,1.3,4.8,-0.1
2011/3/16,-0.6,2.8,-4.2
2011/3/17,-2.3,0.0,-8.8
2011/3/18,-2.5,2.8,-11.4
2011/3/19,2.8,9.1,-4.8
2011/3/20,4.1,10.5,-1.3
2011/3/21,3.0,6.7,-2.1
2011/3/22,1.5,8.0,-3.6
2011/3/23,-0.3,3.4,-2.8
2011/3/24,0.3,5.4,-2.9
2011/3/25,0.5,4.2,-2.5
2011/3/26,0.4,4.0,-2.7
2011/3/27,-0.4,4.1,-4.7
2011/3/28,-0.2,3.2,-3.8
2011/3/29,1.2,8.6,-5.0
2011/3/30,3.1,10.5,-2.6
2011/3/31,3.0,7.4,0.2
2011/4/1,4.1,11.8,-0.6
2011/4/2,4.4,8.8,0.1
2011/4/3,3.0,6.5,0.8
2011/4/4,1.7,5.9,-2.4
2011/4/5,3.8,10.6,-2.9
2011/4/6,3.7,13.6,-4.0
2011/4/7,4.2,12.4,-3.1
2011/4/8,5.2,10.8,2.5
2011/4/9,4.9,7.3,2.4
2011/4/10,4.9,12.7,-0.9
2011/4/11,3.2,6.7,0.0
2011/4/12,4.1,9.0,0.2
2011/4/13,6.5,14.0,-2.6
2011/4/14,6.6,17.8,-1.0
2011/4/15,7.2,17.1,0.1
2011/4/16,5.7,9.6,2.1
2011/4/17,5.8,10.5,-0.2
2011/4/18,6.3,16.9,-3.0
2011/4/19,5.4,8.1,1.1
2011/4/20,4.4,9.2,0.7
2011/4/21,6.7,13.2,0.7
2011/4/22,8.4,15.0,2.9
2011/4/23,10.4,13.5,5.7
2011/4/24,9.1,13.8,4.6
2011/4/25,7.8,14.4,1.9
2011/4/26,10.7,17.0,4.5
2011/4/27,10.7,16.0,6.9
2011/4/28,10.0,17.2,5.5
2011/4/29,6.9,11.1,4.6
2011/4/30,9.6,16.4,3.6
2011/5/1,11.0,13.7,8.3
