ダウンロードした時刻：2019/10/10 16:01:15

,館山,館山,館山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,6.1,14.4,0.6
1988/12/2,6.6,15.5,0.5
1988/12/3,7.5,15.0,1.5
1988/12/4,9.6,14.9,2.0
1988/12/5,13.5,17.1,7.8
1988/12/6,8.2,14.2,3.7
1988/12/7,7.1,14.2,2.0
1988/12/8,7.7,15.8,0.8
1988/12/9,12.1,15.8,3.2
1988/12/10,9.2,14.0,3.5
1988/12/11,8.7,13.1,1.4
1988/12/12,7.1,13.6,0.3
1988/12/13,10.3,12.8,5.1
1988/12/14,12.6,17.3,4.2
1988/12/15,10.3,13.5,6.3
1988/12/16,6.5,9.4,5.0
1988/12/17,5.1,11.2,-1.3
1988/12/18,3.3,10.9,-2.5
1988/12/19,6.6,13.3,-0.8
1988/12/20,9.9,15.3,3.5
1988/12/21,8.0,13.6,1.7
1988/12/22,5.8,12.0,0.1
1988/12/23,4.4,11.4,-1.8
1988/12/24,7.5,13.6,1.4
1988/12/25,8.3,14.0,2.1
1988/12/26,4.4,10.1,-1.0
1988/12/27,4.1,11.6,-1.7
1988/12/28,4.5,11.2,-1.5
1988/12/29,6.1,11.2,2.7
1988/12/30,6.0,11.7,0.7
1988/12/31,5.0,11.3,-1.6
1989/1/1,10.7,15.1,5.0
1989/1/2,9.4,14.6,-0.6
1989/1/3,8.8,14.0,1.1
1989/1/4,7.1,11.5,0.9
1989/1/5,4.5,10.9,-0.9
1989/1/6,4.4,11.5,-2.0
1989/1/7,8.1,15.2,1.8
1989/1/8,10.1,11.5,8.0
1989/1/9,10.5,11.9,9.0
1989/1/10,8.9,12.8,5.9
1989/1/11,8.9,13.9,4.1
1989/1/12,9.2,10.6,8.0
1989/1/13,7.2,8.8,6.0
1989/1/14,6.6,7.6,5.1
1989/1/15,4.6,6.3,3.8
1989/1/16,4.7,10.4,0.1
1989/1/17,4.6,10.8,-0.9
1989/1/18,7.4,14.4,0.3
1989/1/19,14.2,19.5,5.8
1989/1/20,17.6,19.2,15.2
1989/1/21,11.6,15.6,7.1
1989/1/22,8.7,13.3,5.2
1989/1/23,8.3,13.6,5.6
1989/1/24,8.9,14.5,5.1
1989/1/25,6.5,12.2,1.6
1989/1/26,6.6,9.1,3.1
1989/1/27,10.9,15.2,5.5
1989/1/28,3.4,8.1,-0.5
1989/1/29,4.0,10.8,-4.6
1989/1/30,5.0,13.7,-1.4
1989/1/31,9.8,15.1,0.2
1989/2/1,11.3,14.4,6.3
1989/2/2,6.1,8.5,3.9
1989/2/3,3.8,9.4,-2.1
1989/2/4,4.0,10.5,-0.9
1989/2/5,5.0,11.6,-2.2
1989/2/6,4.9,11.9,0.2
1989/2/7,6.3,13.7,-0.6
1989/2/8,9.4,14.3,0.8
1989/2/9,12.8,16.8,8.7
1989/2/10,6.9,10.8,4.8
1989/2/11,5.5,10.6,1.0
1989/2/12,5.2,10.8,0.4
1989/2/13,5.2,10.3,0.2
1989/2/14,5.1,12.9,-2.6
1989/2/15,8.4,13.8,-2.4
1989/2/16,14.8,17.5,12.1
1989/2/17,12.5,16.6,8.1
1989/2/18,6.5,8.3,5.8
1989/2/19,6.9,12.5,1.8
1989/2/20,10.4,15.4,0.9
1989/2/21,11.5,16.0,6.6
1989/2/22,6.5,9.9,5.1
1989/2/23,5.2,6.8,3.8
1989/2/24,5.4,6.7,4.1
1989/2/25,6.3,7.3,5.8
1989/2/26,8.0,14.3,4.7
1989/2/27,7.1,13.3,1.4
1989/2/28,12.3,17.3,4.7
1989/3/1,14.0,17.2,9.0
1989/3/2,8.3,13.3,4.0
1989/3/3,10.3,15.6,6.5
1989/3/4,15.9,20.6,8.3
1989/3/5,9.0,17.4,5.6
1989/3/6,8.0,11.5,4.6
1989/3/7,5.5,8.3,3.2
1989/3/8,4.0,7.2,-0.1
1989/3/9,4.5,10.8,-1.8
1989/3/10,5.5,12.9,-1.0
1989/3/11,7.4,13.2,-0.2
1989/3/12,9.7,16.5,1.5
1989/3/13,12.5,16.3,7.5
1989/3/14,11.7,17.4,7.3
1989/3/15,11.8,16.8,6.9
1989/3/16,8.1,13.3,4.1
1989/3/17,7.3,13.5,1.6
1989/3/18,7.4,11.9,3.6
1989/3/19,8.2,14.3,0.1
1989/3/20,9.3,14.2,4.4
1989/3/21,9.4,15.0,2.8
1989/3/22,6.9,11.4,2.4
1989/3/23,8.1,13.9,0.0
1989/3/24,10.4,13.8,7.4
1989/3/25,13.4,19.1,8.1
1989/3/26,11.0,15.4,3.2
1989/3/27,10.3,14.4,7.4
1989/3/28,9.1,13.8,6.8
1989/3/29,10.1,15.7,6.6
1989/3/30,9.7,16.2,3.6
1989/3/31,12.6,18.2,4.8
