ダウンロードした時刻：2019/10/10 15:57:25

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/12/1,7.8,11.5,4.9
2012/12/2,5.5,8.8,2.0
2012/12/3,7.6,12.0,2.1
2012/12/4,9.3,13.5,4.8
2012/12/5,7.0,10.4,3.8
2012/12/6,6.8,12.2,3.0
2012/12/7,5.5,9.9,2.0
2012/12/8,6.0,12.4,2.2
2012/12/9,4.2,8.7,1.8
2012/12/10,4.2,7.9,1.8
2012/12/11,5.4,10.0,2.7
2012/12/12,5.0,8.8,2.1
2012/12/13,6.1,10.3,2.2
2012/12/14,4.9,8.6,-0.2
2012/12/15,8.6,11.8,5.1
2012/12/16,11.3,13.3,8.3
2012/12/17,9.4,11.8,6.2
2012/12/18,8.3,12.1,4.6
2012/12/19,4.1,6.9,2.0
2012/12/20,5.7,10.1,1.6
2012/12/21,6.6,10.0,4.4
2012/12/22,7.6,11.6,4.2
2012/12/23,6.9,11.7,3.0
2012/12/24,3.5,6.4,1.4
2012/12/25,5.1,8.8,1.5
2012/12/26,3.3,5.5,0.3
2012/12/27,2.9,6.2,0.1
2012/12/28,3.5,5.4,0.4
2012/12/29,9.6,12.4,4.7
2012/12/30,9.2,10.5,8.1
2012/12/31,5.3,8.4,2.2
2013/1/1,4.2,8.7,0.6
2013/1/2,6.6,13.6,1.3
2013/1/3,3.7,6.1,1.5
2013/1/4,1.7,4.9,0.1
2013/1/5,2.2,5.8,-0.8
2013/1/6,5.0,8.7,1.0
2013/1/7,5.8,10.8,2.1
2013/1/8,6.4,11.7,2.0
2013/1/9,6.0,10.4,2.9
2013/1/10,4.5,8.1,2.0
2013/1/11,3.9,7.3,0.3
2013/1/12,3.1,9.7,-1.5
2013/1/13,6.8,11.7,0.1
2013/1/14,5.7,7.9,2.9
2013/1/15,4.6,6.0,3.5
2013/1/16,6.1,10.6,2.0
2013/1/17,5.1,7.8,1.5
2013/1/18,2.1,4.9,-0.3
2013/1/19,5.2,9.7,0.0
2013/1/20,6.3,9.5,4.0
2013/1/21,4.4,7.5,0.4
2013/1/22,7.1,13.6,4.5
2013/1/23,6.8,9.8,4.6
2013/1/24,7.8,13.3,3.1
2013/1/25,6.0,8.8,1.5
2013/1/26,3.1,7.4,0.7
2013/1/27,2.8,6.9,-0.1
2013/1/28,3.2,7.0,-0.9
2013/1/29,5.3,9.7,2.0
2013/1/30,7.3,10.9,4.4
2013/1/31,6.1,9.8,2.8
2013/2/1,5.4,8.6,0.7
2013/2/2,10.0,14.5,6.8
2013/2/3,8.1,10.8,6.1
2013/2/4,7.0,11.3,4.3
2013/2/5,6.9,9.0,5.5
2013/2/6,6.2,9.5,4.0
2013/2/7,7.1,12.4,3.5
2013/2/8,1.7,4.1,0.1
2013/2/9,2.4,6.3,-0.1
2013/2/10,4.9,9.8,-0.6
2013/2/11,5.3,9.2,2.2
2013/2/12,3.3,5.9,0.6
2013/2/13,5.5,8.2,2.3
2013/2/14,6.3,10.0,2.6
2013/2/15,5.3,6.4,3.8
2013/2/16,1.9,4.7,-0.2
2013/2/17,2.5,5.5,-0.5
2013/2/18,4.4,7.7,1.4
2013/2/19,4.0,6.2,1.4
2013/2/20,3.7,8.3,-0.1
2013/2/21,3.8,8.9,1.4
2013/2/22,4.9,9.0,1.2
2013/2/23,4.9,9.3,2.6
2013/2/24,2.8,5.6,0.1
2013/2/25,2.2,6.0,-0.1
2013/2/26,4.1,7.9,-0.5
2013/2/27,7.0,12.9,2.8
2013/2/28,9.4,15.9,5.1
2013/3/1,8.6,13.7,4.2
2013/3/2,4.7,8.0,2.4
2013/3/3,4.6,8.7,1.9
2013/3/4,6.3,12.1,1.2
2013/3/5,7.4,12.3,3.6
2013/3/6,9.2,17.9,1.0
2013/3/7,9.1,13.8,3.5
2013/3/8,13.3,21.3,7.1
2013/3/9,14.9,18.6,11.2
2013/3/10,9.1,23.5,3.2
2013/3/11,6.0,11.3,2.7
2013/3/12,6.7,12.8,0.1
2013/3/13,10.5,16.5,5.7
2013/3/14,6.0,8.8,3.2
2013/3/15,6.7,12.5,1.4
2013/3/16,11.1,18.9,3.1
2013/3/17,11.0,15.3,6.8
2013/3/18,15.4,19.1,11.2
2013/3/19,17.2,22.3,12.3
2013/3/20,12.5,14.6,8.6
2013/3/21,6.8,10.4,3.9
2013/3/22,8.6,13.9,1.3
2013/3/23,10.7,14.2,6.8
2013/3/24,10.2,14.4,4.7
2013/3/25,10.2,13.8,5.5
2013/3/26,7.3,11.0,3.6
2013/3/27,8.9,12.2,4.1
2013/3/28,13.1,17.5,9.4
2013/3/29,14.0,18.3,10.5
2013/3/30,12.1,17.5,8.6
2013/3/31,10.7,15.1,8.8
