ダウンロードした時刻：2019/10/10 15:34:35

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,-1.2,0.9,-2.9
1997/12/2,-3.6,-1.5,-5.9
1997/12/3,-6.1,-4.4,-8.0
1997/12/4,-1.9,0.5,-5.4
1997/12/5,2.1,5.0,-0.6
1997/12/6,5.2,9.3,1.9
1997/12/7,4.8,6.8,3.1
1997/12/8,5.5,8.2,3.2
1997/12/9,7.7,11.2,2.1
1997/12/10,2.3,5.7,-2.0
1997/12/11,-1.8,0.0,-3.7
1997/12/12,-3.1,-1.3,-5.2
1997/12/13,-2.4,2.0,-9.9
1997/12/14,1.6,4.6,-0.9
1997/12/15,2.8,6.6,0.3
1997/12/16,3.0,5.4,1.4
1997/12/17,2.7,6.9,0.0
1997/12/18,4.3,9.6,-0.8
1997/12/19,6.5,9.8,2.1
1997/12/20,3.8,9.9,-0.8
1997/12/21,-2.4,-0.7,-4.4
1997/12/22,-1.7,0.8,-5.6
1997/12/23,-0.5,2.6,-2.5
1997/12/24,0.4,3.4,-3.0
1997/12/25,0.4,5.6,-4.0
1997/12/26,2.7,8.4,-1.5
1997/12/27,4.2,8.5,-0.4
1997/12/28,-0.7,3.3,-2.3
1997/12/29,0.4,2.4,-1.2
1997/12/30,2.9,7.2,-1.0
1997/12/31,-0.1,2.3,-1.5
1998/1/1,-1.7,2.5,-6.6
1998/1/2,-4.6,-2.1,-7.5
1998/1/3,-1.0,3.5,-5.7
1998/1/4,-2.6,0.1,-4.8
1998/1/5,-5.5,-3.1,-8.0
1998/1/6,-4.6,-0.7,-8.0
1998/1/7,-10.0,-6.9,-11.0
1998/1/8,-9.5,-5.4,-13.5
1998/1/9,-6.2,-2.0,-11.7
1998/1/10,-4.3,-1.8,-7.0
1998/1/11,-2.8,1.6,-6.4
1998/1/12,-3.1,0.7,-7.3
1998/1/13,-2.6,1.6,-6.9
1998/1/14,-6.0,-2.1,-10.4
1998/1/15,-5.8,-1.9,-12.1
1998/1/16,-2.8,-0.6,-5.0
1998/1/17,-2.4,1.1,-8.3
1998/1/18,1.3,3.3,-1.8
1998/1/19,-4.3,1.9,-8.0
1998/1/20,-6.5,-4.5,-8.1
1998/1/21,-5.8,-1.6,-7.8
1998/1/22,-7.7,-6.1,-9.7
1998/1/23,-7.3,-2.6,-11.3
1998/1/24,-7.7,-3.9,-11.5
1998/1/25,-6.7,-3.8,-10.5
1998/1/26,-7.1,-4.6,-10.3
1998/1/27,-8.7,-4.7,-14.4
1998/1/28,-8.0,-4.9,-11.3
1998/1/29,-6.4,-2.2,-10.3
1998/1/30,-1.8,2.1,-7.6
1998/1/31,-3.4,0.9,-7.2
1998/2/1,-5.0,-2.1,-10.1
1998/2/2,-2.0,0.5,-4.6
1998/2/3,-1.5,1.8,-7.4
1998/2/4,-7.6,-4.9,-11.4
1998/2/5,-5.7,-2.7,-8.3
1998/2/6,-5.3,-0.5,-9.8
1998/2/7,-7.1,-2.9,-13.5
1998/2/8,0.0,0.9,-3.0
1998/2/9,-0.5,2.2,-2.1
1998/2/10,-3.2,-0.2,-7.7
1998/2/11,-3.7,0.0,-9.4
1998/2/12,1.8,4.1,-1.8
1998/2/13,-0.4,1.3,-2.5
1998/2/14,-2.0,1.5,-4.4
1998/2/15,-4.9,-1.4,-8.9
1998/2/16,-4.9,-0.1,-7.9
1998/2/17,-5.0,-0.1,-9.5
1998/2/18,-3.9,0.6,-8.3
1998/2/19,2.4,5.9,-5.9
1998/2/20,3.8,7.5,-0.8
1998/2/21,-3.8,-0.8,-6.6
1998/2/22,-3.7,0.7,-10.0
1998/2/23,0.3,4.9,-3.9
1998/2/24,-0.8,3.9,-6.0
1998/2/25,1.1,2.8,-1.4
1998/2/26,2.9,4.1,1.7
1998/2/27,2.9,5.5,0.5
1998/2/28,2.0,5.7,-1.0
1998/3/1,0.9,4.5,-2.2
1998/3/2,2.5,8.6,-4.4
1998/3/3,3.3,9.1,-1.5
1998/3/4,1.4,5.6,-3.4
1998/3/5,1.3,7.7,-5.1
1998/3/6,4.1,8.3,-1.8
1998/3/7,0.6,6.0,-2.8
1998/3/8,0.8,5.3,-4.7
1998/3/9,0.6,3.6,-3.0
1998/3/10,-1.2,2.4,-4.9
1998/3/11,0.5,7.0,-6.4
1998/3/12,4.0,6.7,-0.2
1998/3/13,3.4,7.5,0.6
1998/3/14,3.4,7.0,-1.1
1998/3/15,-0.7,2.5,-2.7
1998/3/16,-2.9,-0.4,-4.6
1998/3/17,-0.1,4.1,-5.1
1998/3/18,2.9,7.8,-0.3
1998/3/19,6.8,9.8,2.2
1998/3/20,5.8,10.9,0.2
1998/3/21,0.8,2.9,-1.6
1998/3/22,-0.8,3.2,-3.5
1998/3/23,0.4,3.4,-3.5
1998/3/24,4.7,9.9,-2.0
1998/3/25,5.1,10.9,-0.1
1998/3/26,6.1,13.3,-1.5
1998/3/27,6.1,10.1,2.3
1998/3/28,8.3,12.8,1.9
1998/3/29,9.2,14.7,2.7
1998/3/30,5.8,11.0,2.5
1998/3/31,1.7,8.1,-1.9
