ダウンロードした時刻：2019/10/10 16:00:04

,尾鷲,尾鷲,尾鷲
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,12.7,19.2,8.6
1998/12/2,12.9,17.9,9.6
1998/12/3,10.5,13.3,8.4
1998/12/4,10.4,11.5,9.0
1998/12/5,11.5,13.8,7.5
1998/12/6,10.4,16.9,5.2
1998/12/7,12.6,14.3,10.6
1998/12/8,10.8,13.7,7.3
1998/12/9,8.0,13.9,3.6
1998/12/10,6.4,12.9,1.7
1998/12/11,,13.6,3.1
1998/12/12,6.5,12.2,1.5
1998/12/13,7.5,14.5,2.3
1998/12/14,9.6,15.9,3.9
1998/12/15,12.2,16.7,8.9
1998/12/16,9.9,14.6,5.9
1998/12/17,9.5,17.3,4.5
1998/12/18,8.9,15.3,3.6
1998/12/19,10.2,16.6,5.5
1998/12/20,13.5,17.0,6.4
1998/12/21,7.5,13.7,3.3
1998/12/22,8.5,15.3,2.4
1998/12/23,10.1,16.0,4.5
1998/12/24,8.4,12.1,2.5
1998/12/25,6.2,13.2,1.0
1998/12/26,8.2,15.7,3.9
1998/12/27,7.3,12.9,3.1
1998/12/28,8.5,16.1,3.0
1998/12/29,8.9,14.3,5.2
1998/12/30,10.2,14.8,4.5
1998/12/31,6.9,12.3,2.9
1999/1/1,6.5,11.4,2.2
1999/1/2,7.7,12.8,0.9
1999/1/3,7.9,13.5,2.9
1999/1/4,6.1,13.1,1.5
1999/1/5,6.9,13.9,0.6
1999/1/6,9.0,14.6,2.7
1999/1/7,9.1,14.8,2.1
1999/1/8,2.6,5.7,1.0
1999/1/9,3.6,6.4,1.0
1999/1/10,5.4,9.4,2.2
1999/1/11,6.9,10.2,5.3
1999/1/12,6.2,11.1,1.5
1999/1/13,6.2,11.0,1.3
1999/1/14,7.5,12.3,3.4
1999/1/15,6.6,8.8,3.3
1999/1/16,6.2,12.2,0.9
1999/1/17,6.7,11.9,1.9
1999/1/18,6.3,12.3,1.4
1999/1/19,7.3,9.5,4.1
1999/1/20,9.3,14.8,5.1
1999/1/21,5.9,10.9,0.7
1999/1/22,4.8,11.6,-0.9
1999/1/23,7.7,15.4,0.9
1999/1/24,7.9,9.5,6.7
1999/1/25,8.8,11.0,5.8
1999/1/26,8.1,15.3,2.6
1999/1/27,6.8,12.9,0.5
1999/1/28,9.5,16.9,3.6
1999/1/29,5.9,11.3,0.7
1999/1/30,4.2,9.3,0.9
1999/1/31,5.7,11.8,0.2
1999/2/1,6.8,9.5,2.3
1999/2/2,6.8,12.6,1.7
1999/2/3,1.7,5.5,-2.2
1999/2/4,0.4,6.1,-4.2
1999/2/5,3.8,10.2,-3.1
1999/2/6,4.7,9.9,0.7
1999/2/7,5.7,12.7,0.0
1999/2/8,7.2,14.8,1.1
1999/2/9,7.4,14.3,1.5
1999/2/10,8.9,15.8,3.3
1999/2/11,7.3,11.0,5.2
1999/2/12,6.0,9.6,1.6
1999/2/13,2.9,7.7,-0.1
1999/2/14,3.4,9.6,-1.6
1999/2/15,4.9,10.0,-0.7
1999/2/16,7.1,13.7,1.1
1999/2/17,9.3,15.2,3.9
1999/2/18,9.5,13.7,4.9
1999/2/19,7.4,13.3,0.4
1999/2/20,4.8,12.3,-1.4
1999/2/21,5.2,10.3,1.2
1999/2/22,4.4,10.6,-1.1
1999/2/23,6.5,12.9,-0.2
1999/2/24,6.4,9.8,3.2
1999/2/25,10.0,15.4,4.2
1999/2/26,9.2,13.8,2.3
1999/2/27,11.6,18.3,4.7
1999/2/28,6.2,11.6,1.1
1999/3/1,8.2,14.2,2.1
1999/3/2,10.6,16.4,3.9
1999/3/3,11.4,17.9,7.1
1999/3/4,11.0,15.1,5.4
1999/3/5,13.8,18.6,10.1
1999/3/6,13.1,18.6,8.3
1999/3/7,10.2,11.9,7.6
1999/3/8,10.7,16.2,4.5
1999/3/9,9.7,12.6,8.0
1999/3/10,8.8,12.1,5.8
1999/3/11,6.7,9.9,3.7
1999/3/12,7.6,14.3,1.8
1999/3/13,8.9,10.9,5.9
1999/3/14,11.8,15.3,9.6
1999/3/15,16.2,18.2,14.9
1999/3/16,15.9,21.5,9.4
1999/3/17,13.1,17.2,7.7
1999/3/18,15.2,19.7,11.7
1999/3/19,16.1,18.9,14.5
1999/3/20,10.2,16.3,6.5
1999/3/21,8.4,10.4,6.9
1999/3/22,7.1,11.9,0.9
1999/3/23,6.4,12.9,-0.6
1999/3/24,9.9,14.3,3.2
1999/3/25,12.4,15.6,9.9
1999/3/26,14.3,15.6,12.8
1999/3/27,14.0,18.3,8.1
1999/3/28,10.8,17.5,4.3
1999/3/29,8.1,12.6,3.1
1999/3/30,8.1,11.2,4.9
1999/3/31,12.5,18.1,8.7
