ダウンロードした時刻：2019/10/10 15:51:50

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,9.5,15.0,5.5
1991/12/2,8.6,15.7,4.2
1991/12/3,8.0,13.7,3.2
1991/12/4,8.2,14.2,3.3
1991/12/5,9.4,13.0,5.4
1991/12/6,10.4,15.9,4.6
1991/12/7,11.0,18.0,4.9
1991/12/8,8.9,10.7,7.1
1991/12/9,7.2,12.0,2.1
1991/12/10,4.3,10.1,-1.5
1991/12/11,9.7,17.6,2.4
1991/12/12,4.8,8.7,-0.3
1991/12/13,2.6,10.3,-3.5
1991/12/14,5.7,13.5,0.6
1991/12/15,5.8,13.4,-0.7
1991/12/16,6.4,14.5,1.0
1991/12/17,7.7,15.1,1.1
1991/12/18,11.1,19.3,6.9
1991/12/19,6.5,10.8,1.4
1991/12/20,3.4,8.4,-1.4
1991/12/21,3.6,10.3,-1.6
1991/12/22,6.2,11.4,0.2
1991/12/23,7.9,13.9,1.1
1991/12/24,10.2,15.5,6.6
1991/12/25,5.7,8.8,2.7
1991/12/26,3.0,5.4,-0.5
1991/12/27,0.8,3.3,-2.0
1991/12/28,4.2,6.3,1.9
1991/12/29,3.0,7.9,-1.2
1991/12/30,1.7,6.7,-2.4
1991/12/31,1.3,8.2,-4.6
1992/1/1,3.5,11.5,-1.8
1992/1/2,3.7,10.9,-1.5
1992/1/3,5.0,13.3,-1.5
1992/1/4,4.8,10.9,0.0
1992/1/5,3.4,11.0,-3.4
1992/1/6,4.1,8.9,0.5
1992/1/7,5.1,7.0,3.2
1992/1/8,6.7,14.0,1.0
1992/1/9,4.2,5.6,2.4
1992/1/10,3.1,9.4,-0.8
1992/1/11,2.3,9.3,-3.5
1992/1/12,3.9,11.0,-1.8
1992/1/13,5.2,14.1,-0.4
1992/1/14,4.4,11.1,-1.0
1992/1/15,1.0,6.9,-2.8
1992/1/16,2.0,7.7,-4.7
1992/1/17,4.5,10.2,0.2
1992/1/18,4.3,9.9,-1.0
1992/1/19,2.2,8.5,-3.6
1992/1/20,1.9,9.1,-4.3
1992/1/21,2.2,8.4,-3.1
1992/1/22,4.0,10.9,-0.8
1992/1/23,3.3,9.4,-2.1
1992/1/24,0.8,7.6,-5.6
1992/1/25,2.8,11.1,-3.6
1992/1/26,3.9,10.6,-2.1
1992/1/27,5.8,11.9,1.5
1992/1/28,4.5,11.2,-1.5
1992/1/29,6.4,14.7,-0.7
1992/1/30,4.6,6.1,3.3
1992/1/31,3.2,4.6,1.2
1992/2/1,1.4,4.1,-0.7
1992/2/2,1.7,7.4,-3.7
1992/2/3,3.1,8.5,-2.3
1992/2/4,4.8,10.5,0.4
1992/2/5,2.3,8.5,-2.8
1992/2/6,3.2,8.5,-0.8
1992/2/7,5.4,13.2,0.3
1992/2/8,2.5,6.0,0.2
1992/2/9,1.6,7.5,-3.7
1992/2/10,2.7,10.6,-3.6
1992/2/11,3.3,9.1,-1.6
1992/2/12,4.5,10.9,-1.0
1992/2/13,6.8,12.2,2.5
1992/2/14,3.9,9.4,-1.6
1992/2/15,4.4,12.1,-3.1
1992/2/16,7.0,16.1,1.5
1992/2/17,3.7,10.0,-2.6
1992/2/18,4.6,9.0,0.7
1992/2/19,3.1,9.1,-1.9
1992/2/20,2.4,5.9,-2.2
1992/2/21,2.0,6.9,-1.7
1992/2/22,1.3,7.8,-5.2
1992/2/23,3.1,11.3,-4.9
1992/2/24,2.9,7.6,-3.3
1992/2/25,4.0,9.4,-0.3
1992/2/26,3.7,10.3,-3.0
1992/2/27,5.7,13.7,-2.6
1992/2/28,6.9,11.7,0.8
1992/2/29,11.4,18.9,3.5
1992/3/1,10.9,16.8,6.9
1992/3/2,7.9,12.5,4.5
1992/3/3,4.6,7.8,2.2
1992/3/4,4.5,10.7,-1.0
1992/3/5,3.9,5.7,1.1
1992/3/6,5.5,9.8,2.8
1992/3/7,4.9,10.7,1.0
1992/3/8,5.0,11.3,-0.4
1992/3/9,8.2,14.5,0.1
1992/3/10,8.6,11.8,6.9
1992/3/11,8.9,13.4,5.8
1992/3/12,7.3,10.1,3.6
1992/3/13,10.0,16.1,3.2
1992/3/14,10.8,17.4,5.5
1992/3/15,13.5,19.9,8.5
1992/3/16,9.2,13.9,4.9
1992/3/17,4.0,5.8,1.1
1992/3/18,3.6,7.2,1.5
1992/3/19,6.3,10.8,0.6
1992/3/20,9.7,15.8,5.4
1992/3/21,2.6,7.5,0.2
1992/3/22,3.4,10.9,-3.3
1992/3/23,3.9,7.1,0.8
1992/3/24,7.4,13.7,2.5
1992/3/25,9.3,13.0,5.1
1992/3/26,10.4,12.4,8.6
1992/3/27,8.5,10.3,5.6
1992/3/28,8.8,13.4,2.0
1992/3/29,10.2,13.9,8.5
1992/3/30,13.1,20.4,9.2
1992/3/31,11.0,16.5,4.4
