ダウンロードした時刻：2019/10/10 16:17:29

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,14.1,16.6,11.8
1992/12/2,13.0,17.7,8.5
1992/12/3,9.8,16.6,4.1
1992/12/4,9.8,16.4,4.0
1992/12/5,10.0,16.4,4.1
1992/12/6,11.6,15.7,7.1
1992/12/7,16.1,19.4,13.2
1992/12/8,15.8,21.2,9.5
1992/12/9,11.8,17.7,6.5
1992/12/10,11.4,15.7,8.7
1992/12/11,7.5,11.1,1.9
1992/12/12,5.7,11.4,0.0
1992/12/13,8.8,15.5,3.0
1992/12/14,5.7,10.0,1.6
1992/12/15,4.3,9.8,-0.1
1992/12/16,5.6,11.8,-0.1
1992/12/17,6.2,14.0,0.7
1992/12/18,6.4,13.4,0.7
1992/12/19,7.0,14.2,1.0
1992/12/20,9.1,11.5,5.9
1992/12/21,12.4,17.8,8.3
1992/12/22,10.0,16.5,4.7
1992/12/23,7.6,11.0,1.4
1992/12/24,4.6,9.4,0.7
1992/12/25,4.4,10.2,-0.7
1992/12/26,5.7,13.5,-0.5
1992/12/27,8.1,14.8,1.5
1992/12/28,13.6,21.6,8.6
1992/12/29,11.6,17.4,6.3
1992/12/30,8.5,15.0,3.9
1992/12/31,6.7,13.1,2.6
1993/1/1,6.8,13.7,1.4
1993/1/2,8.9,16.1,4.7
1993/1/3,9.3,16.4,3.4
1993/1/4,10.1,12.8,6.6
1993/1/5,8.2,12.4,4.1
1993/1/6,6.5,8.7,3.5
1993/1/7,13.7,18.8,8.2
1993/1/8,11.4,14.5,8.7
1993/1/9,8.0,9.3,5.8
1993/1/10,10.7,13.4,8.5
1993/1/11,10.5,13.2,5.6
1993/1/12,9.4,15.4,3.8
1993/1/13,11.3,14.5,8.8
1993/1/14,11.1,13.6,8.7
1993/1/15,11.6,13.3,10.4
1993/1/16,9.2,13.2,4.4
1993/1/17,7.4,12.5,3.3
1993/1/18,6.8,12.5,3.1
1993/1/19,4.0,8.5,0.6
1993/1/20,3.9,10.3,-1.4
1993/1/21,4.3,10.1,-0.5
1993/1/22,5.5,12.3,-0.4
1993/1/23,6.2,10.9,1.7
1993/1/24,7.1,9.3,5.8
1993/1/25,8.6,12.2,4.8
1993/1/26,7.8,15.4,2.8
1993/1/27,6.4,12.9,1.9
1993/1/28,2.8,6.7,-0.7
1993/1/29,3.1,8.9,-2.4
1993/1/30,5.1,12.4,-0.3
1993/1/31,6.0,13.5,-0.9
1993/2/1,5.8,9.3,2.5
1993/2/2,4.5,8.1,0.5
1993/2/3,4.4,10.9,-1.8
1993/2/4,8.8,15.9,3.5
1993/2/5,7.7,15.4,0.5
1993/2/6,11.3,19.5,2.8
1993/2/7,11.7,19.1,7.3
1993/2/8,6.6,12.1,1.6
1993/2/9,5.3,11.3,1.9
1993/2/10,6.4,12.8,2.2
1993/2/11,7.4,14.2,1.0
1993/2/12,8.0,15.2,2.8
1993/2/13,7.1,13.4,0.4
1993/2/14,7.9,12.9,2.9
1993/2/15,7.7,14.8,0.3
1993/2/16,11.5,15.7,7.3
1993/2/17,15.2,20.1,8.3
1993/2/18,10.9,16.9,5.4
1993/2/19,9.3,13.7,5.0
1993/2/20,8.0,13.1,2.3
1993/2/21,11.0,16.5,7.7
1993/2/22,12.0,16.4,6.5
1993/2/23,4.2,7.3,-0.4
1993/2/24,3.6,10.2,-2.0
1993/2/25,5.0,11.3,-0.3
1993/2/26,5.5,11.6,-0.7
1993/2/27,7.3,13.2,1.1
1993/2/28,9.7,14.8,4.4
1993/3/1,4.9,9.9,0.9
1993/3/2,4.3,10.3,-0.4
1993/3/3,5.5,12.1,-0.5
1993/3/4,8.1,15.1,3.0
1993/3/5,8.5,15.5,0.9
1993/3/6,11.1,17.2,4.6
1993/3/7,13.5,21.8,7.6
1993/3/8,8.0,11.6,5.1
1993/3/9,7.2,12.3,0.7
1993/3/10,9.5,16.0,4.2
1993/3/11,8.7,13.4,2.8
1993/3/12,9.3,14.6,5.0
1993/3/13,9.1,14.6,4.6
1993/3/14,9.0,14.2,2.4
1993/3/15,9.3,11.7,7.7
1993/3/16,7.1,10.2,4.2
1993/3/17,6.6,11.4,2.9
1993/3/18,8.0,13.1,4.7
1993/3/19,8.0,14.5,1.9
1993/3/20,7.8,14.1,1.9
1993/3/21,8.3,14.1,1.2
1993/3/22,9.2,12.4,6.2
1993/3/23,12.1,17.4,5.2
1993/3/24,13.2,17.4,11.6
1993/3/25,16.0,19.3,12.2
1993/3/26,12.9,14.8,10.6
1993/3/27,14.1,19.1,8.8
1993/3/28,12.5,13.8,10.5
1993/3/29,8.5,12.0,4.2
1993/3/30,8.0,13.2,1.0
1993/3/31,11.8,15.8,7.9
