É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 16:17:01

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1995/12/1,9.7,13.3,5.7
1995/12/2,9.9,12.6,6.2
1995/12/3,11.1,15.3,8.4
1995/12/4,9.6,11.8,6.3
1995/12/5,8.4,10.7,5.3
1995/12/6,5.2,7.7,3.3
1995/12/7,6.5,9.2,4.7
1995/12/8,7.3,9.7,4.3
1995/12/9,6.8,11.6,2.2
1995/12/10,5.8,13.9,0.3
1995/12/11,7.6,14.7,2.3
1995/12/12,9.3,14.0,5.4
1995/12/13,7.5,14.6,2.0
1995/12/14,10.1,17.1,4.0
1995/12/15,11.4,14.1,5.5
1995/12/16,7.2,12.5,2.0
1995/12/17,9.5,13.3,5.9
1995/12/18,7.6,13.0,1.8
1995/12/19,8.6,11.4,5.0
1995/12/20,8.7,14.2,4.8
1995/12/21,8.7,11.1,4.0
1995/12/22,6.2,13.0,1.4
1995/12/23,6.4,13.8,1.3
1995/12/24,6.5,12.4,2.3
1995/12/25,2.9,4.4,1.3
1995/12/26,4.9,8.2,3.1
1995/12/27,5.1,10.7,0.6
1995/12/28,5.1,11.5,-0.2
1995/12/29,7.1,9.1,4.1
1995/12/30,4.0,8.9,-1.2
1995/12/31,2.9,9.6,-2.5
1996/1/1,8.4,11.8,3.4
1996/1/2,5.5,12.2,-0.1
1996/1/3,6.6,13.8,1.1
1996/1/4,5.0,7.9,0.2
1996/1/5,5.3,13.1,-1.4
1996/1/6,8.1,15.6,1.5
1996/1/7,9.9,16.0,4.6
1996/1/8,7.9,14.0,2.1
1996/1/9,2.7,5.3,1.3
1996/1/10,6.2,8.0,4.7
1996/1/11,5.8,11.5,0.5
1996/1/12,5.2,13.1,-0.6
1996/1/13,5.3,12.6,-1.2
1996/1/14,13.5,17.6,5.1
1996/1/15,15.0,21.1,10.4
1996/1/16,9.7,12.5,5.0
1996/1/17,6.0,11.2,0.4
1996/1/18,6.4,9.3,3.6
1996/1/19,6.6,11.7,3.7
1996/1/20,7.5,12.4,2.8
1996/1/21,5.9,11.7,1.0
1996/1/22,5.9,8.4,2.9
1996/1/23,7.8,11.4,3.5
1996/1/24,5.2,8.1,0.6
1996/1/25,3.5,7.7,-1.5
1996/1/26,3.8,7.7,0.8
1996/1/27,4.0,9.6,-0.9
1996/1/28,4.5,10.6,-0.3
1996/1/29,7.0,11.5,1.8
1996/1/30,5.9,8.3,3.4
1996/1/31,5.0,6.8,3.3
1996/2/1,3.6,6.7,1.7
1996/2/2,1.1,3.9,-1.2
1996/2/3,2.6,5.6,0.1
1996/2/4,4.1,10.8,-2.3
1996/2/5,4.4,12.0,0.1
1996/2/6,3.0,6.0,0.4
1996/2/7,3.3,8.8,-1.8
1996/2/8,6.7,13.1,0.1
1996/2/9,5.1,7.9,0.5
1996/2/10,1.5,3.5,-1.0
1996/2/11,1.5,8.7,-4.0
1996/2/12,6.3,14.1,-0.4
1996/2/13,8.9,16.7,4.4
1996/2/14,12.3,20.2,4.6
1996/2/15,12.2,16.1,7.9
1996/2/16,8.1,14.0,4.3
1996/2/17,5.9,8.0,4.7
1996/2/18,6.1,12.3,2.1
1996/2/19,4.8,10.6,1.1
1996/2/20,4.8,9.8,0.2
1996/2/21,4.9,9.4,1.5
1996/2/22,4.1,9.5,-1.6
1996/2/23,4.7,9.9,0.2
1996/2/24,6.4,11.7,0.9
1996/2/25,6.2,9.0,4.6
1996/2/26,6.7,12.2,0.3
1996/2/27,7.1,11.1,4.6
1996/2/28,5.3,11.8,-0.9
1996/2/29,8.0,14.4,1.3
1996/3/1,8.7,13.0,4.8
1996/3/2,6.6,10.4,2.0
1996/3/3,5.6,12.2,-0.7
1996/3/4,9.5,13.6,4.2
1996/3/5,5.6,9.7,1.7
1996/3/6,5.1,11.3,-1.8
1996/3/7,10.6,18.1,2.8
1996/3/8,13.1,17.9,7.2
1996/3/9,8.5,13.5,5.7
1996/3/10,7.2,11.6,4.5
1996/3/11,7.2,13.2,1.6
1996/3/12,6.4,10.5,2.8
1996/3/13,7.9,13.5,4.1
1996/3/14,9.7,16.8,2.5
1996/3/15,13.6,20.1,8.2
1996/3/16,10.9,16.8,4.5
1996/3/17,16.5,21.4,10.5
1996/3/18,10.0,13.3,4.8
1996/3/19,7.7,12.6,1.8
1996/3/20,10.5,14.9,6.4
1996/3/21,14.3,17.5,11.3
1996/3/22,13.3,18.1,8.5
1996/3/23,10.6,16.1,6.2
1996/3/24,9.1,10.6,7.4
1996/3/25,10.8,15.7,8.9
1996/3/26,10.8,15.9,5.9
1996/3/27,11.1,16.0,8.6
1996/3/28,11.5,13.9,10.0
1996/3/29,11.3,13.8,9.1
1996/3/30,17.6,21.8,13.1
1996/3/31,13.2,17.3,9.9
