ダウンロードした時刻：2019/10/10 15:36:29

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,8.3,10.7,6.6
2004/12/2,6.7,8.5,5.8
2004/12/3,8.3,12.7,3.2
2004/12/4,11.7,15.8,7.1
2004/12/5,11.1,15.1,7.7
2004/12/6,5.4,8.1,4.1
2004/12/7,7.6,11.4,4.2
2004/12/8,5.7,8.5,4.4
2004/12/9,3.9,8.3,-0.1
2004/12/10,9.0,15.6,1.4
2004/12/11,6.3,10.5,3.8
2004/12/12,5.6,8.4,1.2
2004/12/13,6.5,10.8,3.6
2004/12/14,4.5,7.2,2.2
2004/12/15,6.5,9.7,3.8
2004/12/16,5.3,10.1,0.5
2004/12/17,2.1,3.7,0.1
2004/12/18,2.9,6.1,0.5
2004/12/19,4.0,6.1,2.0
2004/12/20,6.1,9.0,3.7
2004/12/21,1.8,4.8,-0.9
2004/12/22,-0.7,0.8,-2.1
2004/12/23,0.0,1.4,-1.7
2004/12/24,0.5,2.5,-2.0
2004/12/25,1.0,2.3,0.0
2004/12/26,2.0,5.0,0.3
2004/12/27,0.8,3.4,-1.5
2004/12/28,-0.3,1.6,-2.3
2004/12/29,-1.2,0.6,-2.7
2004/12/30,-1.8,0.7,-2.8
2004/12/31,-0.7,1.5,-2.4
2005/1/1,-1.9,0.1,-3.3
2005/1/2,1.5,5.8,-3.5
2005/1/3,5.9,10.9,1.7
2005/1/4,3.3,8.3,-2.3
2005/1/5,-1.5,0.3,-3.2
2005/1/6,1.0,3.0,-1.8
2005/1/7,1.7,5.4,-0.1
2005/1/8,-0.5,1.3,-2.6
2005/1/9,-1.8,-0.1,-3.6
2005/1/10,-1.7,0.3,-3.7
2005/1/11,-1.3,0.7,-2.8
2005/1/12,-1.8,0.2,-4.2
2005/1/13,0.9,2.9,-1.1
2005/1/14,0.7,2.2,-2.6
2005/1/15,1.0,4.4,-3.6
2005/1/16,0.8,3.5,-0.1
2005/1/17,0.9,2.8,-0.9
2005/1/18,1.8,3.2,0.6
2005/1/19,1.8,5.3,-0.5
2005/1/20,3.4,6.4,0.6
2005/1/21,0.5,2.4,-1.8
2005/1/22,-1.4,0.4,-3.1
2005/1/23,-0.6,2.1,-2.0
2005/1/24,0.9,5.7,-3.4
2005/1/25,0.9,3.9,-1.6
2005/1/26,-1.3,0.5,-2.6
2005/1/27,0.4,2.1,-1.3
2005/1/28,1.0,4.0,-1.4
2005/1/29,2.8,9.8,-3.7
2005/1/30,-1.9,1.5,-5.2
2005/1/31,-1.6,0.2,-4.6
2005/2/1,-1.5,0.6,-3.4
2005/2/2,-2.8,-0.7,-5.5
2005/2/3,-1.2,1.4,-3.5
2005/2/4,-0.3,1.6,-2.5
2005/2/5,-0.8,0.8,-2.2
2005/2/6,0.8,2.7,-1.7
2005/2/7,0.8,2.5,-0.6
2005/2/8,-0.1,3.2,-2.3
2005/2/9,0.9,3.4,-1.5
2005/2/10,-0.3,2.5,-3.5
2005/2/11,-3.4,-1.0,-5.3
2005/2/12,-2.2,0.4,-4.9
2005/2/13,0.1,2.6,-2.3
2005/2/14,-0.6,1.1,-3.7
2005/2/15,0.3,4.0,-1.6
2005/2/16,-1.5,1.3,-4.9
2005/2/17,1.4,5.2,-0.7
2005/2/18,0.9,3.6,-1.1
2005/2/19,1.9,3.9,0.2
2005/2/20,0.5,4.3,-2.7
2005/2/21,-1.3,-0.4,-2.6
2005/2/22,-0.7,1.1,-2.4
2005/2/23,0.3,7.0,-3.1
2005/2/24,-1.6,0.3,-3.3
2005/2/25,-1.5,1.8,-4.2
2005/2/26,-2.7,-0.5,-4.3
2005/2/27,-0.9,1.2,-4.8
2005/2/28,0.2,1.8,-2.2
2005/3/1,-2.2,-0.1,-4.0
2005/3/2,-2.0,0.5,-3.8
2005/3/3,-1.6,1.5,-4.1
2005/3/4,-1.5,1.3,-4.1
2005/3/5,-0.5,2.3,-3.3
2005/3/6,0.9,4.2,-3.2
2005/3/7,4.6,8.5,0.8
2005/3/8,5.1,8.6,1.7
2005/3/9,0.9,2.6,-1.1
2005/3/10,2.7,5.3,-0.1
2005/3/11,5.9,8.7,4.2
2005/3/12,2.8,5.4,-1.0
2005/3/13,-1.2,0.7,-2.8
2005/3/14,0.6,3.5,-3.5
2005/3/15,4.0,7.4,1.5
2005/3/16,4.5,9.7,1.0
2005/3/17,4.2,6.8,0.5
2005/3/18,4.9,7.3,2.0
2005/3/19,3.1,5.7,-0.1
2005/3/20,5.0,9.2,-1.5
2005/3/21,6.8,9.9,2.8
2005/3/22,7.1,13.2,1.2
2005/3/23,6.6,10.1,4.0
2005/3/24,5.6,8.6,1.9
2005/3/25,1.2,3.4,-1.1
2005/3/26,2.4,4.5,-0.3
2005/3/27,3.6,8.0,0.5
2005/3/28,4.8,10.4,-0.6
2005/3/29,5.3,9.0,2.7
2005/3/30,4.0,6.4,2.2
2005/3/31,5.7,8.7,3.5
