ダウンロードした時刻：2019/10/10 16:24:00

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/12/1,12.7,20.1,6.7
1998/12/2,13.7,18.7,11.1
1998/12/3,12.0,14.0,9.8
1998/12/4,11.7,18.1,5.5
1998/12/5,11.1,16.7,6.7
1998/12/6,9.7,15.7,4.1
1998/12/7,11.6,15.4,8.8
1998/12/8,8.3,11.4,2.5
1998/12/9,5.7,9.4,1.9
1998/12/10,5.6,10.6,-0.2
1998/12/11,6.9,12.4,3.0
1998/12/12,6.1,13.2,-0.4
1998/12/13,7.4,15.5,-0.2
1998/12/14,9.8,15.4,2.3
1998/12/15,10.9,15.2,8.0
1998/12/16,9.8,15.1,6.3
1998/12/17,9.1,16.5,3.0
1998/12/18,10.0,17.7,2.1
1998/12/19,13.2,19.3,6.5
1998/12/20,11.6,16.8,7.2
1998/12/21,9.5,17.3,2.9
1998/12/22,10.6,18.7,3.8
1998/12/23,9.8,16.4,4.0
1998/12/24,8.2,13.8,3.2
1998/12/25,7.2,13.5,2.0
1998/12/26,9.1,15.0,4.9
1998/12/27,8.3,14.1,4.0
1998/12/28,7.4,14.8,0.9
1998/12/29,7.8,14.2,1.1
1998/12/30,7.0,13.3,0.7
1998/12/31,6.0,10.3,0.8
1999/1/1,4.6,10.8,-2.1
1999/1/2,5.1,10.2,0.4
1999/1/3,6.5,13.2,0.9
1999/1/4,7.5,14.7,1.2
1999/1/5,7.7,15.6,0.2
1999/1/6,8.5,15.8,2.4
1999/1/7,7.0,10.3,3.6
1999/1/8,3.3,6.0,1.1
1999/1/9,2.8,5.0,1.5
1999/1/10,4.1,7.9,1.2
1999/1/11,4.4,9.0,0.2
1999/1/12,5.2,8.0,2.3
1999/1/13,4.6,9.9,-0.1
1999/1/14,5.2,10.6,-1.4
1999/1/15,4.6,7.5,0.3
1999/1/16,4.5,8.1,0.4
1999/1/17,4.9,11.4,-1.2
1999/1/18,7.4,14.3,0.3
1999/1/19,10.0,17.3,6.3
1999/1/20,7.2,13.1,2.2
1999/1/21,4.5,9.5,-0.4
1999/1/22,4.8,12.8,-2.5
1999/1/23,9.1,16.8,2.1
1999/1/24,11.4,15.9,8.4
1999/1/25,9.4,13.1,6.8
1999/1/26,8.1,13.9,3.1
1999/1/27,6.2,13.5,-1.4
1999/1/28,8.1,14.7,2.5
1999/1/29,4.6,11.8,-0.4
1999/1/30,3.4,10.1,-2.7
1999/1/31,6.1,10.0,2.2
1999/2/1,6.9,9.3,4.5
1999/2/2,5.6,10.6,2.3
1999/2/3,1.1,3.9,-1.0
1999/2/4,2.1,7.2,-1.4
1999/2/5,4.3,8.4,0.7
1999/2/6,4.1,10.7,-2.4
1999/2/7,6.4,13.7,0.1
1999/2/8,6.4,14.7,-0.3
1999/2/9,7.1,15.2,-0.2
1999/2/10,8.2,14.9,1.2
1999/2/11,7.4,9.1,5.7
1999/2/12,4.7,7.8,2.1
1999/2/13,3.0,8.4,-2.3
1999/2/14,3.8,11.0,-3.5
1999/2/15,5.3,11.2,-0.4
1999/2/16,7.5,16.4,-0.6
1999/2/17,10.4,19.2,1.4
1999/2/18,11.3,14.4,9.2
1999/2/19,6.1,9.7,1.8
1999/2/20,4.0,9.2,-0.4
1999/2/21,3.8,8.5,-0.4
1999/2/22,3.6,9.1,-2.1
1999/2/23,7.8,13.3,1.5
1999/2/24,10.6,14.7,7.9
1999/2/25,10.5,17.0,5.0
1999/2/26,11.4,15.1,6.5
1999/2/27,9.1,14.8,2.2
1999/2/28,5.8,13.3,-0.8
1999/3/1,9.1,15.6,3.6
1999/3/2,10.6,17.3,3.2
1999/3/3,13.1,20.1,8.4
1999/3/4,9.1,11.5,6.3
1999/3/5,14.2,20.4,8.7
1999/3/6,14.1,21.7,9.4
1999/3/7,11.5,17.9,8.1
1999/3/8,10.7,17.4,6.1
1999/3/9,8.1,9.9,5.7
1999/3/10,9.9,13.1,5.8
1999/3/11,10.3,14.6,7.3
1999/3/12,10.0,14.8,5.7
1999/3/13,13.7,19.3,9.9
1999/3/14,15.3,17.8,12.2
1999/3/15,13.5,16.7,10.8
1999/3/16,14.1,22.1,10.1
1999/3/17,13.7,21.8,6.3
1999/3/18,17.1,22.4,10.2
1999/3/19,14.9,19.0,10.6
1999/3/20,9.0,11.4,6.4
1999/3/21,8.8,10.3,7.6
1999/3/22,6.7,11.1,3.2
1999/3/23,8.5,17.2,-0.3
1999/3/24,11.2,14.2,7.0
1999/3/25,15.6,19.4,12.7
1999/3/26,17.2,22.3,14.4
1999/3/27,12.7,17.5,6.7
1999/3/28,9.9,16.2,4.3
1999/3/29,9.6,13.7,6.5
1999/3/30,7.5,8.9,5.4
1999/3/31,13.2,21.7,6.9
