ダウンロードした時刻：2019/10/10 15:33:48

,江差,江差,江差
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,2.4,4.7,0.5
1986/12/2,1.6,2.3,0.5
1986/12/3,1.5,4.2,-1.4
1986/12/4,4.8,7.4,-0.1
1986/12/5,3.6,6.3,2.4
1986/12/6,2.4,4.8,-1.1
1986/12/7,1.7,3.8,-0.8
1986/12/8,4.4,5.8,0.6
1986/12/9,5.8,7.2,1.5
1986/12/10,5.3,9.8,-0.2
1986/12/11,4.1,5.8,3.3
1986/12/12,5.2,6.5,3.6
1986/12/13,2.4,4.2,-0.3
1986/12/14,3.5,6.0,-1.0
1986/12/15,1.3,4.8,-0.7
1986/12/16,-0.5,0.9,-1.8
1986/12/17,-2.4,1.2,-7.5
1986/12/18,0.7,5.0,-5.2
1986/12/19,4.2,5.5,2.6
1986/12/20,-0.4,2.7,-1.8
1986/12/21,0.2,2.3,-2.7
1986/12/22,-3.4,-0.8,-5.2
1986/12/23,2.6,4.2,-1.1
1986/12/24,3.3,4.8,1.8
1986/12/25,2.9,5.4,0.8
1986/12/26,-4.0,1.0,-6.1
1986/12/27,-4.3,-2.4,-6.4
1986/12/28,-2.8,-0.5,-5.2
1986/12/29,-2.1,1.3,-4.6
1986/12/30,-1.9,-0.8,-3.1
1986/12/31,1.9,6.8,-0.9
1987/1/1,-2.5,2.5,-5.9
1987/1/2,-4.5,-3.4,-5.6
1987/1/3,0.3,3.6,-4.8
1987/1/4,-4.7,0.2,-6.6
1987/1/5,-4.5,-3.2,-5.6
1987/1/6,-2.8,-1.0,-5.7
1987/1/7,-1.5,0.4,-2.6
1987/1/8,1.8,4.7,0.1
1987/1/9,-4.9,2.6,-7.8
1987/1/10,-5.3,-1.3,-7.3
1987/1/11,-4.5,-1.5,-9.0
1987/1/12,-3.4,-2.8,-4.3
1987/1/13,-1.2,0.5,-2.9
1987/1/14,-2.7,0.2,-5.7
1987/1/15,-3.2,-0.6,-6.5
1987/1/16,2.2,3.7,-0.7
1987/1/17,3.1,6.9,0.0
1987/1/18,-1.6,0.7,-3.6
1987/1/19,-4.7,-1.7,-6.9
1987/1/20,-5.2,-4.3,-7.1
1987/1/21,-3.5,-1.5,-5.6
1987/1/22,0.5,3.3,-1.6
1987/1/23,4.2,7.1,0.4
1987/1/24,0.3,3.2,-3.1
1987/1/25,-4.4,-2.2,-6.6
1987/1/26,-3.9,-2.6,-5.5
1987/1/27,-1.2,0.3,-3.5
1987/1/28,1.3,2.2,0.2
1987/1/29,3.7,6.5,1.1
1987/1/30,-0.7,5.3,-4.4
1987/1/31,-5.7,-3.8,-7.3
1987/2/1,-5.1,-3.3,-7.1
1987/2/2,-2.7,0.1,-5.7
1987/2/3,-1.8,-0.8,-3.3
1987/2/4,-0.4,0.5,-1.5
1987/2/5,-0.6,0.3,-1.4
1987/2/6,0.6,2.0,-0.8
1987/2/7,2.1,4.8,-3.4
1987/2/8,2.0,3.6,0.9
1987/2/9,5.9,8.3,3.0
1987/2/10,5.0,7.2,2.2
1987/2/11,6.2,7.8,4.1
1987/2/12,-1.9,5.6,-4.9
1987/2/13,-4.4,-3.5,-5.3
1987/2/14,-4.8,-0.9,-7.9
1987/2/15,-6.8,-5.6,-8.1
1987/2/16,-6.3,-4.0,-7.8
1987/2/17,-3.6,-2.3,-4.6
1987/2/18,-3.2,-1.1,-6.5
1987/2/19,-3.5,-1.7,-5.9
1987/2/20,-3.4,-2.4,-5.4
1987/2/21,-1.4,0.1,-3.7
1987/2/22,1.9,3.9,-0.3
1987/2/23,3.2,5.3,1.4
1987/2/24,0.8,4.6,-0.8
1987/2/25,-0.5,2.4,-3.4
1987/2/26,-3.2,-0.1,-5.4
1987/2/27,-3.2,-1.7,-4.0
1987/2/28,-2.4,1.1,-8.2
1987/3/1,-1.3,2.1,-3.7
1987/3/2,-0.7,1.7,-6.0
1987/3/3,1.2,3.1,-0.2
1987/3/4,0.5,2.1,-1.3
1987/3/5,1.8,5.3,-1.9
1987/3/6,-4.4,-1.8,-6.9
1987/3/7,-1.1,0.0,-2.6
1987/3/8,-0.2,1.7,-2.0
1987/3/9,-0.2,1.5,-3.2
1987/3/10,-0.9,0.9,-4.5
1987/3/11,-0.2,0.9,-1.8
1987/3/12,0.9,3.7,-3.2
1987/3/13,4.1,8.9,-2.1
1987/3/14,3.9,7.2,0.8
1987/3/15,-1.2,0.9,-3.1
1987/3/16,-0.4,1.9,-2.7
1987/3/17,2.0,4.9,-0.3
1987/3/18,3.5,7.5,-1.4
1987/3/19,3.9,6.4,1.0
1987/3/20,3.6,6.6,0.7
1987/3/21,4.0,8.2,-0.3
1987/3/22,4.4,6.2,3.1
1987/3/23,5.2,8.7,2.1
1987/3/24,4.9,5.9,3.9
1987/3/25,2.4,4.2,0.0
1987/3/26,-0.1,1.2,-2.3
1987/3/27,1.5,3.4,-1.0
1987/3/28,5.0,7.1,0.1
1987/3/29,7.4,9.5,5.9
1987/3/30,4.8,6.3,0.9
1987/3/31,-0.7,1.2,-2.2
