ダウンロードした時刻：2019/10/10 15:54:41

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,2.2,7.0,-3.6
1985/12/2,5.1,11.3,0.5
1985/12/3,3.9,13.6,-2.9
1985/12/4,4.1,11.0,-2.3
1985/12/5,6.7,13.8,1.2
1985/12/6,3.1,7.5,-1.5
1985/12/7,6.4,10.5,2.4
1985/12/8,4.3,6.5,2.0
1985/12/9,3.6,8.0,0.3
1985/12/10,0.2,4.2,-3.0
1985/12/11,0.6,6.2,-4.3
1985/12/12,0.1,5.1,-3.4
1985/12/13,0.5,6.4,-5.4
1985/12/14,3.2,5.9,0.5
1985/12/15,-0.4,3.0,-2.4
1985/12/16,-2.4,3.8,-6.6
1985/12/17,-2.3,3.5,-6.0
1985/12/18,-1.2,5.5,-7.2
1985/12/19,0.5,5.7,-4.9
1985/12/20,0.3,6.2,-4.6
1985/12/21,-0.7,7.2,-7.4
1985/12/22,1.3,4.2,-2.7
1985/12/23,5.6,12.9,2.3
1985/12/24,2.2,7.2,-2.7
1985/12/25,0.4,7.9,-6.7
1985/12/26,2.4,9.7,-3.3
1985/12/27,1.1,9.1,-4.4
1985/12/28,0.4,7.8,-4.6
1985/12/29,2.9,13.2,-6.7
1985/12/30,8.0,11.8,2.0
1985/12/31,8.3,13.9,3.7
1986/1/1,2.0,6.2,-1.1
1986/1/2,-0.4,2.6,-4.7
1986/1/3,-2.5,1.2,-8.1
1986/1/4,-0.1,2.6,-1.7
1986/1/5,-2.5,1.7,-5.0
1986/1/6,-3.9,-1.3,-6.0
1986/1/7,-2.3,6.7,-9.1
1986/1/8,-1.1,5.3,-7.4
1986/1/9,-1.6,-0.1,-2.8
1986/1/10,-1.8,1.5,-4.4
1986/1/11,-1.9,4.6,-6.2
1986/1/12,-3.8,4.7,-10.2
1986/1/13,-3.1,0.7,-8.9
1986/1/14,-1.1,4.8,-6.8
1986/1/15,-1.5,7.0,-8.4
1986/1/16,0.5,8.2,-4.7
1986/1/17,1.2,8.7,-4.1
1986/1/18,0.5,8.4,-5.4
1986/1/19,0.3,8.8,-5.6
1986/1/20,1.3,11.9,-5.8
1986/1/21,1.3,7.7,-4.1
1986/1/22,-1.4,3.4,-5.3
1986/1/23,-0.3,3.4,-5.1
1986/1/24,0.3,5.4,-2.5
1986/1/25,-0.9,3.0,-4.0
1986/1/26,-2.9,2.7,-8.0
1986/1/27,-3.0,2.4,-7.8
1986/1/28,-2.6,2.0,-8.4
1986/1/29,-1.0,7.4,-7.7
1986/1/30,0.5,10.2,-7.4
1986/1/31,2.8,9.2,-2.4
1986/2/1,0.1,7.7,-4.7
1986/2/2,0.1,7.7,-5.8
1986/2/3,-0.2,4.6,-5.4
1986/2/4,-0.8,5.6,-5.8
1986/2/5,-2.3,4.2,-8.2
1986/2/6,-1.7,5.4,-8.4
1986/2/7,-2.4,4.9,-9.6
1986/2/8,-1.4,6.1,-5.7
1986/2/9,-3.3,3.3,-9.0
1986/2/10,-2.9,5.7,-9.7
1986/2/11,-2.4,1.3,-6.0
1986/2/12,0.4,7.8,-6.3
1986/2/13,1.8,10.5,-8.0
1986/2/14,5.1,9.2,0.6
1986/2/15,3.1,11.3,-1.7
1986/2/16,-1.7,3.4,-5.7
1986/2/17,-1.9,6.8,-9.4
1986/2/18,-3.4,-2.7,-5.0
1986/2/19,0.7,7.0,-2.9
1986/2/20,-1.2,5.9,-8.5
1986/2/21,-1.6,5.9,-8.3
1986/2/22,-1.3,7.1,-9.8
1986/2/23,1.5,6.6,-5.4
1986/2/24,-1.0,3.8,-5.9
1986/2/25,-3.4,3.7,-9.5
1986/2/26,-2.2,6.7,-10.5
1986/2/27,1.5,7.7,-3.0
1986/2/28,-1.9,2.1,-5.1
1986/3/1,-0.9,7.6,-8.3
1986/3/2,-0.8,5.4,-6.6
1986/3/3,0.2,7.9,-6.6
1986/3/4,0.5,8.9,-6.7
1986/3/5,0.6,6.1,-5.1
1986/3/6,3.4,12.4,-3.5
1986/3/7,5.1,14.0,-2.3
1986/3/8,6.1,16.5,-2.7
1986/3/9,7.6,17.6,-2.2
1986/3/10,7.5,10.5,5.1
1986/3/11,5.5,8.6,3.8
1986/3/12,6.0,12.2,0.7
1986/3/13,6.1,14.2,-2.7
1986/3/14,4.0,5.9,2.8
1986/3/15,8.9,16.3,3.2
1986/3/16,8.1,15.2,1.7
1986/3/17,3.6,11.1,-1.1
1986/3/18,3.6,10.6,-3.1
1986/3/19,5.7,8.2,2.5
1986/3/20,5.1,10.7,-0.6
1986/3/21,4.9,13.2,-0.8
1986/3/22,5.0,12.0,-1.8
1986/3/23,2.7,4.7,1.2
1986/3/24,2.9,6.6,-1.1
1986/3/25,2.7,10.2,-4.1
1986/3/26,4.1,12.7,-3.8
1986/3/27,7.6,16.2,-2.8
1986/3/28,4.6,7.8,3.4
1986/3/29,7.9,12.5,3.2
1986/3/30,8.7,11.5,4.5
1986/3/31,8.8,15.3,2.6
