ダウンロードした時刻：2019/10/10 15:50:11

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,19.0,24.9,14.7
1990/12/2,13.1,16.7,6.5
1990/12/3,8.9,15.3,4.3
1990/12/4,7.6,13.7,2.5
1990/12/5,7.4,14.0,2.2
1990/12/6,8.2,14.7,3.0
1990/12/7,8.3,14.8,3.2
1990/12/8,9.7,17.0,4.1
1990/12/9,9.1,14.3,5.0
1990/12/10,10.9,18.3,3.6
1990/12/11,8.6,11.8,5.6
1990/12/12,9.2,12.9,5.2
1990/12/13,7.3,12.3,3.5
1990/12/14,6.9,13.0,2.5
1990/12/15,8.4,12.0,5.5
1990/12/16,5.2,9.1,2.6
1990/12/17,4.2,8.8,1.0
1990/12/18,5.2,11.8,0.6
1990/12/19,5.3,9.5,1.2
1990/12/20,4.5,9.2,0.0
1990/12/21,6.2,11.8,3.0
1990/12/22,7.0,12.5,3.4
1990/12/23,7.4,13.5,2.1
1990/12/24,4.2,12.2,-0.6
1990/12/25,5.4,11.7,-0.5
1990/12/26,5.8,11.4,1.4
1990/12/27,2.9,7.3,0.3
1990/12/28,3.7,9.0,-1.0
1990/12/29,4.3,9.8,0.3
1990/12/30,4.6,9.3,0.9
1990/12/31,4.3,10.6,-0.6
1991/1/1,7.0,11.1,3.2
1991/1/2,8.3,14.0,4.4
1991/1/3,7.5,12.3,2.3
1991/1/4,4.1,10.5,-0.1
1991/1/5,3.7,9.8,-0.8
1991/1/6,2.5,8.2,-0.9
1991/1/7,2.4,8.2,-2.0
1991/1/8,2.6,9.9,-0.9
1991/1/9,3.0,8.3,-1.7
1991/1/10,4.5,12.6,-1.3
1991/1/11,5.4,9.4,1.8
1991/1/12,2.7,5.3,1.3
1991/1/13,4.9,10.9,1.3
1991/1/14,3.6,8.3,0.4
1991/1/15,2.1,8.5,-1.7
1991/1/16,2.7,8.6,-2.5
1991/1/17,4.1,8.0,0.5
1991/1/18,2.4,7.0,-1.5
1991/1/19,4.9,11.6,-0.8
1991/1/20,4.9,11.8,0.3
1991/1/21,2.8,6.9,0.7
1991/1/22,5.3,11.0,1.9
1991/1/23,1.7,5.1,-2.6
1991/1/24,1.6,7.8,-4.6
1991/1/25,5.9,13.4,1.1
1991/1/26,4.1,9.1,1.1
1991/1/27,3.6,8.8,0.3
1991/1/28,1.2,5.3,-2.2
1991/1/29,2.0,8.5,-3.4
1991/1/30,2.4,7.6,-1.5
1991/1/31,3.3,9.9,-2.6
1991/2/1,3.0,10.6,-1.6
1991/2/2,2.1,8.4,-2.0
1991/2/3,2.4,8.1,-3.1
1991/2/4,3.8,10.7,-1.0
1991/2/5,2.3,7.7,-0.9
1991/2/6,3.6,11.2,-2.8
1991/2/7,4.0,8.6,0.4
1991/2/8,1.3,6.7,-2.5
1991/2/9,3.8,10.7,-1.7
1991/2/10,2.1,6.1,0.3
1991/2/11,9.0,13.4,4.4
1991/2/12,4.8,11.9,0.7
1991/2/13,4.2,8.8,1.2
1991/2/14,5.0,11.0,-1.4
1991/2/15,5.1,7.9,3.3
1991/2/16,8.4,13.3,3.2
1991/2/17,2.0,4.6,-0.3
1991/2/18,1.5,5.8,-1.8
1991/2/19,1.5,8.7,-1.9
1991/2/20,1.2,7.2,-3.1
1991/2/21,2.4,8.9,-4.0
1991/2/22,3.8,8.9,-0.6
1991/2/23,1.2,6.6,-3.3
1991/2/24,-0.5,5.5,-6.1
1991/2/25,1.2,8.0,-4.5
1991/2/26,3.9,10.8,-3.5
1991/2/27,6.2,13.4,-0.1
1991/2/28,8.3,16.4,2.8
1991/3/1,4.6,7.7,2.2
1991/3/2,5.1,11.4,-1.1
1991/3/3,4.9,10.4,0.9
1991/3/4,5.6,11.7,-1.3
1991/3/5,10.3,18.6,3.7
1991/3/6,11.4,18.0,4.4
1991/3/7,8.2,12.8,4.5
1991/3/8,3.8,6.2,1.0
1991/3/9,7.2,15.2,1.7
1991/3/10,8.4,12.6,4.2
1991/3/11,2.8,8.0,0.6
1991/3/12,7.8,14.0,3.6
1991/3/13,8.0,14.1,2.4
1991/3/14,4.5,8.4,-0.5
1991/3/15,3.2,7.6,-0.8
1991/3/16,4.3,7.6,1.7
1991/3/17,6.5,12.6,1.1
1991/3/18,8.0,13.4,2.6
1991/3/19,10.6,18.3,3.6
1991/3/20,13.6,20.5,6.2
1991/3/21,9.6,13.6,6.4
1991/3/22,5.8,8.2,3.3
1991/3/23,10.6,18.3,3.8
1991/3/24,15.4,21.4,10.0
1991/3/25,10.4,13.0,9.5
1991/3/26,14.2,20.4,7.1
1991/3/27,8.6,12.2,7.1
1991/3/28,9.0,11.3,7.3
1991/3/29,10.4,15.2,6.0
1991/3/30,10.4,13.5,8.1
1991/3/31,10.2,17.3,5.5
