ダウンロードした時刻：2019/10/10 16:25:12

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,15.2,21.0,11.2
2002/12/2,13.3,18.6,7.4
2002/12/3,16.4,19.3,14.4
2002/12/4,18.8,20.3,16.9
2002/12/5,16.8,22.0,13.5
2002/12/6,16.1,18.6,13.7
2002/12/7,15.7,16.9,14.0
2002/12/8,14.4,17.5,11.1
2002/12/9,8.2,12.3,5.2
2002/12/10,6.4,9.4,4.7
2002/12/11,7.1,11.5,3.7
2002/12/12,8.0,10.3,6.0
2002/12/13,7.4,11.4,4.1
2002/12/14,7.6,14.7,1.6
2002/12/15,10.8,16.9,4.7
2002/12/16,14.9,19.2,10.1
2002/12/17,12.3,15.8,9.4
2002/12/18,12.7,16.6,8.5
2002/12/19,13.5,14.7,12.5
2002/12/20,14.2,16.0,13.2
2002/12/21,15.4,17.1,13.4
2002/12/22,15.8,18.6,14.2
2002/12/23,14.2,18.0,10.8
2002/12/24,13.4,19.1,9.0
2002/12/25,9.4,13.2,4.8
2002/12/26,6.1,8.9,3.7
2002/12/27,5.3,7.9,2.0
2002/12/28,5.8,11.8,0.2
2002/12/29,8.5,13.6,5.6
2002/12/30,8.6,11.2,5.0
2002/12/31,9.6,13.8,7.7
2003/1/1,8.1,11.5,5.9
2003/1/2,8.0,12.5,1.4
2003/1/3,9.4,11.1,8.0
2003/1/4,5.5,8.7,1.8
2003/1/5,2.0,3.6,0.4
2003/1/6,3.5,7.5,1.6
2003/1/7,5.0,7.6,2.7
2003/1/8,6.0,10.2,3.4
2003/1/9,6.3,13.3,1.2
2003/1/10,7.7,11.3,2.4
2003/1/11,8.2,13.8,4.5
2003/1/12,8.0,14.1,2.5
2003/1/13,8.4,15.0,2.7
2003/1/14,9.6,16.0,5.4
2003/1/15,6.8,11.5,3.3
2003/1/16,7.9,12.3,4.2
2003/1/17,9.4,16.0,3.8
2003/1/18,10.7,17.6,5.7
2003/1/19,8.4,12.2,5.8
2003/1/20,7.8,11.6,5.7
2003/1/21,7.0,11.9,3.6
2003/1/22,9.0,13.4,2.6
2003/1/23,9.7,13.0,5.8
2003/1/24,6.7,9.8,3.2
2003/1/25,7.1,12.5,0.6
2003/1/26,12.7,16.4,10.2
2003/1/27,12.2,15.4,7.3
2003/1/28,5.4,8.5,3.0
2003/1/29,3.1,4.8,1.6
2003/1/30,4.2,8.5,1.8
2003/1/31,6.5,9.4,2.7
2003/2/1,6.6,8.3,4.7
2003/2/2,6.6,12.6,2.1
2003/2/3,7.4,13.4,3.0
2003/2/4,6.6,10.4,2.7
2003/2/5,5.3,8.8,3.2
2003/2/6,6.1,12.5,1.3
2003/2/7,8.1,14.6,0.8
2003/2/8,13.7,17.7,10.1
2003/2/9,12.6,17.9,7.9
2003/2/10,13.8,18.7,9.9
2003/2/11,12.9,14.6,9.6
2003/2/12,9.5,14.9,6.1
2003/2/13,6.8,12.2,3.2
2003/2/14,8.7,13.9,4.6
2003/2/15,10.2,12.3,7.4
2003/2/16,12.4,15.6,9.1
2003/2/17,10.5,16.2,5.8
2003/2/18,9.8,15.1,6.6
2003/2/19,9.1,15.8,3.9
2003/2/20,7.7,11.3,4.1
2003/2/21,9.4,16.0,1.5
2003/2/22,15.2,19.9,9.9
2003/2/23,16.3,20.2,13.9
2003/2/24,13.9,19.1,10.1
2003/2/25,11.6,16.8,6.7
2003/2/26,13.9,18.1,9.7
2003/2/27,13.6,17.5,11.4
2003/2/28,12.9,16.0,10.4
2003/3/1,14.0,17.3,11.3
2003/3/2,12.4,17.8,8.3
2003/3/3,12.1,17.8,8.9
2003/3/4,9.0,12.0,7.1
2003/3/5,9.5,12.2,7.0
2003/3/6,13.4,16.1,9.5
2003/3/7,11.8,15.8,8.7
2003/3/8,8.8,12.8,6.4
2003/3/9,8.6,14.8,4.2
2003/3/10,7.9,13.4,3.4
2003/3/11,8.2,13.5,2.5
2003/3/12,10.2,14.5,5.5
2003/3/13,9.3,10.3,8.5
2003/3/14,12.6,15.9,9.0
2003/3/15,13.4,15.7,11.4
2003/3/16,15.3,21.0,13.1
2003/3/17,15.6,19.6,12.0
2003/3/18,12.0,16.9,8.7
2003/3/19,11.3,17.7,6.4
2003/3/20,12.3,16.7,7.7
2003/3/21,13.9,18.2,10.6
2003/3/22,12.6,17.1,9.0
2003/3/23,13.0,18.1,6.6
2003/3/24,14.6,16.7,12.6
2003/3/25,14.8,19.5,10.5
2003/3/26,13.0,19.2,7.5
2003/3/27,13.0,20.7,7.2
2003/3/28,12.4,19.3,6.7
2003/3/29,12.4,17.6,8.3
2003/3/30,13.4,20.7,6.7
2003/3/31,16.0,20.3,9.5
